,USH1G (124590)
ACH-000004,-0.3221672555757194
ACH-000005,-0.1368727347928856
ACH-000007,-0.3447775992246984
ACH-000009,-0.3410541197642809
ACH-000011,-0.5242481487821592
ACH-000012,-0.4488478985247343
ACH-000013,-0.2783198913464989
ACH-000014,-0.32599825728338105
ACH-000015,-0.3012265396347387
ACH-000017,-0.4407673474129941
ACH-000018,-0.05528166018528005
ACH-000019,-0.1285663780106906
ACH-000021,-0.3975224822759396
ACH-000022,-0.2157792431496769
ACH-000025,-0.2621499110469505
ACH-000028,-0.2768019266603366
ACH-000030,-0.39174868471193947
ACH-000035,-0.3149336026294301
ACH-000036,-0.3404629247315899
ACH-000037,-0.3794625966774397
ACH-000039,-0.5009788612768309
ACH-000040,-0.35624919700496177
ACH-000041,-0.31862266507175463
ACH-000042,-0.5926257153459821
ACH-000045,-0.4202222334998225
ACH-000047,-0.3440499294453009
ACH-000052,-0.2546315543798445
ACH-000053,-0.3305556084277813
ACH-000054,-0.270525740353712
ACH-000055,-0.29203575724943376
ACH-000060,-0.3895313934307984
ACH-000067,-0.5643365269919847
ACH-000070,-0.4181228051850801
ACH-000075,-0.3999174317819267
ACH-000078,-0.4185555350859117
ACH-000082,-0.2920990049507711
ACH-000085,-0.2831693345007775
ACH-000086,-0.3825679229846394
ACH-000087,-0.21559032985523965
ACH-000092,-0.4153661168460203
ACH-000095,-0.3880556611633048
ACH-000097,-0.2696357810274648
ACH-000098,-0.3315786938146597
ACH-000099,-0.510457876171415
ACH-000108,-0.4274319989573221
ACH-000113,-0.4538822917904533
ACH-000116,-0.4953274119489297
ACH-000118,-0.2827054105479519
ACH-000120,-0.1409305740950284
ACH-000123,-0.36681628353624973
ACH-000127,-0.22430572393162315
ACH-000128,-0.4491118425368851
ACH-000132,-0.31849144425938336
ACH-000133,-0.3637018589789137
ACH-000137,-0.3758647235859695
ACH-000138,-0.3172886445418993
ACH-000142,-0.42767503119246303
ACH-000143,-0.26189604164679936
ACH-000146,-0.19986742675761726
ACH-000148,-0.3967816623592329
ACH-000150,-0.4037095321057287
ACH-000152,-0.3068701124233608
ACH-000153,-0.3093523775478524
ACH-000159,-0.3810634578772236
ACH-000160,-0.4573852988823096
ACH-000163,-0.19271301250343215
ACH-000167,-0.4476771626313577
ACH-000168,-0.4298344270308463
ACH-000169,-0.4064669699477946
ACH-000178,-0.32531469000137697
ACH-000183,-0.12992874161230689
ACH-000188,-0.3382268416324046
ACH-000189,-0.2921888611298251
ACH-000190,-0.3069453446340913
ACH-000198,-0.41150889225920895
ACH-000203,-0.5172492547952343
ACH-000204,0.07567210785926376
ACH-000206,-0.27823847954204445
ACH-000207,-0.24731910017652134
ACH-000208,-0.7594541454608751
ACH-000210,-0.3761653031062018
ACH-000211,-0.5499686289813714
ACH-000215,-0.3198269995671409
ACH-000221,-0.3271678853130553
ACH-000222,-0.2974302693976076
ACH-000223,-0.3687299311016271
ACH-000226,-0.32845253135095864
ACH-000227,-0.22184814235408426
ACH-000228,-0.32591095890077343
ACH-000231,-0.2821709759372269
ACH-000232,-0.2906051961171696
ACH-000233,-0.3349409748156825
ACH-000234,-0.6008821143358015
ACH-000235,-0.2782622197972198
ACH-000237,-0.2461810405639553
ACH-000238,-0.3959248576901445
ACH-000242,-0.4465785434402211
ACH-000243,-0.32956152555827833
ACH-000244,-0.4065886294526748
ACH-000246,-0.3886979086396085
ACH-000248,-0.5171736003305569
ACH-000250,-0.5029823801108132
ACH-000251,-0.4986628950150842
ACH-000252,-0.4164354660256825
ACH-000253,-0.4353551805243417
ACH-000255,-0.3565482529138197
ACH-000256,-0.4480421035676599
ACH-000257,-0.20908364514874755
ACH-000258,-0.5753991126337458
ACH-000259,-0.4785320651681005
