,SRD5A3 (79644)
ACH-000004,-0.4469402670068412
ACH-000005,-0.6288411425774271
ACH-000007,-0.2342709027678752
ACH-000009,-0.3333994634718142
ACH-000011,-0.2378356118501347
ACH-000012,-0.10045700630497094
ACH-000013,-0.08456427400745778
ACH-000014,-0.2563578841859808
ACH-000015,-0.3295004316607749
ACH-000017,-0.4992469514297691
ACH-000018,-0.21674052223869075
ACH-000019,-0.4880813360886081
ACH-000021,-0.3544089309793759
ACH-000022,-0.18106492831341264
ACH-000025,-0.3418200803967022
ACH-000028,-0.3975511217224917
ACH-000030,-0.23546051643060434
ACH-000035,-0.2751093964545189
ACH-000036,-0.2696953468797598
ACH-000037,-0.38189605652116215
ACH-000039,-0.2444440819247232
ACH-000040,-0.3532034646148905
ACH-000041,-0.5115248621132767
ACH-000042,-0.4196724972909743
ACH-000045,-0.235757300662832
ACH-000047,-0.2425329036224602
ACH-000052,-0.3003837548532596
ACH-000053,-0.2598392940820553
ACH-000054,-0.2553105597647129
ACH-000055,-0.8522851583600528
ACH-000060,-0.43658469938084976
ACH-000067,-0.2967793036780341
ACH-000070,-0.6694061390434111
ACH-000075,-0.3773748871064567
ACH-000078,-0.4257467021740055
ACH-000082,-0.4469624099964959
ACH-000085,-0.012772303208919642
ACH-000086,-0.256609314157882
ACH-000087,-0.4596280266445314
ACH-000092,-0.4757453348732005
ACH-000095,-0.4815449419065464
ACH-000097,-0.4390345359687953
ACH-000098,-0.4547862542786794
ACH-000099,-0.2737576961310454
ACH-000108,-0.5399598983056728
ACH-000113,-0.3849046827545392
ACH-000116,-0.40975150689725226
ACH-000118,-0.3999620812379828
ACH-000120,-0.642609270005906
ACH-000123,-0.5987599521165341
ACH-000127,-0.3072510338516985
ACH-000128,-0.4073979557689193
ACH-000132,-0.3838700101962268
ACH-000133,-0.3815042050770755
ACH-000137,-0.3284069310314397
ACH-000138,-0.2452871181359135
ACH-000142,-0.21683353371179373
ACH-000143,-0.14270476415536645
ACH-000146,-0.2573704270879856
ACH-000148,-0.4842813381410463
ACH-000150,-0.4142855976312364
ACH-000152,-0.2863332265511069
ACH-000153,-0.4686815809059036
ACH-000159,-0.4357894575016512
ACH-000160,-0.380023406446779
ACH-000163,-0.5379137500331402
ACH-000167,-0.15502293184530574
ACH-000168,-0.22714100378974802
ACH-000169,-0.627751711624094
ACH-000178,-0.3077891408398544
ACH-000183,-0.12425841923672655
ACH-000188,-0.3928761608457846
ACH-000189,-0.3652129400725931
ACH-000190,-0.34773236072530384
ACH-000198,-0.15253491770771804
