,RADIL (55698)
ACH-000004,-0.0064092315862369405
ACH-000005,-0.1765765154416215
ACH-000007,0.129570263825179
ACH-000009,-0.16932363204287926
ACH-000011,-0.30246958912962835
ACH-000012,-0.13185085968458746
ACH-000013,-0.1328334609911843
ACH-000014,-0.23358948035006136
ACH-000015,-0.11131530022229938
ACH-000017,-0.1132349840487868
ACH-000018,-0.24132304283578626
ACH-000019,-0.2170888300844084
ACH-000021,-0.07335224305329335
ACH-000022,-0.15916393948015398
ACH-000025,-0.11094903475455246
ACH-000028,-0.07340099414109401
ACH-000030,-0.08119991768707482
ACH-000035,-0.273680240647217
ACH-000036,-0.3452652308428136
ACH-000037,-0.12929923601595655
ACH-000039,-0.16978450028791348
ACH-000040,-0.10144302554298663
ACH-000041,-0.32060206862855634
ACH-000042,-0.33778852863568826
ACH-000045,-0.1850637750721834
ACH-000047,-0.2913384113538319
ACH-000052,-0.09854622902410193
ACH-000053,-0.23502178362896955
ACH-000054,-0.23532059188329116
ACH-000055,-0.15546680296487542
ACH-000060,-0.2041363292522928
ACH-000067,-0.20002948239025206
ACH-000070,-0.3750482159804695
ACH-000075,-0.2450311614260241
ACH-000078,-0.16519756200623165
ACH-000082,-0.20548508874262186
ACH-000085,-0.3118275566722175
ACH-000086,-0.1187647660594118
ACH-000087,0.022598365131589575
ACH-000092,-0.26346457701157644
ACH-000095,-0.2479943479299997
ACH-000097,-0.1876671634689714
ACH-000098,-0.1776323099568731
ACH-000099,-0.1563170164145133
ACH-000108,-0.17554705869084336
ACH-000113,-0.06311546204935345
ACH-000116,-0.0902124097684643
ACH-000118,-0.033444550324722565
ACH-000120,-0.3228026036484886
ACH-000123,-0.2589390805656865
ACH-000127,-0.1272698912906764
ACH-000128,-0.21146980650857056
ACH-000132,-0.2099379108138708
ACH-000133,-0.16048901108422986
ACH-000137,-0.0865050793042859
ACH-000138,-0.07599465994314529
ACH-000142,-0.24680523277122285
ACH-000143,-0.2431609847112595
ACH-000146,-0.2353338129200585
ACH-000148,-0.1031469265739332
ACH-000150,-0.034825371473368734
ACH-000152,-0.2322086377705313
ACH-000153,-0.4479053848086679
ACH-000159,-0.18287203310533184
ACH-000160,-0.12846216737107746
ACH-000163,-0.13819644764421346
ACH-000167,-0.18837031009183905
ACH-000168,-0.18757420748418804
ACH-000169,-0.18716851774217125
ACH-000178,-0.18798512475049411
ACH-000183,-0.16913910708612764
ACH-000188,-0.15722695949411994
ACH-000189,-0.22401456192385946
ACH-000190,-0.14054842140498605
ACH-000198,-0.21591044225268724
ACH-000203,0.3301157246758605
ACH-000204,-0.13039394471619048
ACH-000206,-0.21106105632178876
ACH-000207,-0.2521560418858627
ACH-000208,-0.3434894416047331
ACH-000210,-0.08895303558695263
ACH-000211,-0.22868623366213944
ACH-000215,-0.20893384992002836
ACH-000221,-0.21050681202326316
ACH-000222,-0.10602944158239454
ACH-000223,-0.03413040565894463
ACH-000226,-0.2558634377632561
ACH-000227,-0.2480443596822917
ACH-000228,-0.3069835869722816
ACH-000231,-0.18154150801118624
ACH-000232,-0.24808756297946716
ACH-000233,-0.13783976110176166
ACH-000234,-0.4092438591106277
ACH-000235,-0.21782361410748835
ACH-000237,-0.18898037050339525
ACH-000238,-0.2838226300527826
ACH-000242,-0.2495655731162192
ACH-000243,-0.18168273079841926
ACH-000244,-0.16548906983573156
ACH-000246,-0.24696674512382194
ACH-000248,-0.09282688580606846
ACH-000250,-0.27437507909041803
ACH-000251,-0.3939867288291123
ACH-000252,-0.24254509196613616
ACH-000253,-0.16464444789854113
ACH-000255,-0.10442916472173484
ACH-000256,-0.15665872262248232
ACH-000257,-0.15498273160424422
ACH-000258,-0.1191816959005788
ACH-000259,-0.17348366654375666
ACH-000260,-0.31405937696065306
ACH-000261,-0.1363907878352466
ACH-000262,-0.20786478221853916
