,RBM15B (29890)
ACH-000004,-0.2888649071335265
ACH-000005,-0.0934358964997752
ACH-000007,0.04650968687872229
ACH-000009,-0.001315780873508362
ACH-000011,0.09158080011751396
ACH-000012,-0.10086911089309368
ACH-000013,0.0009083209016935905
ACH-000014,-0.12708612540518652
ACH-000015,-0.02065151724520464
ACH-000017,-0.1248003833023424
ACH-000018,-0.05350913582328278
ACH-000019,-0.2829556429889855
ACH-000021,-0.15044244465127973
ACH-000022,-0.09612955233515404
ACH-000025,-0.04768370461513816
ACH-000028,-0.02669303985953831
ACH-000030,0.028508235891113776
ACH-000035,0.039029451886597635
ACH-000036,-0.16187829212717392
ACH-000037,-0.13947842472143585
ACH-000039,-0.08784815364546067
ACH-000040,-0.10447948986293226
ACH-000041,-0.16920752943676615
ACH-000042,-0.08312693017215382
ACH-000045,0.06918508656559443
ACH-000047,-0.125165355647144
ACH-000052,-0.21786906154726052
ACH-000053,-0.0622010972218145
ACH-000054,0.11938793167284215
ACH-000055,-0.19514515281587888
ACH-000060,-0.23803496824360404
ACH-000067,-0.14644431280894146
ACH-000070,-0.05355513626520733
ACH-000075,0.15460440095219227
ACH-000078,0.12509177959596635
ACH-000082,0.039724766960077866
ACH-000085,-0.13729969413369975
ACH-000086,-0.12358772311619402
ACH-000087,0.083577499739698
ACH-000092,-0.01032604017791527
ACH-000095,-0.13067618244844967
ACH-000097,-0.02690096637868028
ACH-000098,-0.08373452529636234
ACH-000099,0.05340337867335659
ACH-000108,0.09638395486825398
ACH-000113,-0.059324085382094015
ACH-000116,-0.04530703342590252
ACH-000118,-0.09754947034584416
ACH-000120,0.1349861274397408
ACH-000123,0.04095250314204133
ACH-000127,-0.07388133752345326
ACH-000128,-0.09224123887579057
ACH-000132,0.06317185314218024
ACH-000133,-0.030242523172724595
ACH-000137,-0.03812327186229272
ACH-000138,0.025533656724829813
ACH-000142,-0.04816658111908397
ACH-000143,-0.06088088175843789
ACH-000146,0.05028861987093808
ACH-000148,0.0026962610316270804
ACH-000150,-0.08146445752313858
ACH-000152,-0.062284562778167435
ACH-000153,-0.04123845825343343
ACH-000159,-0.0988148813198931
ACH-000160,-0.025792684126532375
ACH-000163,-0.06447836320822507
ACH-000167,-0.22360963062149736
ACH-000168,-0.08703727526225814
ACH-000169,-0.08353053401347317
ACH-000178,0.044166747518924035
ACH-000183,-0.05495620972205312
ACH-000188,-0.18098703337524985
ACH-000189,-0.21120262104543788
