,EHBP1L1 (254102)
ACH-000004,-0.18029277493564086
ACH-000005,-0.051030358694471034
ACH-000007,-0.16537494126285734
ACH-000009,-0.19533065172161526
ACH-000011,-0.2974328749304009
ACH-000012,-0.29443084998805186
ACH-000013,-0.19961225156018586
ACH-000014,-0.034284159196278835
ACH-000015,-0.11226900776258576
ACH-000017,-0.2398573280357217
ACH-000018,-0.22808836096559545
ACH-000019,-0.3649790421993854
ACH-000021,-0.21661137554533968
ACH-000022,-0.29274000285745555
ACH-000025,-0.18203720588543892
ACH-000028,-0.3632495575981731
ACH-000030,-0.3955711981737101
ACH-000035,-0.1602314329181015
ACH-000036,-0.3456306224327045
ACH-000037,-0.19512181574597268
ACH-000039,-0.2900211877737117
ACH-000040,-0.12472605528476087
ACH-000041,-0.0017274070696675324
ACH-000042,-0.3714642994669579
ACH-000045,-0.1482757341039849
ACH-000047,-0.263127387856172
ACH-000052,-0.3003796593754251
ACH-000053,-0.2763752482331968
ACH-000054,-0.2303655969419975
ACH-000055,-0.29092267787032394
ACH-000060,-0.5287552235829477
ACH-000067,-0.2578485045411637
ACH-000070,-0.35969694908554106
ACH-000075,-0.2481361473985944
ACH-000078,-0.21826992802915995
ACH-000082,-0.44688973524964254
ACH-000085,-0.13619319678841624
ACH-000086,-0.5590531993956023
ACH-000087,-0.1726201144020427
ACH-000092,-0.3524489546037403
ACH-000095,-0.1159195623100532
ACH-000097,-0.31204131951499564
ACH-000098,-0.18920145597678675
ACH-000099,-0.1556560927845319
ACH-000108,-0.30983656786151803
ACH-000113,-0.3287980559247863
ACH-000116,-0.1943015933703564
ACH-000118,-0.3543845364993629
ACH-000120,-0.3198596707664876
ACH-000123,-0.08574045006066794
ACH-000127,-0.1516927374043017
ACH-000128,-0.12352365130139707
ACH-000132,-0.3897112108979437
ACH-000133,-0.27196716415072275
ACH-000137,-0.2578695354575596
ACH-000138,-0.4392743774518826
ACH-000142,-0.2788189690765113
ACH-000143,-0.05570759777789374
ACH-000146,-0.25380303008412675
ACH-000148,-0.38473889628500896
ACH-000150,-0.26783616158860224
ACH-000152,-0.2207131629756851
ACH-000153,-0.2723852535418801
ACH-000159,-0.2349655849225678
ACH-000160,-0.13284341789766624
ACH-000163,-0.22535804728241154
ACH-000167,-0.40864279596970415
ACH-000168,-0.395592655468444
ACH-000169,-0.12565840578444915
ACH-000178,-0.15813678259846106
ACH-000183,-0.2306843666845133
ACH-000188,-0.4635571138502377
ACH-000189,-0.19622707419315466
ACH-000190,-0.3240281578124693
ACH-000198,-0.3969528529039691
ACH-000203,-0.6672644625543379
ACH-000204,0.05018323330524874
ACH-000206,-0.6792085034209426
ACH-000207,-0.4752029851091287
