,NUS1 (116150)
ACH-000004,-1.0339825610758215
ACH-000005,-1.8318879293418755
ACH-000007,-1.2689026636741452
ACH-000009,-1.002816228844269
ACH-000011,-1.167911722449931
ACH-000012,-1.0722882718800142
ACH-000013,-1.218629825679184
ACH-000014,-1.008488087236293
ACH-000015,-1.083554631317473
ACH-000017,-1.2449052072727058
ACH-000018,-1.0550075074471759
ACH-000019,-1.1897041137997617
ACH-000021,-1.222562770439109
ACH-000022,-1.0982774217012368
ACH-000025,-0.9383864644715996
ACH-000028,-0.9410621725882768
ACH-000030,-1.21867792620084
ACH-000035,-0.9284801344486144
ACH-000036,-0.9994020199322234
ACH-000037,-0.870468323519768
ACH-000039,-1.0247240729631109
ACH-000040,-1.0337806109593664
ACH-000041,-0.9826986600510004
ACH-000042,-1.2123872821633608
ACH-000045,-0.89659362749549
ACH-000047,-1.1584537983256158
ACH-000052,-1.0782246202761343
ACH-000053,-1.227206750160345
ACH-000054,-1.0614907900193284
ACH-000055,-1.0651715730536044
ACH-000060,-1.2806196423591845
ACH-000067,-1.0792573627213722
ACH-000070,-1.036214751481797
ACH-000075,-1.1398966694860104
ACH-000078,-0.8619388752089379
ACH-000082,-1.2891946470168931
ACH-000085,-0.9434663522634612
ACH-000086,-0.8797357226519769
ACH-000087,-1.2903269473732912
ACH-000092,-0.8860563562779025
ACH-000095,-1.0931916865719018
ACH-000097,-1.3682963579989549
ACH-000098,-1.0033823654684757
ACH-000099,-0.948946993246703
ACH-000108,-1.1549622878670085
ACH-000113,-0.9347343688398412
ACH-000116,-0.9167702966723692
ACH-000118,-1.246408899728035
ACH-000120,-1.08372274447533
ACH-000123,-1.0355772277478914
ACH-000127,-1.190090473969063
ACH-000128,-0.7963852969000726
ACH-000132,-1.2331104936069082
ACH-000133,-1.3837800896446917
ACH-000137,-1.0405939019157806
ACH-000138,-1.0500712076331278
ACH-000142,-0.8957597471564661
ACH-000143,-1.370173359430814
ACH-000146,-1.0569816629028563
ACH-000148,-1.2044730699022097
ACH-000150,-0.9648595689149128
ACH-000152,-1.0231129041190017
ACH-000153,-1.329403260262544
ACH-000159,-1.1521513968406107
ACH-000160,-1.2173415542185757
ACH-000163,-1.3102283436495998
ACH-000167,-1.7310153399961108
ACH-000168,-1.24920756512791
ACH-000169,-1.141352214330951
ACH-000178,-0.9770016701828964
ACH-000183,-1.413958156722403
ACH-000188,-1.0063026220676186
ACH-000189,-0.9122729772855226
ACH-000190,-0.9847188125764142
ACH-000198,-0.9334031939983052
ACH-000203,-0.4572081023837476
ACH-000204,-1.300297306091094
ACH-000206,-1.198473112304437
ACH-000207,-1.4348424151503016
ACH-000208,-1.048874661577384
ACH-000210,-1.025533383545068
ACH-000211,-1.0446212455304211
ACH-000215,-0.8793169426558598
ACH-000221,-1.2961356300099576
ACH-000222,-1.1519555371230232
ACH-000223,-1.05387257628779
ACH-000226,-1.1156147421211184
ACH-000227,-0.9694730778626868
ACH-000228,-1.2399476544636368
ACH-000231,-0.8563662911344923
ACH-000232,-1.0571718981658644
ACH-000233,-1.2119426848934995
ACH-000234,-1.0436501839597996
ACH-000235,-1.0609468359526295
ACH-000237,-1.0026499021085888
ACH-000238,-1.1539444588336651
ACH-000242,-1.0822278526724831
ACH-000243,-1.065573317133124
ACH-000244,-1.2869197934312846
ACH-000246,-1.0252921669867303
ACH-000248,-1.0184225234004771
ACH-000250,-0.9852844746594664
ACH-000251,-1.289704719729907
ACH-000252,-1.2751280730192691
ACH-000253,-1.0212621743299477
ACH-000255,-1.1081004936942545
ACH-000256,-1.1182660410555858
ACH-000257,-1.089120740614254
ACH-000258,-0.8990719298491036
ACH-000259,-1.2906142112373198
ACH-000260,-1.3699348964680422
ACH-000261,-1.0615056857390732
ACH-000262,-0.9081604095463706
ACH-000263,-0.9720141330033354
ACH-000264,-1.0966577148426782
ACH-000265,-1.0914009904523023
ACH-000266,-1.1613208312338033
ACH-000272,-0.9606652041949872
ACH-000274,-1.2267983502973776
ACH-000277,-1.029935700440589
ACH-000278,-1.0928234027622248
ACH-000279,-1.0729373163784164
ACH-000280,-1.0932996943576363
ACH-000281,-1.0340005745939882
ACH-000288,-0.9745697091222356
ACH-000291,-0.9805287501908946
ACH-000293,-1.0956061591132136
ACH-000294,-1.3133153414404783
ACH-000295,-1.041307604905093
ACH-000296,-0.7968210428960459
ACH-000302,-0.9101192647364584
ACH-000304,-0.978411439612058
ACH-000307,-1.3121458699577375
ACH-000308,-1.121732050635688
ACH-000310,-0.9057074973778381
ACH-000311,-1.1813986501820302
ACH-000312,-1.053292273007957
ACH-000315,-1.236756192146882
ACH-000316,-1.2343724153375049
ACH-000317,-1.1789312102037666
ACH-000318,-1.0019575292362282
ACH-000319,-0.8024403260391093
ACH-000320,-1.0338670265787486
ACH-000322,-0.8813968906110194
ACH-000323,-1.118495659132495
ACH-000324,-1.0912322695692092
ACH-000329,-0.9530696762836802
ACH-000330,-0.9397762794521
ACH-000331,-1.290520516987422
ACH-000332,-1.1223357061814292
ACH-000334,-1.2328878061237174
ACH-000335,-0.8321784422181081
ACH-000336,-1.2253227676477978
ACH-000337,-1.0027715396147079
ACH-000338,-1.0817901607035576
ACH-000339,-1.056111967608563
ACH-000341,-1.2699034924622192
ACH-000348,-1.1383099485783301
ACH-000350,-1.3154439722665103
ACH-000352,-1.1483431380763454
ACH-000356,-1.1258748723853496
ACH-000361,-1.1836780373925304
ACH-000362,-0.9410436492523129
ACH-000363,-1.2865991769572236
ACH-000364,-1.1255326344995504
ACH-000365,-1.0409154680483383
ACH-000366,-0.770064862728229
ACH-000368,-1.052744929187433
ACH-000374,-1.0503004150242379
ACH-000375,-1.1067639253598631
ACH-000376,-1.0622978387124908
ACH-000381,-0.8004404563235016
ACH-000383,-0.9803728671634658
ACH-000387,-1.1613108144305455
ACH-000389,-1.1934562836496667
ACH-000390,-1.0673599398205171
ACH-000393,-1.0890009620823815
ACH-000395,-1.1906493285485171
ACH-000396,-1.0557624162515091
ACH-000397,-1.2680952975509814
ACH-000401,-1.0185707442548295
ACH-000402,-1.1382267051314785
ACH-000403,-1.29986889150042
ACH-000404,-0.8648343553038266
ACH-000406,-1.115947287286007
ACH-000407,-1.147062127754832
ACH-000408,-0.8357455324465269
ACH-000410,-0.9091995002333187
ACH-000411,-1.0937247533782408
ACH-000414,-1.2396909266765959
ACH-000415,-1.1941021359361033
ACH-000416,-1.0698371069637072
ACH-000420,-1.0871055509637106
ACH-000421,-1.2489599877573638
ACH-000424,-1.2964609874069206
ACH-000425,-1.1402247690239995
ACH-000426,-1.2456868125681324
ACH-000427,-1.1369442617572294
ACH-000433,-0.9620285360568516
ACH-000435,-1.2145766583246074
ACH-000436,-1.239917077793194
ACH-000444,-0.9510933697215952
ACH-000445,-1.1649508316340669
ACH-000448,-0.9949268861703388
ACH-000450,-1.3327243604360892
ACH-000452,-1.0542094565256943
ACH-000454,-0.9985249891548807
ACH-000458,-1.0944865250666642
ACH-000459,-1.1319129210255268
ACH-000460,-1.1229882174140262
ACH-000461,-1.1492628625879762
