,DGCR14 (8220)
ACH-000004,-0.9451209677531116
ACH-000005,-0.7596585175443421
ACH-000007,-0.6920916552909745
ACH-000009,-0.7062771365455556
ACH-000011,-0.6187994108817966
ACH-000012,-1.0130890149740186
ACH-000013,-0.7892990929505822
ACH-000014,-0.4149727151735383
ACH-000015,-0.8108249079662918
ACH-000017,-0.7909841082529304
ACH-000018,-0.5323646412504317
ACH-000019,-0.965940197708559
ACH-000021,-0.3821666457004485
ACH-000022,-0.7541380372733674
ACH-000025,-0.7751352429017575
ACH-000028,-0.9563651216465427
ACH-000030,-0.9857040470316528
ACH-000035,-0.7776944245852749
ACH-000036,-0.7955954891682104
ACH-000037,-0.08720051390237316
ACH-000039,-0.673689968504407
ACH-000040,-0.6070894936575787
ACH-000041,-0.8459716706294459
ACH-000042,-0.8482298859254298
ACH-000045,-0.5745447418724048
ACH-000047,-0.8713828741711712
ACH-000052,-0.7665609999962895
ACH-000053,-0.9552018935510956
ACH-000054,-0.6623575319972693
ACH-000055,-0.6559808593906763
ACH-000060,-0.8736325641031655
ACH-000067,-0.7370364879819805
ACH-000070,-0.5918870545115444
ACH-000075,-0.7513794787679214
ACH-000078,-0.4759869996768691
ACH-000082,-0.957795128899523
ACH-000085,-0.6323282419613123
ACH-000086,-0.6459597196153748
ACH-000087,-0.8551941783009642
ACH-000092,-0.7175206592258461
ACH-000095,-0.7975731659562502
ACH-000097,-0.6421514855628465
ACH-000098,-0.6889522822468708
ACH-000099,-0.5646921974611395
ACH-000108,-0.7686576590774379
ACH-000113,-0.8143357371438814
ACH-000116,-0.8598381122867078
ACH-000118,-0.9997284631292505
ACH-000120,-0.5800866128571666
ACH-000123,-0.7701733194698972
ACH-000127,-0.5930639395894004
ACH-000128,-0.5594881720541617
ACH-000132,-0.7761776083591846
ACH-000133,-0.565213170763818
ACH-000137,-0.7577395029944903
ACH-000138,-0.6139894195275492
ACH-000142,-0.7266783011409558
ACH-000143,-0.8130253939975806
ACH-000146,-0.5675199996918513
ACH-000148,-0.6148717993037021
ACH-000150,-0.6590342267680651
ACH-000152,-0.6904334792183126
ACH-000153,-0.7406753740406209
ACH-000159,-0.5995034579887281
ACH-000160,-0.8692657409320036
ACH-000163,-0.5972327340211853
ACH-000167,-0.8008238508066994
ACH-000168,-0.5114343473689981
ACH-000169,-0.7262049993028873
ACH-000178,-0.7373846458637753
ACH-000183,-0.7612743333291444
ACH-000188,-0.9585565510032162
ACH-000189,-0.862613110659453
ACH-000190,-1.0525061737675667
ACH-000198,-0.6891744188843499
ACH-000203,-0.8410225991142293
ACH-000204,-0.4387406039163043
ACH-000206,-0.9821304892492768
ACH-000207,-0.719383519957321
ACH-000208,-0.549358446281788
ACH-000210,-0.7800931168706635
ACH-000211,-0.7276274840412602
ACH-000215,-0.6834159548531336
ACH-000221,-0.8376701763566353
ACH-000222,-0.7113040832166273
ACH-000223,-0.8716005123195424
ACH-000226,-0.8225660294600525
ACH-000227,-0.6208203377948349
ACH-000228,-0.914410996825834
ACH-000231,-0.6787310293485952
ACH-000232,-0.6624487344620135
ACH-000233,-0.7309307121942901
ACH-000234,-0.599585409931662
ACH-000235,-0.7620268990581643
ACH-000237,-0.7544697817920295
ACH-000238,-0.7277546627850339
ACH-000242,-0.6550395222521179
ACH-000243,-0.6450113507899952
ACH-000244,-0.8319561978833694
ACH-000246,-0.6757384544035403
ACH-000248,-0.7475824603264299
ACH-000250,-0.84687312303277
ACH-000251,-0.7598796641145787
ACH-000252,-0.9002424431180116
ACH-000253,-0.8426559614176492
ACH-000255,-0.8755669912019033
ACH-000256,-0.5525725264144242
ACH-000257,-0.4753469198303066
ACH-000258,-0.9538670082049916
ACH-000259,-0.5995311456535309
ACH-000260,-0.7522456597825052
ACH-000261,-0.7357667247407056
ACH-000262,-0.43771681374433535
ACH-000263,-0.8909894511001726
ACH-000264,-0.8953902795869867
ACH-000265,-0.7998643963102682
ACH-000266,-0.6853408787823683
ACH-000272,-0.6986442989948374
ACH-000274,-0.5143422085700895
ACH-000277,-0.8853755914804822
ACH-000278,-1.0376033589459726
ACH-000279,-0.7039833574977938
ACH-000280,-1.0004287536687326
ACH-000281,-0.5545590194155001
ACH-000288,-0.6965787392599565
ACH-000291,-0.9967190881091422
ACH-000293,-0.6741359337670815
ACH-000294,-0.9035364762414999
ACH-000295,-0.7127920939390181
ACH-000296,-0.8647940673205736
ACH-000302,-0.9405975565117664
ACH-000304,-0.6243951182890258
ACH-000307,-0.7494783288715126
ACH-000308,-0.9569553285331548
ACH-000310,-0.7341796266322933
ACH-000311,-0.7271229968151643
ACH-000312,-0.7512686591306879
ACH-000315,-0.614018998183682
ACH-000316,-0.5728799533128343
ACH-000317,-0.6829299761717712
ACH-000318,-0.9102266284592376
ACH-000319,-0.6984547415351805
