,EXOSC10 (5394)
ACH-000004,-0.7371994127971958
ACH-000005,-0.9856512617238384
ACH-000007,-0.6513969680780497
ACH-000009,-0.7109513763027857
ACH-000011,-1.0545684495830523
ACH-000012,-0.9877891500921324
ACH-000013,-0.7434248200144803
ACH-000014,-0.8328478986973561
ACH-000015,-0.9104156132064809
ACH-000017,-0.8484171445638597
ACH-000018,-0.9852562485156188
ACH-000019,-0.9604001494049316
ACH-000021,-0.616355234466348
ACH-000022,-1.0430404774598503
ACH-000025,-0.8990527890865206
ACH-000028,-0.9991405188545897
ACH-000030,-0.9704656431496678
ACH-000035,-0.9255186185473468
ACH-000036,-1.0034381538629362
ACH-000037,-0.948610573724273
ACH-000039,-0.6692221780576089
ACH-000040,-0.9097824480820316
ACH-000041,-0.6064514594554983
ACH-000042,-0.8792851158821156
ACH-000045,-0.9428766437578234
ACH-000047,-0.8383059291490415
ACH-000052,-1.006519893172808
ACH-000053,-0.6614910470881495
ACH-000054,-0.7937664152167879
ACH-000055,-0.793988903311129
ACH-000060,-1.1194792578389936
ACH-000067,-0.9161801605548374
ACH-000070,-0.9863266242758296
ACH-000075,-1.017186302510377
ACH-000078,-0.8920732383650488
ACH-000082,-0.7511261160230336
ACH-000085,-0.8784362094087992
ACH-000086,-0.8903122254918796
ACH-000087,-1.0897888625084091
ACH-000092,-0.6380084014304388
ACH-000095,-0.8118795330639647
ACH-000097,-1.0014034714610502
ACH-000098,-1.0041717058977473
ACH-000099,-1.006563224673484
ACH-000108,-0.7718699329717227
ACH-000113,-0.7050330633975584
ACH-000116,-1.168489239097736
ACH-000118,-0.7551378736797769
ACH-000120,-0.917580566482946
ACH-000123,-0.8581124285385429
ACH-000127,-0.9406010172285992
ACH-000128,-0.819813089408345
ACH-000132,-0.7894711610244887
ACH-000133,-0.886617081315244
ACH-000137,-0.9594139739110251
ACH-000138,-0.97386642914028
ACH-000142,-1.0801991479704152
ACH-000143,-0.6479238381875871
ACH-000146,-0.7059552809373241
ACH-000148,-0.802419106735953
ACH-000150,-1.1151605742895567
ACH-000152,-0.6675282645475161
ACH-000153,-0.8000461019482855
ACH-000159,-0.7028446632893746
ACH-000160,-0.9911887594806624
ACH-000163,-0.9437367253525004
ACH-000167,-1.1419037066258813
ACH-000168,-0.651886260921026
ACH-000169,-0.9204125990301768
ACH-000178,-0.8558225204562253
ACH-000183,-0.7244741968362248
ACH-000188,-0.8687731308753694
ACH-000189,-0.7772458764351777
ACH-000190,-0.5824048130872477
ACH-000198,-0.7887071690445618
ACH-000203,-1.075509063077734
ACH-000204,-0.9094113279145436
ACH-000206,-0.9317957503603342
ACH-000207,-0.7744337467534061
ACH-000208,-0.6096356720565397
ACH-000210,-0.7204930400725804
ACH-000211,-0.8626457671723557
ACH-000215,-0.8751014981796139
ACH-000221,-0.7450834235442078
ACH-000222,-0.6882462188741573
ACH-000223,-0.6441432338276951
ACH-000226,-0.7900458772388275
