,BOP1 (23246)
ACH-000004,-0.8554841389397718
ACH-000005,-0.7521294173178467
ACH-000007,-1.0614769161100928
ACH-000009,-0.8434382709578956
ACH-000011,-1.0593484025916406
ACH-000012,-0.8548643710255129
ACH-000013,-0.9114079442559846
ACH-000014,-0.6211372898583103
ACH-000015,-0.8477904348631078
ACH-000017,-1.0018476407488712
ACH-000018,-0.9067910309362478
ACH-000019,-0.6841805598112299
ACH-000021,-0.9006868016128119
ACH-000022,-0.8067758124915942
ACH-000025,-0.8762998395770037
ACH-000028,-0.9317028542484668
ACH-000030,-0.8197108526459541
ACH-000035,-0.9704323772319058
ACH-000036,-1.0603373190500835
ACH-000037,-0.8195469218103851
ACH-000039,-0.8808628174310436
ACH-000040,-0.9536070868900409
ACH-000041,-0.7267282817951023
ACH-000042,-0.8248819902431177
ACH-000045,-0.7175480525921927
ACH-000047,-0.9490958539558341
ACH-000052,-0.8013231055268515
ACH-000053,-0.6238590902962508
ACH-000054,-0.9218693225619656
ACH-000055,-0.6239467007636217
ACH-000060,-0.7363118531853343
ACH-000067,-0.8735350732727419
ACH-000070,-0.626616761638166
ACH-000075,-0.9486016707367562
ACH-000078,-0.6071274239464881
ACH-000082,-0.7074218270808016
ACH-000085,-1.024011209503956
ACH-000086,-0.7461680931488117
ACH-000087,-0.7245922834486225
ACH-000092,-0.9909509552259071
ACH-000095,-0.6236974036139014
ACH-000097,-0.8897963880184586
ACH-000098,-0.9026797224945216
ACH-000099,-0.6904474652783453
ACH-000108,-0.9673657783864276
ACH-000113,-0.7010912367839072
ACH-000116,-0.6955312931984597
ACH-000118,-0.8358519944838207
ACH-000120,-0.9807124857972698
ACH-000123,-0.7186714725077903
ACH-000127,-0.8778443892109218
ACH-000128,-0.8727708200214175
ACH-000132,-0.7926044068075352
ACH-000133,-0.9473489909929794
ACH-000137,-0.6649233815759222
ACH-000138,-0.9992800463216556
ACH-000142,-0.8225356231078572
ACH-000143,-0.5683702863695442
ACH-000146,-0.6281611375631675
ACH-000148,-0.6322668952316808
ACH-000150,-0.9565071522882236
ACH-000152,-0.9640578674836398
ACH-000153,-0.9417330527411903
ACH-000159,-1.0033429121806683
ACH-000160,-0.9004364989168793
ACH-000163,-0.8833773891904803
ACH-000167,-0.9440476335934784
ACH-000168,-0.7029574573441494
ACH-000169,-0.8739974858287461
ACH-000178,-0.8907921939771231
ACH-000183,-0.8459661759321742
ACH-000188,-0.8823770975011085
ACH-000189,-0.8195101011764425
ACH-000190,-0.6540711725419202
ACH-000198,-0.6814692448799161
ACH-000203,-0.8477807835447879
ACH-000204,-0.8426828483868549
ACH-000206,-0.8269573167554156
ACH-000207,-0.654199649763857
ACH-000208,-1.3302309324114132
ACH-000210,-0.7372528671848005
ACH-000211,-0.9746798729027174
ACH-000215,-0.7865870019101493
ACH-000221,-0.7546836116137691
ACH-000222,-0.869748156284251
ACH-000223,-0.4867587963516581
ACH-000226,-0.7768392974557957
ACH-000227,-0.3556787914551169
ACH-000228,-0.7334909206448522
ACH-000231,-0.8163541746314023
ACH-000232,-0.932315653938832
ACH-000233,-0.7623319735633713
ACH-000234,-1.071169425231677
ACH-000235,-0.8097671503971337
ACH-000237,-0.8453184398841951
ACH-000238,-0.8504631920312208
ACH-000242,-0.37924515174842977
ACH-000243,-0.7917624817494434
ACH-000244,-0.867524343375169
ACH-000246,-0.9086912671479828
ACH-000248,-0.7326472950751765
ACH-000250,-1.1601029666624822
ACH-000251,-0.9792383791356232
ACH-000252,-1.0392298727125795
ACH-000253,-1.0310391242701535
ACH-000255,-0.7545459899912932
ACH-000256,-1.0124823640498892
ACH-000257,-0.7506737543162406
ACH-000258,-1.2362534045015363
ACH-000259,-0.9517631346427672
ACH-000260,-0.7800019279594352
ACH-000261,-0.7733099948860566
ACH-000262,-1.0937378239275215
ACH-000263,-0.8559805947336501
ACH-000264,-0.7575249685666499
ACH-000265,-0.986173940039086
ACH-000266,-0.8662937913315614
ACH-000272,-0.8077431194936308
ACH-000274,-0.85750243967021
ACH-000277,-0.327046708222401
ACH-000278,-0.6441106096008495
ACH-000279,-0.5142682994396117
ACH-000280,-1.1888848941825234
ACH-000281,-1.114658775143598
ACH-000288,-0.5764129068334545
ACH-000291,-0.947214448018086
ACH-000293,-0.8229263773799148
ACH-000294,-1.2701835636372056
ACH-000295,-0.8220824162428385
ACH-000296,-0.6880993506320155
ACH-000302,-0.9278949268801372
ACH-000304,-0.7088656498705698
ACH-000307,-0.9686382081888308
ACH-000308,-0.7632900550719045
ACH-000310,-0.5753505512827665
ACH-000311,-0.9250722461939086
ACH-000312,-0.9404986854966404
ACH-000315,-0.8342399504857082
ACH-000316,-1.2073710382676386
ACH-000317,-0.9732832387882088
ACH-000318,-0.6949003238111802
ACH-000319,-0.8724103477517127
ACH-000320,-1.093994917320882
ACH-000322,-0.8363710319996747
ACH-000323,-0.7237383044009655
ACH-000324,-0.9331933747822124
