,RPS19BP1 (91582)
ACH-000004,-0.5040987271380588
ACH-000005,-1.0348033467921474
ACH-000007,-0.535909001558617
ACH-000009,-0.6657826641035447
ACH-000011,-0.41451993873442605
ACH-000012,-0.5647041294609689
ACH-000013,-0.7184789784790679
ACH-000014,-0.6441327179593016
ACH-000015,-0.6610896158421774
ACH-000017,-0.3211594185773023
ACH-000018,-0.7331819232209034
ACH-000019,-0.5539972789882721
ACH-000021,-0.4871822780880152
ACH-000022,-0.6211893228197681
ACH-000025,-0.7845595844638735
ACH-000028,-0.4540752514045316
ACH-000030,-0.5520128241919456
ACH-000035,-0.4202519284749652
ACH-000036,-0.7307315771182041
ACH-000037,-0.2528865759272833
ACH-000039,-0.43066813118012826
ACH-000040,-0.3805276538312144
ACH-000041,-0.4771119360379581
ACH-000042,-0.6036826461218694
ACH-000045,-0.3734910482748254
ACH-000047,-0.587879053302428
ACH-000052,-0.5121405426231274
ACH-000053,-0.5586708349104852
ACH-000054,-0.5264790505742818
ACH-000055,-0.6313291634600393
ACH-000060,-0.582502245130321
ACH-000067,-0.7259801628797331
ACH-000070,-0.3980535616646771
ACH-000075,-0.40554127559608505
ACH-000078,-0.4498667533520027
ACH-000082,-0.5375702292092687
ACH-000085,-0.4309138700563983
ACH-000086,-0.5682559501883845
ACH-000087,-0.6003504983587872
ACH-000092,-0.6620163047640862
ACH-000095,-0.5386550010847356
ACH-000097,-0.5930651722330174
ACH-000098,-0.5893192348198555
ACH-000099,-0.4955822545336246
ACH-000108,-0.552447147068345
ACH-000113,-0.633450888699907
ACH-000116,-0.4889238133441457
ACH-000118,-0.6989611458460095
ACH-000120,-0.7110864569000964
ACH-000123,-0.5546067059755904
ACH-000127,-0.3473451881907286
ACH-000128,-0.6762884694904149
ACH-000132,-0.7191935322228615
ACH-000133,-0.5271083031067356
ACH-000137,-0.5167035961536851
ACH-000138,-0.4909419151644776
ACH-000142,-0.5554329028037304
ACH-000143,-0.7074975360218694
ACH-000146,-0.5666924538248016
ACH-000148,-0.4915376513556989
ACH-000150,-0.3543938270035307
ACH-000152,-0.6978346744042688
ACH-000153,-0.3141429609489141
ACH-000159,-0.495220872970822
ACH-000160,-0.7555448490385451
ACH-000163,-0.5268201481715362
ACH-000167,-0.6949830773797424
ACH-000168,-0.8192493070556637
ACH-000169,-0.6356196231512202
ACH-000178,-0.6506057260498329
ACH-000183,-0.5383959025829304
ACH-000188,-0.4781260086753626
ACH-000189,-0.4220655062037619
ACH-000190,-0.7090442519137985
ACH-000198,-0.4713091144372283
ACH-000203,-1.3542074702536782
ACH-000204,-0.3407083356925321
ACH-000206,-0.4788243284919767
ACH-000207,-0.6249372354119191
ACH-000208,-0.4200604240848005
ACH-000210,-0.4154331601141133
ACH-000211,-0.45022309856715054
ACH-000215,-0.5015275169678123
ACH-000221,-0.4060948705969925
ACH-000222,-0.4847277180965642
ACH-000223,-0.5435060557401395
ACH-000226,-0.4220295988382557
ACH-000227,-0.5584696417208291
ACH-000228,-0.6419660059064748
ACH-000231,-0.7295142220254409
ACH-000232,-0.5533793751626406
ACH-000233,-0.5626868050004264
ACH-000234,-0.28726012514387217
ACH-000235,-0.4344702882809463
ACH-000237,-0.4746591759958265
ACH-000238,-0.6659822097055084
ACH-000242,-0.5414887315290408
ACH-000243,-0.6486824758615141
ACH-000244,-0.7854099750743391
ACH-000246,-0.4701368815799769
ACH-000248,-0.44002249187390347
ACH-000250,-0.4272569630406825
