,ESPL1 (9700)
ACH-000004,-1.4717191163995749
ACH-000005,-1.2603264755996793
ACH-000007,-1.169525534175595
ACH-000009,-1.4071268498738565
ACH-000011,-1.2266045142709043
ACH-000012,-1.3908990673777657
ACH-000013,-1.5651039098679014
ACH-000014,-1.5339652344158208
ACH-000015,-1.44445681682122
ACH-000017,-1.3655268198865025
ACH-000018,-1.1070635328311254
ACH-000019,-1.2505558662479344
ACH-000021,-1.3553084602641283
ACH-000022,-1.3607548214479848
ACH-000025,-1.3759691035681765
ACH-000028,-1.1593556198708244
ACH-000030,-1.3459840437544155
ACH-000035,-1.491413167672495
ACH-000036,-1.2598127178857441
ACH-000037,-0.6036741575555628
ACH-000039,-1.4765818501679018
ACH-000040,-1.2260609447989042
ACH-000041,-1.6884483370285142
ACH-000042,-1.4980573866199072
ACH-000045,-1.2831173870836086
ACH-000047,-1.233505574012842
ACH-000052,-1.5413437632894564
ACH-000053,-1.2767017088397346
ACH-000054,-1.3650211439021924
ACH-000055,-1.2985460225562628
ACH-000060,-1.5513585210941692
ACH-000067,-1.396056179211044
ACH-000070,-1.1953792215569727
ACH-000075,-1.3603928834873316
ACH-000078,-1.3433501725451344
ACH-000082,-1.2571869277048062
ACH-000085,-1.456173180840424
ACH-000086,-1.2632297426280636
ACH-000087,-1.5384015455928293
ACH-000092,-1.361144770682363
ACH-000095,-1.4935847204662154
ACH-000097,-1.4870067517690069
ACH-000098,-1.4250507782862876
ACH-000099,-1.2170530213725723
ACH-000108,-1.2335432685296688
ACH-000113,-1.381083058765097
ACH-000116,-1.434435821820191
ACH-000118,-1.4047443290013384
ACH-000120,-1.5567321324105683
ACH-000123,-1.4153205886658644
ACH-000127,-1.2866506670581273
ACH-000128,-1.4281096803621902
ACH-000132,-1.4891773232199583
ACH-000133,-1.492193963729209
ACH-000137,-1.3838860952425625
ACH-000138,-1.3050625521032846
ACH-000142,-1.2227748675055776
ACH-000143,-1.4241959690996269
ACH-000146,-1.5693330048227851
ACH-000148,-1.5843954184131983
ACH-000150,-1.2754550964111342
ACH-000152,-1.4383487296573303
ACH-000153,-1.6589208406669869
ACH-000159,-1.2882190395834805
ACH-000160,-1.1647866433198582
ACH-000163,-1.4332521948442067
ACH-000167,-1.4617928616358469
ACH-000168,-1.5137082296278146
ACH-000169,-1.4019648635886228
ACH-000178,-1.375422432054023
ACH-000183,-1.4879441855952962
ACH-000188,-1.3788230348903832
ACH-000189,-1.3596343698186515
ACH-000190,-1.0502923696454252
ACH-000198,-1.5094930265328852
ACH-000203,-1.6688947892384238
ACH-000204,-1.3662266484508594
ACH-000206,-1.141947359316979
ACH-000207,-1.6316964789314097
ACH-000208,-1.8402145200609603
ACH-000210,-1.3951984386042235
ACH-000211,-1.2930974089595633
ACH-000215,-1.3786241018852186
ACH-000221,-1.5763374865890525
ACH-000222,-1.5003452368553156
ACH-000223,-1.3593051169167132
ACH-000226,-1.1214921365736543
ACH-000227,-1.465243108410459
ACH-000228,-1.635437093057383
ACH-000231,-1.3820017486057894
ACH-000232,-1.5101130455203933
ACH-000233,-1.305890746486883
ACH-000234,-1.2412304464291066
ACH-000235,-1.3049985733864602
ACH-000237,-1.30007033260019
ACH-000238,-1.411058957445007
ACH-000242,-1.2050380471867057
ACH-000243,-1.3515067707862665
ACH-000244,-1.2206262066575344
ACH-000246,-1.254666356246552
ACH-000248,-1.1703388664801748
ACH-000250,-1.2292298325592983
ACH-000251,-1.4619756700777236
ACH-000252,-1.6199462220445953
ACH-000253,-1.266714424191552
ACH-000255,-1.3405039417098483
ACH-000256,-1.256871395475804
ACH-000257,-1.5428692940863218
ACH-000258,-1.1610444971090712
ACH-000259,-1.4678019042293622
ACH-000260,-1.2954737517420063
ACH-000261,-1.6123578995688257
ACH-000262,-1.439447624002537
ACH-000263,-1.89447710871396
ACH-000264,-1.277671017551561
ACH-000265,-1.4511400798743002
ACH-000266,-1.4137903551763595
ACH-000272,-1.254681074936047
ACH-000274,-1.4290849934202547
ACH-000277,-1.4532089430816153
ACH-000278,-1.3891369234857696
ACH-000279,-1.4696294132423104
ACH-000280,-1.5313583005903582
ACH-000281,-1.3642223998346168
ACH-000288,-1.3876057605325116
ACH-000291,-1.446223010535036
ACH-000293,-1.290698285821322
ACH-000294,-1.7934352367790087
ACH-000295,-1.4280199812076508
ACH-000296,-1.3071079188515289
ACH-000302,-1.4008851714445365
ACH-000304,-1.2561403477602082
ACH-000307,-1.4063180088497782
ACH-000308,-1.4171093465561606
ACH-000310,-1.2918973081732503
ACH-000311,-1.4027528909235367
ACH-000312,-1.4371422881955433
ACH-000315,-1.4566782056667469
ACH-000316,-1.4854795117583308
ACH-000317,-1.5149864734186984
ACH-000318,-1.5323533194075782
ACH-000319,-1.6204987184024076
ACH-000320,-1.4097641114807289
ACH-000322,-0.9284494050677176
ACH-000323,-1.4478989679734504
ACH-000324,-1.4214387170694336
ACH-000329,-1.317241113585728
ACH-000330,-1.4805077311747863
ACH-000331,-1.3485650281755632
ACH-000332,-1.2579678411065145
ACH-000334,-1.1567671500876178
ACH-000335,-1.245948539064817
ACH-000336,-1.7369966827377676
ACH-000337,-1.2578221697131688
ACH-000338,-1.1277099715578651
ACH-000339,-1.3331236146364154
ACH-000341,-1.3269878237397958
ACH-000348,-1.2240426037469865
ACH-000350,-1.3634508694506011
ACH-000352,-1.4967415280835092
ACH-000356,-1.4411994706659643
ACH-000361,-1.6841907003846075
ACH-000362,-1.4510572563607125
ACH-000363,-1.4157218267132732
ACH-000364,-1.1917229892923942
ACH-000365,-1.4377294727772405
ACH-000366,-1.3902071645211895
ACH-000368,-1.524637763758758
ACH-000374,-1.4030810812693757
ACH-000375,-1.109259359977994
ACH-000376,-1.539971974198083
ACH-000381,-1.451668343016998
ACH-000383,-1.2857179724892438
ACH-000387,-1.3866847552186288
ACH-000389,-1.1173922028574432
ACH-000390,-1.2946521721612219
ACH-000393,-1.3691685000049991
ACH-000395,-1.55514125814163
ACH-000396,-0.9900214670659936
ACH-000397,-1.2478046671198846
ACH-000401,-1.4718433502790769
ACH-000402,-1.3715806462538689
ACH-000403,-1.3780170003930832
ACH-000404,-1.4491338148152233
ACH-000406,-1.6332495041177066
ACH-000407,-1.476159109774176
ACH-000408,-1.237611025043024
ACH-000410,-1.337583686782929
ACH-000411,-1.2048320872748255
ACH-000414,-1.3720857715926382
ACH-000415,-1.640363534512742
ACH-000416,-1.414769542445623
ACH-000420,-1.370864423817603
ACH-000421,-1.2325445397830308
ACH-000424,-1.4303077059942833
ACH-000425,-1.2260330715125531
ACH-000426,-1.9717509919047609
ACH-000427,-1.1894119821792954
ACH-000433,-1.185497360475103
ACH-000435,-1.5755649408698609
