,HIAT1 (64645)
ACH-000004,-0.4391597493211987
ACH-000005,0.2415239932906122
ACH-000007,-0.1942168585203728
ACH-000009,-0.2143491476597814
ACH-000011,-0.3287027516275039
ACH-000012,-0.3669614873745315
ACH-000013,-0.14354060567252142
ACH-000014,-0.2604532742141705
ACH-000015,-0.19739469209751415
ACH-000017,-0.3790488288933941
ACH-000018,-0.3434159174659168
ACH-000019,-0.1138148319128685
ACH-000021,-0.11406174427571178
ACH-000022,-0.2381146012854411
ACH-000025,-0.13114904836901786
ACH-000028,-0.1512204214196958
ACH-000030,-0.23998204083020802
ACH-000035,-0.21318913607719808
ACH-000036,-0.2493769308009401
ACH-000037,-0.2688718854241175
ACH-000039,-0.039634235029768185
ACH-000040,-0.20236806294590606
ACH-000041,-0.3813206956247941
ACH-000042,-0.13975182922935225
ACH-000045,-0.13030348097978342
ACH-000047,-0.11483038677346855
ACH-000052,-0.3137996356113451
ACH-000053,-0.20907963069324445
ACH-000054,-0.27338733121113434
ACH-000055,-0.4010202946841903
ACH-000060,-0.3554272882056583
ACH-000067,-0.1754143900837868
ACH-000070,-0.1063785686021314
ACH-000075,-0.0703319036635047
ACH-000078,-0.2584837750164795
ACH-000082,-0.2626340559752366
ACH-000085,-0.2679121734954918
ACH-000086,-0.1982621071005128
ACH-000087,-0.30350445959750016
ACH-000092,-0.1165035134234747
ACH-000095,-0.2698219036619177
ACH-000097,-0.09978731694678056
ACH-000098,-0.1146272124867617
ACH-000099,-0.2800892840418279
ACH-000108,-0.14221817434277345
ACH-000113,-0.40520008251072426
ACH-000116,-0.2368992739488213
ACH-000118,-0.1052908051312567
ACH-000120,-0.29545470941948593
ACH-000123,-0.12226969278213885
ACH-000127,-0.2748483315650359
ACH-000128,-0.04816393763513213
ACH-000132,-0.2389684687720762
ACH-000133,-0.29098109695997343
ACH-000137,-0.508869837358843
ACH-000138,-0.12097845462148035
ACH-000142,-0.2071053492767048
ACH-000143,-0.4216090135898714
ACH-000146,-0.349529463538834
ACH-000148,-0.2605576641657644
ACH-000150,-0.0016766851502675554
ACH-000152,-0.3094479757042562
ACH-000153,-0.2346078214927497
ACH-000159,-0.3998689658598752
ACH-000160,-0.2536506591124625
ACH-000163,-0.1644003108647409
