,GNB1L (54584)
ACH-000004,-0.7206672483264169
ACH-000005,-0.4088513252712641
ACH-000007,-0.5158107301567122
ACH-000009,-0.8428426898067597
ACH-000011,-0.5795336038394454
ACH-000012,-0.6621912393632826
ACH-000013,-0.6850836829944652
ACH-000014,-0.5855415716188366
ACH-000015,-0.9967241035630459
ACH-000017,-0.82465161943911
ACH-000018,-0.9417715007346984
ACH-000019,-0.8164936425863407
ACH-000021,-0.33000493842223155
ACH-000022,-0.732450583067486
ACH-000025,-0.6773939244406889
ACH-000028,-0.753403270183858
ACH-000030,-0.90289301343281
ACH-000035,-1.1007783234814372
ACH-000036,-0.9264748428408446
ACH-000037,-0.6187624401153918
ACH-000039,-0.7809372741157075
ACH-000040,-0.827802493378016
ACH-000041,-1.052733614844989
ACH-000042,-0.61458392903294
ACH-000045,-0.5097176438375115
ACH-000047,-0.8105288135813956
ACH-000052,-0.7725960918355721
ACH-000053,-0.8008813334182225
ACH-000054,-0.6668224767691612
ACH-000055,-0.8897884468604187
ACH-000060,-1.1032459223875406
ACH-000067,-0.8622232069426586
ACH-000070,-0.6737686156719221
ACH-000075,-0.4585694936028855
ACH-000078,-0.5845489066245839
ACH-000082,-0.6990672153128905
ACH-000085,-0.9041436884524244
ACH-000086,-0.9607173086642966
ACH-000087,-0.7749404698202864
ACH-000092,-0.62755831119257
ACH-000095,-0.7178512571507779
ACH-000097,-0.535634694199986
ACH-000098,-0.9990661102730648
ACH-000099,-0.7366827465041847
ACH-000108,-0.7774808431115585
ACH-000113,-0.4814612919670703
ACH-000116,-0.8555393598580632
ACH-000118,-0.8886904755920904
ACH-000120,-1.0109931050410756
ACH-000123,-0.5983654665942781
ACH-000127,-0.7867861159209452
ACH-000128,-0.8596027203495427
ACH-000132,-0.6062780630607327
ACH-000133,-1.094723622233651
ACH-000137,-0.826144133407446
ACH-000138,-0.6949725929034073
ACH-000142,-1.0195195784546407
ACH-000143,-0.8138902046754499
ACH-000146,-0.6735236195361062
ACH-000148,-0.6909534963713985
ACH-000150,-0.7734068769363579
ACH-000152,-0.9776976309987454
ACH-000153,-0.6941114645778741
ACH-000159,-0.3869783319594533
ACH-000160,-0.5460151798286005
ACH-000163,-0.9604284026332206
ACH-000167,-1.1233073824873825
ACH-000168,-0.38308340854425216
ACH-000169,-0.8135639623396237
ACH-000178,-0.7824527326655919
ACH-000183,-0.7134641693089623
ACH-000188,-1.007500656664972
ACH-000189,-0.6488223084995426
ACH-000190,-0.7630185816755393
ACH-000198,-0.5126396971625908
ACH-000203,-1.1107210773523184
ACH-000204,-0.5876662041770743
ACH-000206,-0.7451780729393823
ACH-000207,-0.5641609322166358
ACH-000208,-0.8770372923903191
ACH-000210,-0.8791640026185769
ACH-000211,-1.0206733353788646
ACH-000215,-0.8142377380023226
ACH-000221,-0.9316544893011088
ACH-000222,-0.9568966866840524
ACH-000223,-0.8754655715826141
ACH-000226,-0.5408943616252456
ACH-000227,-0.4689988421199854
ACH-000228,-1.1293591755633303
ACH-000231,-0.6881268875890305
ACH-000232,-0.8501739406400036
ACH-000233,-0.6468894458227126
ACH-000234,-0.3889920673202586
ACH-000235,-0.8937946404228255
ACH-000237,-0.9306549601650072
ACH-000238,-0.9869626839219716
ACH-000242,-0.6962495935852229
ACH-000243,-0.9098519343435628
ACH-000244,-0.5285866456205492
ACH-000246,-0.5989904486072318
ACH-000248,-0.9281419625546478
ACH-000250,-0.7951076489907271
ACH-000251,-0.7267183959355479
ACH-000252,-0.9955128652852926
ACH-000253,-0.4800974527380386
ACH-000255,-0.8368396219350881
ACH-000256,-0.7347153905164017
ACH-000257,-0.6219976380575074
ACH-000258,-0.8325821878807725
ACH-000259,-0.7553371911843544
ACH-000260,-0.8220704357653664
ACH-000261,-0.6334506820143261
ACH-000262,-0.6454580208924068
ACH-000263,-0.7344939377175422
ACH-000264,-0.8701050302879728
