,XPOT (11260)
ACH-000004,-0.27912158266926257
ACH-000005,-0.1658234393336897
ACH-000007,-0.32123994305322723
ACH-000009,-0.6230615958998689
ACH-000011,-0.4312750885805873
ACH-000012,-0.3923112299122252
ACH-000013,-0.5469207746874827
ACH-000014,-0.503533858188416
ACH-000015,-0.2692224699552162
ACH-000017,-0.1569747489187611
ACH-000018,-0.3337381913159167
ACH-000019,-0.24748620262065504
ACH-000021,-0.3032038302072909
ACH-000022,-0.21603465130770613
ACH-000025,-0.6054786861404664
ACH-000028,-0.1250848263399201
ACH-000030,-0.3251986383065425
ACH-000035,-0.4326301589415145
ACH-000036,-0.33908438896854354
ACH-000037,-0.12951348493835255
ACH-000039,-0.3989317722049973
ACH-000040,-0.3375420412660852
ACH-000041,-0.2439796177018549
ACH-000042,-0.3696642704333191
ACH-000045,-0.4226349500803778
ACH-000047,-0.4841622921324231
ACH-000052,-0.5493442729269142
ACH-000053,-0.09685835003291207
ACH-000054,-0.09673637722820903
ACH-000055,-0.6112961833876622
ACH-000060,-0.3997778833892707
ACH-000067,-0.38617064986546223
ACH-000070,-0.8528865591765419
ACH-000075,-0.7379931120543096
ACH-000078,-0.12222959288802228
ACH-000082,-0.3326718402662896
ACH-000085,-0.30195455740749994
ACH-000086,-0.4508295434172363
ACH-000087,-0.4252386553198688
ACH-000092,-0.24053395860360235
ACH-000095,-0.3882248535241556
ACH-000097,0.11820718906923185
ACH-000098,-0.23811080395152545
ACH-000099,-0.1507507331414533
ACH-000108,-0.2119350145314341
ACH-000113,-0.222337768805908
ACH-000116,-0.4123795794770543
ACH-000118,-0.6205409982245825
ACH-000120,-0.2133675114281615
ACH-000123,-0.3121210276333874
ACH-000127,-0.30338029974412906
ACH-000128,-0.4900166837214002
ACH-000132,-0.2698200610556355
ACH-000133,-0.31309636489262743
ACH-000137,-0.4420142608559625
ACH-000138,-0.4076397404448248
ACH-000142,-0.3451823429293778
ACH-000143,-0.4065789637933624
ACH-000146,-0.2040603889190992
ACH-000148,-0.4411839985445168
ACH-000150,-0.32129737018195137
ACH-000152,-0.0648252665053105
ACH-000153,-0.8380329194132142
ACH-000159,-0.3701418283506905
ACH-000160,-0.3151891665568614
ACH-000163,-0.3419556735587481
ACH-000167,-0.3244804107651696
ACH-000168,-0.04060583118572241
ACH-000169,-0.21648427228483946
ACH-000178,-0.5324767822338717
ACH-000183,-0.21010093531927998
ACH-000188,-0.2985990475891198
ACH-000189,-0.3307722199936965
ACH-000190,-0.44729659873286864
ACH-000198,-0.3793966556969145
ACH-000203,-0.20187555317029304
ACH-000204,0.056563742678424664
ACH-000206,0.04101539111802276
ACH-000207,-0.5207509529341944
ACH-000208,-0.3848950282906548
ACH-000210,-0.029387470729485093
ACH-000211,-0.2467355759738873
ACH-000215,-0.3176664633325514
ACH-000221,-0.3856071583347287
ACH-000222,-0.1858859939114626
ACH-000223,-0.3640584326171402
ACH-000226,-0.5477950373346658
ACH-000227,-0.34402544947850344
ACH-000228,-0.5531396606378924
ACH-000231,-0.2256860300309183
ACH-000232,-0.8469531261748026
ACH-000233,-0.2377884323559643
ACH-000234,-0.5401913785665262
ACH-000235,-0.3745584730538532
