,GORASP1 (64689)
ACH-000004,-0.17142471414467444
ACH-000005,-0.15526643470946028
ACH-000007,-0.16946162911917853
ACH-000009,-0.2624012806381979
ACH-000011,-0.07947206991827595
ACH-000012,-0.015272788930418148
ACH-000013,-0.13885143080071138
ACH-000014,-0.2271758582986547
ACH-000015,-0.22326672934763406
ACH-000017,-0.28761209560407763
ACH-000018,-0.26316651253338835
ACH-000019,-0.10359387801280663
ACH-000021,-0.1148748456593824
ACH-000022,-0.2186834866980281
ACH-000025,-0.1116536819887859
ACH-000028,-0.2185723627432005
ACH-000030,-0.22348231888034886
ACH-000035,0.01222373191211022
ACH-000036,-0.09007517216665904
ACH-000037,-0.2099672448024264
ACH-000039,-0.11301183212122515
ACH-000040,-0.22482540886507155
ACH-000041,-0.0915587518747958
ACH-000042,-0.04906954913728686
ACH-000045,-0.16453769035002716
ACH-000047,-0.19703683704734387
ACH-000052,-0.2221775673243754
ACH-000053,-0.2067240223505262
ACH-000054,-0.1350359915377517
ACH-000055,0.0359896260698724
ACH-000060,-0.3135813714498817
ACH-000067,-0.2448721053247955
ACH-000070,-0.1090932508431608
ACH-000075,-0.21000448911683733
ACH-000078,0.04352918318627872
ACH-000082,-0.21807627014289446
ACH-000085,-0.3654594953685196
ACH-000086,-0.07970120260440539
ACH-000087,-0.0750449042813455
ACH-000092,-0.18602808143556812
ACH-000095,-0.2451734846281498
ACH-000097,-0.2009901882636852
ACH-000098,-0.2018520583996391
ACH-000099,-0.13899208126197596
ACH-000108,-0.15478570959645968
ACH-000113,-0.041036490340221936
ACH-000116,-0.2811663794585452
ACH-000118,-0.07435815116827459
ACH-000120,-0.03656616926789715
ACH-000123,-0.2260293571868552
ACH-000127,-0.024272068595764383
ACH-000128,-0.024248161876743536
ACH-000132,-0.21979537483708966
ACH-000133,-0.14216600561625842
ACH-000137,0.005528290978065854
ACH-000138,-0.07128137180300473
ACH-000142,-0.18769588907580875
ACH-000143,-0.17191631685175682
ACH-000146,-0.16353059330113087
ACH-000148,-0.14121854791127722
ACH-000150,-0.1743652450193922
ACH-000152,-0.20767277450711732
ACH-000153,-0.2535415640020887
ACH-000159,-0.18104978132927904
ACH-000160,-0.05392806140965595
ACH-000163,-0.16518973153686994
ACH-000167,-0.2405934920658485
ACH-000168,-0.29898538543085096
ACH-000169,-0.16285594580231338
ACH-000178,-0.08328292921314441
ACH-000183,-0.2519127029088525
ACH-000188,-0.08824718780235748
ACH-000189,-0.11371735192219587
ACH-000190,0.015344064370956248
ACH-000198,-0.07696433027122533
ACH-000203,-0.4125973879661383
ACH-000204,-0.2635681071517464
ACH-000206,-0.11909580003182715
ACH-000207,-0.08410549947950184
ACH-000208,0.006846124349537154
ACH-000210,-0.2051692754953532
ACH-000211,-0.2259391167129372
ACH-000215,-0.09818061355879212
ACH-000221,-0.06707304769432124
ACH-000222,-0.06509351224268113
ACH-000223,-0.2781130292386929
ACH-000226,-0.14198973160747275
ACH-000227,-0.05815683427853961
ACH-000228,-0.20424844141959908
ACH-000231,-0.27406322409677475
ACH-000232,-0.14623493522742845
ACH-000233,-0.17120464303870614
ACH-000234,-0.08585127005271521
ACH-000235,-0.2891539243881025
ACH-000237,-0.15835815886081178
ACH-000238,-0.13513592958181947
ACH-000242,-0.06916449721072294
ACH-000243,-0.12957358304272953
ACH-000244,-0.052222681663481985
ACH-000246,-0.2930791483190957
ACH-000248,-0.28475008915582795
ACH-000250,-0.2301553049848263
ACH-000251,-0.14007497994771306
ACH-000252,-0.051171860493777366
ACH-000253,-0.12182309248563325
ACH-000255,-0.13404546014571792
ACH-000256,-0.08258690895030292
ACH-000257,-0.2504330271377148
ACH-000258,-0.06874039557735367
ACH-000259,-0.11171691619471083
ACH-000260,-0.11570934966654745
ACH-000261,-0.31158990299910305
ACH-000262,-0.09365695177566152
ACH-000263,-0.08836056909718908
ACH-000264,-0.1421817650601894
ACH-000265,0.03533192569979954
ACH-000266,-0.1583347118353646
ACH-000272,-0.2268908721124272
ACH-000274,-0.2072947710057879
ACH-000277,-0.22289636590850415
ACH-000278,-0.18225789132871908
ACH-000279,-0.09184668069060127
ACH-000280,-0.05002374344089596
ACH-000281,-0.02605173169470461
ACH-000288,-0.1250567686269767
ACH-000291,-0.14871672675257575
ACH-000293,-0.1765180231509698
ACH-000294,-0.3291692276407372
ACH-000295,-0.09796069958899582
ACH-000296,-0.03703887890101018
ACH-000302,-0.2005283498621031
ACH-000304,-0.30508331108752035
ACH-000307,-0.2193427197514035
ACH-000308,-0.16644773448744185
ACH-000310,-0.2254910536046708
ACH-000311,-0.14203663306740452
ACH-000312,-0.19449331986225046
ACH-000315,0.042972123923080134
ACH-000316,-0.24930190225549706
ACH-000317,-0.05520906792977172
ACH-000318,-0.07085224200925863
ACH-000319,-0.08919717920693901
ACH-000320,-0.2163329395598063
ACH-000322,0.0002618288699703355
ACH-000323,-0.3731488985805248
ACH-000324,-0.18188445464473166
ACH-000329,-0.2814504918736605
ACH-000330,-0.15960775776516847
ACH-000331,-0.15298835498509222
ACH-000332,-0.20590516871138992
ACH-000334,-0.2673174114659723
ACH-000335,-0.31598859863344936
ACH-000336,-0.06099702086099545
ACH-000337,-0.057871028951245324
ACH-000338,-0.5769819058756092
ACH-000339,-0.09452512691025496
ACH-000341,-0.19605690211996202
ACH-000348,-0.1370851529259315
ACH-000350,-0.05415562192017365
ACH-000352,-0.09431169373609556
ACH-000356,-0.11672988810793015
ACH-000361,-0.18857963976920405
ACH-000362,-0.2916476231365913
ACH-000363,-0.1952742066256791
ACH-000364,-0.1943970254841852
ACH-000365,-0.12269531808157867
ACH-000366,-0.1157389860222816
ACH-000368,-0.08629202544590546
ACH-000374,-0.16158284530539205
ACH-000375,-0.35384324757487623
ACH-000376,-0.23743162534104714
ACH-000381,-0.07009116959646709
ACH-000383,-0.10871240377223364
ACH-000387,-0.2786450158178358
ACH-000389,-0.3728445035705233
ACH-000390,-0.10240911983406337
ACH-000393,-0.1760122205426699
ACH-000395,-0.2342572020255399
ACH-000396,-0.10932526675699604
ACH-000397,-0.15192685431426448
ACH-000401,-0.2139124501086304
ACH-000402,-0.17330681359736475
ACH-000403,-0.0536041850341473
ACH-000404,-0.08521287282228461
ACH-000406,-0.2571586579878312
ACH-000407,-0.18312615513346686
ACH-000408,-0.3392038215651957
ACH-000410,-0.14808769693693236
ACH-000411,-0.10088421847555218
ACH-000414,-0.29805590917431823
ACH-000415,-0.2228308712784356
ACH-000416,-0.0993799998364648
ACH-000420,-0.2583417401438874
ACH-000421,-0.06638307096592314
ACH-000424,-0.30483847684082954
ACH-000425,-0.10856130111109724
ACH-000426,-0.3425996721268447
ACH-000427,-0.08652135051054312
ACH-000433,0.08043142190323478
ACH-000435,-0.10931096670875257
ACH-000436,-0.19629960436597207
ACH-000444,-0.19723663731156574
ACH-000445,-0.17929640397880042
ACH-000448,-0.19448789242253628
ACH-000450,-0.2066320659077481
ACH-000452,-0.19182855479409933
ACH-000454,-0.08241848871975918
ACH-000458,-0.21008766103318707
ACH-000459,-0.1517202446660212
ACH-000460,-0.24777902820774564
ACH-000461,-0.18422004876072545
ACH-000463,-0.2092896673188812
ACH-000464,-0.1593151477275357
ACH-000466,0.008321855238363523
ACH-000467,-0.039128245125889485
ACH-000468,-0.17786971598238566
ACH-000469,-0.15325567633042525
ACH-000470,-0.12541223535490692
ACH-000471,-0.2008746118614644
ACH-000472,-0.13542407006927687
ACH-000473,-0.26361884451854
ACH-000475,-0.14849099684372793
ACH-000476,-0.19805094459495096
ACH-000477,-0.4365885029398664
ACH-000479,-0.08372864979656525
ACH-000480,-0.0047037519883751395
ACH-000481,-0.239080409238216
ACH-000483,-0.10172516140556218
ACH-000484,-0.2453634002473188
ACH-000485,-0.2509224936202103
ACH-000486,-0.1852961454797967
ACH-000487,-0.17037221156469215
ACH-000488,-0.12564071048277914
ACH-000490,-0.20950610330378944
ACH-000491,-0.048721901021194176
ACH-000495,-0.31769784548346525
ACH-000496,-0.18364016483716936
ACH-000499,-0.16423889152130627
ACH-000500,-0.2146740573217335
ACH-000502,-0.2600451525487837
ACH-000503,-0.1749137109276301
ACH-000505,-0.2488540264737144
ACH-000507,-0.2919822746817741
ACH-000510,-0.16360374576426173
ACH-000511,-0.2162833524639117
ACH-000512,-0.24581241278162155
ACH-000516,-0.11908877849146335
ACH-000517,-0.16117755913738166
ACH-000518,-0.04530027266307855
ACH-000520,-0.3024881319322141
ACH-000521,-0.10103748850453337
ACH-000522,-0.1199565334923935
ACH-000524,-0.26184486818658914
ACH-000527,-0.17298809906318632
ACH-000528,-0.21093718140633624
ACH-000537,-0.18689314206833169
ACH-000541,-0.2532533101197711
ACH-000542,-0.00208876624869106
ACH-000544,-0.3310179178901049
ACH-000545,0.0039894739992308815
ACH-000547,-0.18082299241714508
ACH-000548,-0.1264529523035958
ACH-000549,-0.26627052746927315
ACH-000550,-0.1925537734168949
ACH-000552,-0.08489819820403996
ACH-000556,-0.14799804057180713
ACH-000557,-0.09010602123908217
ACH-000569,-0.2186744770245186
ACH-000570,-0.0742638020616253
ACH-000571,-0.24115649210511866
ACH-000573,-0.2218375922483712
ACH-000576,-0.18583504162817868
ACH-000579,-0.014502862379312137
ACH-000580,-0.0805403057007409
ACH-000584,-0.13628948901075472
ACH-000585,-0.14998857765465082
ACH-000588,-0.10649321641105358
ACH-000589,-0.1153512292134891
ACH-000591,-0.09330809445728153
ACH-000593,-0.2088032256287489
ACH-000600,-0.1957324482030368
ACH-000601,-0.15937663803966404
ACH-000605,-0.18386443230362368
ACH-000606,-0.2451210596171144
ACH-000608,-0.20034967220467706
ACH-000614,0.02916500699648496
ACH-000616,-0.1220456129896203
ACH-000618,-0.06876149386198499
ACH-000619,-0.19143718370922413
ACH-000620,-0.1916782769048057
ACH-000621,-0.14415237865296435
ACH-000622,-0.17999679760582232
ACH-000623,-0.1498839201461777
ACH-000624,-0.20350016585431185
ACH-000627,-0.18795535632281812
ACH-000630,-0.21685006410822094
ACH-000631,-0.342617430523099
ACH-000632,-0.16548794549301438
ACH-000633,-0.1304303420669492
ACH-000637,-0.18520755494831945
ACH-000638,-0.2660624835812139
ACH-000646,-0.24062227444025602
ACH-000647,-0.11278259712219227
ACH-000648,-0.20211924850158414
ACH-000649,-0.1893721771592335
ACH-000651,-0.10937943454607654
ACH-000652,-0.3310464827154088
ACH-000653,-0.2906916021788256
ACH-000657,-0.163086484803923
ACH-000658,-0.09025659388204088
ACH-000661,-0.17571116577219525
ACH-000662,-0.3323373313359417
ACH-000663,-0.2888054016081662
ACH-000665,-0.18194532743211592
ACH-000671,-0.06984182181445944
ACH-000672,-0.045468823517216886
ACH-000673,-0.1869260653461608
ACH-000676,-0.1974053349554912
ACH-000677,-0.09454017913087696
ACH-000681,-0.2423579588438996
ACH-000683,-0.13112539694818542
ACH-000684,-0.2529709334982642
