,RPLP2 (6181)
ACH-000004,-1.0005633894476058
ACH-000005,-1.3928468066728947
ACH-000007,-1.2409877056817051
ACH-000009,-1.2297186040548005
ACH-000011,-1.4756021422387164
ACH-000012,-1.0383496162559973
ACH-000013,-1.2910241187544162
ACH-000014,-1.255611535514623
ACH-000015,-1.031941730470898
ACH-000017,-1.1605447216388391
ACH-000018,-1.0272746326988054
ACH-000019,-1.1678315206531478
ACH-000021,-1.2344149083437808
ACH-000022,-1.1077556657312841
ACH-000025,-1.2359075747330233
ACH-000028,-1.1884158657805377
ACH-000030,-1.3758104847987718
ACH-000035,-1.0546215010087678
ACH-000036,-1.079134820516158
ACH-000037,-1.1490958892901422
ACH-000039,-1.220100544374345
ACH-000040,-0.9226893948082504
ACH-000041,-1.0619526685020315
ACH-000042,-1.1647078129471875
ACH-000045,-1.0363511679974242
ACH-000047,-0.9340783027251574
ACH-000052,-1.0053243181361982
ACH-000053,-1.047865856467147
ACH-000054,-1.0077858242644753
ACH-000055,-1.2466285947048683
ACH-000060,-1.1526087634330495
ACH-000067,-0.9949141119906048
ACH-000070,-1.1959591208160814
ACH-000075,-1.1121249941574132
ACH-000078,-1.3124956427957175
ACH-000082,-1.122797204156326
ACH-000085,-1.168187488916942
ACH-000086,-1.1031100288344542
ACH-000087,-0.9237134325691091
ACH-000092,-1.1166300423221758
ACH-000095,-1.2015159320176023
ACH-000097,-1.1644474407602816
ACH-000098,-1.1236027532726465
ACH-000099,-1.2366258441079696
ACH-000108,-0.9965329598370224
ACH-000113,-1.2452689624848925
ACH-000116,-1.131610760251477
ACH-000118,-1.146064565831043
ACH-000120,-1.2695462972739422
ACH-000123,-1.0674447006461147
ACH-000127,-1.1551705026391783
ACH-000128,-1.1923944364953851
ACH-000132,-1.1568020898999345
ACH-000133,-1.1004686880628969
ACH-000137,-1.1039740542917245
ACH-000138,-1.2097478426795656
ACH-000142,-1.2868920905430794
ACH-000143,-0.9760959314852216
ACH-000146,-0.9324222774595036
ACH-000148,-1.3432375826245686
ACH-000150,-1.3864400892250135
ACH-000152,-1.1988415875458924
ACH-000153,-0.8717625470598771
ACH-000159,-1.1835593550222103
ACH-000160,-1.0729265278343771
ACH-000163,-1.2477022793065873
ACH-000167,-0.6433650972101468
ACH-000168,-1.1695138612327132
ACH-000169,-1.082256513772831
ACH-000178,-1.0492923639970568
ACH-000183,-1.0711434704936482
ACH-000188,-1.176297324619398
ACH-000189,-0.9883859552969916
ACH-000190,-1.2677610307708989
ACH-000198,-1.246987215441059
ACH-000203,-1.4952970340297973
ACH-000204,-0.9112344933698366
ACH-000206,-1.4810725859677212
ACH-000207,-1.23039380859897
ACH-000208,-1.1832055778585515
ACH-000210,-1.1201783105872671
ACH-000211,-1.391160922771718
ACH-000215,-1.215481643005763
ACH-000221,-1.2838303150664443
ACH-000222,-1.190437632785298
ACH-000223,-1.0598619910290894
ACH-000226,-1.1141564524091945
ACH-000227,-1.2714028828341384
ACH-000228,-1.1030977795488064
ACH-000231,-1.306965130441022
ACH-000232,-1.1350780073617237
ACH-000233,-1.2592552622411437
ACH-000234,-1.4083423011202374
ACH-000235,-0.9794165979182478
ACH-000237,-1.0332708954200025
ACH-000238,-1.1822032369610205
ACH-000242,-1.6085335631808717
ACH-000243,-1.209849353878734
ACH-000244,-1.0291605778205393
ACH-000246,-1.2682224644706546
ACH-000248,-0.8728371164173706
ACH-000250,-1.1851640501709069
ACH-000251,-1.2771709672452396
ACH-000252,-1.3374003181097032
ACH-000253,-1.1506106112165897
ACH-000255,-1.1768650460165522
ACH-000256,-1.2428012567338316
ACH-000257,-1.167934500868439
ACH-000258,-1.2791114469803553
ACH-000259,-1.3519659388223508
ACH-000260,-1.0935746114103064
ACH-000261,-1.094447817751638
ACH-000262,-1.025369576085863
ACH-000263,-1.2982052617748832
ACH-000264,-1.0166576450182296
ACH-000265,-1.259222212703198
ACH-000266,-1.0873211003549341
ACH-000272,-1.1424651680413085
ACH-000274,-1.323659155404473
ACH-000277,-1.1106029528550183
ACH-000278,-1.1586079850652222
ACH-000279,-1.1514052936843553
ACH-000280,-1.1512272313654883
ACH-000281,-1.0268726895119296
ACH-000288,-1.18677072009699
ACH-000291,-1.234814561037372
ACH-000293,-1.3578237112973193
ACH-000294,-1.3332649729761377
ACH-000295,-0.9839820258779504
ACH-000296,-1.121700285484197
ACH-000302,-1.0814936486870443
ACH-000304,-1.4049115116365132
ACH-000307,-1.3172923659227096
ACH-000308,-1.0375068639127036
ACH-000310,-1.2399655092825936
ACH-000311,-1.3217975030408993
ACH-000312,-1.236676533934599
ACH-000315,-1.3215345340860023
ACH-000316,-0.9223984203211718
ACH-000317,-1.2398210254388309
ACH-000318,-1.094216891210707
ACH-000319,-1.147962012333147
ACH-000320,-1.223131319157111
ACH-000322,-1.0745427862639425
ACH-000323,-0.911944850526187
ACH-000324,-1.3587417487188005
ACH-000329,-1.10142077583556
ACH-000330,-0.8299561951015741
ACH-000331,-1.1690972635349255
ACH-000332,-1.1817676938773092
ACH-000334,-1.5492489429282896
ACH-000335,-1.181697375856476
ACH-000336,-1.1244993118048006
ACH-000337,-1.2159511508665468
ACH-000338,-1.3652316651551684
ACH-000339,-1.2003246588004362
ACH-000341,-1.5221036360630658
ACH-000348,-1.1534939588886108
ACH-000350,-1.2910966792043317
ACH-000352,-1.1031417524511429
ACH-000356,-1.0336016573349835
ACH-000361,-1.1769424320585593
ACH-000362,-1.323397912571358
ACH-000363,-1.2000996993512545
ACH-000364,-1.1188594047340028
ACH-000365,-1.2894559817046962
ACH-000366,-1.2660111485717864
ACH-000368,-1.1279672019628788
ACH-000374,-1.2969589761643832
ACH-000375,-1.173978847632402
ACH-000376,-1.0635847691749372
ACH-000381,-1.0806887228462538
ACH-000383,-1.0884928534970404
ACH-000387,-1.0500470461384317
ACH-000389,-0.9989450249595746
ACH-000390,-1.0519563014157238
ACH-000393,-1.042657356665577
ACH-000395,-1.1324401394518646
ACH-000396,-1.23293581845818
ACH-000397,-0.9094829167251456
ACH-000401,-0.9474490721040678
ACH-000402,-1.3303394389435332
ACH-000403,-1.0991913102408757
ACH-000404,-1.4322929517240706
ACH-000406,-1.4749042229643428
ACH-000407,-0.9746926539233766
ACH-000408,-1.1683742692667238
ACH-000410,-0.9741049986635012
ACH-000411,-1.2095299618065822
ACH-000414,-1.162679546694095
ACH-000415,-1.4136717326750812
ACH-000416,-0.948519869669856
ACH-000420,-1.2293693000173584
ACH-000421,-1.0889554165218729
ACH-000424,-0.9328601628376054
ACH-000425,-0.9200903522958233
ACH-000426,-1.2238336278596698
ACH-000427,-1.0058673268232277
ACH-000433,-0.9450600558149088
ACH-000435,-1.127153580841549
ACH-000436,-0.9345845277125536
ACH-000444,-1.1207793888771092
ACH-000445,-0.9843278725013764
ACH-000448,-1.1791795249352637
ACH-000450,-1.0789890547170349
ACH-000452,-0.7202899638068997
ACH-000454,-1.3353470270452226
ACH-000458,-1.127108410066045
ACH-000459,-1.0600866975338907
ACH-000460,-1.2000439277017514
ACH-000461,-1.1373597919924563
ACH-000463,-1.0122410920056857
ACH-000464,-1.1185238443840493
ACH-000466,-1.3598501301197208
ACH-000467,-1.2602709256979772
ACH-000468,-1.212711636979138
ACH-000469,-1.0385343734208872
ACH-000470,-1.1133555499123513
ACH-000471,-1.2128575008052451
ACH-000472,-1.3192362668974786
ACH-000473,-1.2734797398568158
ACH-000475,-1.1668589141193957
ACH-000476,-0.9904840201237324
ACH-000477,-1.623215698636347
ACH-000479,-1.1554919419987444
ACH-000480,-1.2696764502535345
ACH-000481,-1.1569166059894769
ACH-000483,-1.3201883880387049
ACH-000484,-1.1639643974247087
ACH-000485,-0.9885855835244288
ACH-000486,-1.2228452804956822
ACH-000487,-1.2155807359548203
ACH-000488,-1.1665235886321244
ACH-000490,-1.007313991957134
ACH-000491,-1.0200970841486665
ACH-000495,-1.2006538727859697
ACH-000496,-1.0564373870552757
ACH-000499,-1.2732536377336754
ACH-000500,-1.3100874589990101
ACH-000502,-1.1511542428158932
ACH-000503,-1.0609199705132089
ACH-000505,-0.992559015982232
ACH-000507,-0.8735906816341331
ACH-000510,-1.1688920877031799
ACH-000511,-0.9127776968938952
ACH-000512,-1.2286775279982796
ACH-000516,-1.219352757667864
ACH-000517,-1.0396892981519308
ACH-000518,-1.0935446831174718
ACH-000520,-1.245138307793788
ACH-000521,-1.05248004504606
ACH-000522,-1.1435640063630483
ACH-000524,-1.1319284108346015
ACH-000527,-1.1311584556266665
ACH-000528,-1.2429507981336898
ACH-000537,-1.371476766755621
ACH-000541,-1.1524901760866963
ACH-000542,-1.1981802557913617
ACH-000544,-1.199240777342169
ACH-000545,-1.1988407289008876
ACH-000547,-1.2751546295200396
ACH-000548,-1.1302874785564538
ACH-000549,-1.0356432987552568
ACH-000550,-1.0811162813082376
ACH-000552,-1.1433985057642508
ACH-000556,-1.218921072209348
ACH-000557,-1.49861510246502
ACH-000569,-1.1755266268741045
ACH-000570,-1.2059438301765195
ACH-000571,-1.356973331340738
ACH-000573,-1.0169065906313703
ACH-000576,-1.2696440260872568
ACH-000579,-1.0670834921105163
ACH-000580,-1.0357023460655177
ACH-000584,-1.1716233464748802
ACH-000585,-1.2949128882949952
ACH-000588,-1.277432446516653
ACH-000589,-0.936807106723491
ACH-000591,-1.1679181760616462
ACH-000593,-1.2036270175039443
ACH-000600,-1.4101357453863816
ACH-000601,-1.2268095552895066
ACH-000605,-1.072586760501718
ACH-000606,-1.1699965736919382
ACH-000608,-1.301852825919596
ACH-000614,-1.430306948487575
ACH-000616,-1.0752603481280312
ACH-000618,-1.0838379240897258
ACH-000619,-0.9180296788467066
ACH-000620,-0.9539098545025344
ACH-000621,-1.1435008848660344
ACH-000622,-1.2029029080916538
ACH-000623,-1.2037935241761668
ACH-000624,-1.0580806280658186
ACH-000627,-1.1521539819569866
ACH-000630,-1.2151296852530704
ACH-000631,-0.8829700706892974
ACH-000632,-1.2954937898810155
ACH-000633,-1.1895174927120966
ACH-000637,-0.94984166767921
ACH-000638,-1.0978854794323294
ACH-000646,-1.0507765460231355
ACH-000647,-1.2336256747976615
ACH-000648,-1.3251196549991326
ACH-000649,-1.327620181515125
ACH-000651,-1.1401875345605348
ACH-000652,-1.2380896925242262
ACH-000653,-1.0683595105679973
ACH-000657,-1.1928920944027477
ACH-000658,-1.3404230913315327
ACH-000661,-1.181789405841126
ACH-000662,-0.6702343905366623
ACH-000663,-1.110851648354572
ACH-000665,-1.1679181053126326
ACH-000671,-1.0801141173926259
ACH-000672,-1.2607733522167024
ACH-000673,-0.8839430248814103
ACH-000676,-1.0346091643196436
ACH-000677,-1.4977415271847183
ACH-000681,-1.4376586260638278
ACH-000683,-1.3104870149323953
ACH-000684,-1.1797223929180738
ACH-000688,-0.8832022109095371
ACH-000693,-1.0440474304417768
ACH-000694,-1.044869407078474
ACH-000695,-0.9471834570990736
ACH-000696,-1.0948409626957054
ACH-000697,-1.0790419633853192
ACH-000699,-1.2231620039928743
ACH-000701,-1.3148947284108048
ACH-000706,-1.0891686417248594
ACH-000711,-1.2944011804106454
ACH-000713,-1.2507333764908333
ACH-000714,-1.088736207100209
ACH-000718,-1.2545880479699252
ACH-000720,-1.1564725227028954
ACH-000721,-1.0316728459180045
ACH-000724,-1.2552483175133755
ACH-000725,-1.0248114780659652
ACH-000732,-1.1108330197283771
ACH-000734,-1.137337001884921
ACH-000735,-1.0775366030387197
ACH-000736,-1.0862451455732052
ACH-000738,-1.2588586888672897
ACH-000746,-0.9997855877933
ACH-000747,-1.2940281789885648
ACH-000748,-1.3589354906302484
ACH-000753,-1.0499838194392708
ACH-000756,-1.3685455290092574
ACH-000757,-1.0053269211026974
ACH-000758,-1.334243325557131
ACH-000760,-1.155615780259161
ACH-000762,-1.2519158778128423
ACH-000763,-1.5840875394270435
