,SV2A (9900)
ACH-000004,-0.38252471064199894
ACH-000005,-0.2649637179608759
ACH-000007,-0.3329705008559513
ACH-000009,-0.4191262871297646
ACH-000011,-0.2324452071992321
ACH-000012,-0.23224706031649206
ACH-000013,-0.19858445386214693
ACH-000014,-0.14552211430402676
ACH-000015,-0.33611558730007696
ACH-000017,-0.1852683520291755
ACH-000018,-0.20235107988735995
ACH-000019,-0.3522026546744344
ACH-000021,-0.22445791332206455
ACH-000022,-0.2767147651260716
ACH-000025,-0.29849874764721473
ACH-000028,-0.4635514055742908
ACH-000030,-0.20818764171603468
ACH-000035,-0.3694958904426735
ACH-000036,-0.3280099722888105
ACH-000037,-0.3318079266774524
ACH-000039,-0.3886263041634977
ACH-000040,-0.2380748779823237
ACH-000041,-0.1241749000739728
ACH-000042,-0.2257184880562573
ACH-000045,-0.15511246361004502
ACH-000047,-0.2333349546377245
ACH-000052,-0.2861112565066045
ACH-000053,-0.3245843490640437
ACH-000054,-0.1624052633653263
ACH-000055,-0.2640558362670389
ACH-000060,-0.3543257626486188
ACH-000067,-0.15520346376165384
ACH-000070,-0.29326227497545365
ACH-000075,-0.15808326063523231
ACH-000078,-0.12315329511508336
ACH-000082,-0.3663111478608741
ACH-000085,-0.23745075547841404
ACH-000086,-0.4224445515108251
ACH-000087,-0.5414833618106429
ACH-000092,-0.3187967732673155
ACH-000095,-0.2564052036945071
ACH-000097,-0.4045360078724383
ACH-000098,-0.26085532823566365
ACH-000099,-0.11190289531175283
ACH-000108,-0.22690401408153066
ACH-000113,-0.35284207273599794
ACH-000116,-0.2294656326778013
ACH-000118,-0.30125000894309595
ACH-000120,-0.2710463892094165
ACH-000123,-0.2880401003979051
ACH-000127,-0.28851227365945675
ACH-000128,-0.2774348019303156
ACH-000132,-0.2248351003517665
ACH-000133,-0.3671978613103351
ACH-000137,-0.3617133897782239
ACH-000138,-0.2367898623849529
ACH-000142,-0.2740321724401337
ACH-000143,-0.3997687441308756
ACH-000146,-0.1904929840918432
ACH-000148,-0.4196245763275331
ACH-000150,-0.3044747567809989
ACH-000152,-0.315102525982236
ACH-000153,-0.17207036003064655
ACH-000159,-0.2867022596715821
ACH-000160,-0.11832064042903245
ACH-000163,-0.2108739111240714
ACH-000167,0.05902566388414021
ACH-000168,-0.4561115181429511
ACH-000169,-0.18551985907424884
ACH-000178,-0.06959417694144547
ACH-000183,-0.36965507688358396
ACH-000188,-0.29399623454703216
ACH-000189,-0.2536604241576251
