,ARHGEF10L (55160)
ACH-000004,0.02884814389462386
ACH-000005,-0.0184388655191269
ACH-000007,0.22627573097712064
ACH-000009,-0.09393234985554004
ACH-000011,-0.03615638620921016
ACH-000012,-0.12573011257884747
ACH-000013,0.0518021457727346
ACH-000014,-0.00413817975790514
ACH-000015,0.13419976640913453
ACH-000017,0.028589746664631443
ACH-000018,0.05690645248931581
ACH-000019,-0.014490759761464378
ACH-000021,0.08096945734878598
ACH-000022,0.04735405503406885
ACH-000025,-0.046542058466591575
ACH-000028,0.1857729363914028
ACH-000030,0.0414583696171292
ACH-000035,-0.07355365516209443
ACH-000036,0.014010620581035485
ACH-000037,-0.1397632180150885
ACH-000039,-0.16570614335221964
ACH-000040,-0.06408526160012845
ACH-000041,-0.06382667587891927
ACH-000042,0.058425784470232715
ACH-000045,-0.038308748740733936
ACH-000047,0.07159803458003837
ACH-000052,0.008101638147219386
ACH-000053,0.04884931943605916
ACH-000054,0.06695355548590155
ACH-000055,-0.07703070806039984
ACH-000060,0.014728173752260234
ACH-000067,0.017813740940980927
ACH-000070,-0.09882079853660578
ACH-000075,0.2448246302823064
ACH-000078,0.019355645425502752
ACH-000082,-0.08815072444019381
ACH-000085,-0.1958308930433011
ACH-000086,0.12270437031417107
ACH-000087,0.24660962167209435
ACH-000092,-0.07647321273537966
ACH-000095,-0.02359341219359281
ACH-000097,0.03935191904085483
ACH-000098,0.03650207945364355
ACH-000099,-0.011484770160551291
ACH-000108,0.02421614911002077
ACH-000113,0.1398749754241126
ACH-000116,0.018743728122040074
ACH-000118,0.10343016982651863
ACH-000120,0.03912801838037271
ACH-000123,-0.024962771764095747
ACH-000127,0.09493602653989247
ACH-000128,-0.04502146287690075
ACH-000132,-0.05361207635405136
ACH-000133,0.048809240192021805
ACH-000137,-0.06922331562354263
ACH-000138,0.01485460723570744
ACH-000142,0.01833677455111485
ACH-000143,-0.035606658975008434
ACH-000146,0.01444273610705165
ACH-000148,-0.0001306134833098896
ACH-000150,-0.11134449535931712
ACH-000152,-0.04644814385369525
ACH-000153,0.20491702632394898
ACH-000159,0.013227938311016856
ACH-000160,-0.06705248929508385
ACH-000163,-0.07834352898461279
ACH-000167,0.3274686790038158
ACH-000168,0.09595118624300032
ACH-000169,0.030936792899002707
ACH-000178,0.06730535467503042
ACH-000183,-0.015233458602581244
ACH-000188,-0.043962390351608926
ACH-000189,0.161316827196977
ACH-000190,0.10962358865370307
ACH-000198,0.052481947477492144
ACH-000203,0.5420872373733739
ACH-000204,0.14761831159543756
