,APOB (338)
ACH-000004,-0.010424466048239248
ACH-000005,-0.04125055373012646
ACH-000007,0.1866785351915224
ACH-000009,0.16912794898622768
ACH-000011,0.12755588271844606
ACH-000012,0.05195241466232844
ACH-000013,0.12252045099090685
ACH-000014,0.17878398267213488
ACH-000015,0.20586845042516336
ACH-000017,0.2266931448858228
ACH-000018,0.08459720120550747
ACH-000019,0.11906411006416512
ACH-000021,0.1085114638099429
ACH-000022,0.08716575108904209
ACH-000025,0.1969783428726968
ACH-000028,0.19252640777079352
ACH-000030,0.1599640835922733
ACH-000035,0.15292017731439336
ACH-000036,0.10285460831668343
ACH-000037,0.2629468791580762
ACH-000039,0.13702432789069466
ACH-000040,0.1351563713504537
ACH-000041,0.1030752953353066
ACH-000042,0.0614822747548595
ACH-000045,0.15104398095610794
ACH-000047,0.1852445182714539
ACH-000052,0.3281664123178439
ACH-000053,-0.026030398643035427
ACH-000054,0.1541964577201284
ACH-000055,0.029280103039314668
ACH-000060,0.14632931096133536
ACH-000067,0.19660721843356505
ACH-000070,0.058732140630717675
ACH-000075,0.13890517188265675
ACH-000078,0.0930509822626232
ACH-000082,0.1936769468515844
ACH-000085,0.16527431521974922
ACH-000086,0.18138396112307914
ACH-000087,0.05348053404510342
ACH-000092,0.014168377648323856
ACH-000095,0.16039786872284414
ACH-000097,0.17379010787133212
ACH-000098,0.095717004653263
ACH-000099,0.0361213230646212
ACH-000108,0.12668483884645124
ACH-000113,0.09071631035726037
ACH-000116,0.1198411305288277
ACH-000118,0.13626045507704956
ACH-000120,0.08282230020729638
ACH-000123,0.13255146804837578
ACH-000127,0.15851103035465328
ACH-000128,0.17208314152864804
ACH-000132,0.2473333452098045
ACH-000133,0.12680960517153184
ACH-000137,0.24839125183031696
ACH-000138,0.17356308407525625
ACH-000142,0.12442771757843067
ACH-000143,0.056830653303728725
ACH-000146,0.03471072536367688
ACH-000148,0.2105935154999169
ACH-000150,0.2541619409231741
ACH-000152,0.018683413097463374
ACH-000153,0.04466478704868653
ACH-000159,0.08958089659891136
ACH-000160,0.23803590974098324
ACH-000163,-0.004752960052051796
ACH-000167,0.08949181157367725
ACH-000168,0.1584668213854787
ACH-000169,0.19809351786471904
ACH-000178,0.17246902371633827
ACH-000183,0.20144788071917866
ACH-000188,0.12576577803356268
ACH-000189,0.19611753623734107
ACH-000190,0.2255797689063216
ACH-000198,0.14451624127700985
ACH-000203,-0.11985537355147816
ACH-000204,0.2158336694262609
ACH-000206,0.16547818978785267
ACH-000207,0.2080497123385031
