,PMM2 (5373)
ACH-000004,-1.008310117456122
ACH-000005,-0.34188700236203473
ACH-000007,-0.8591506708047434
ACH-000009,-0.16218307669578852
ACH-000011,-0.38925688276541903
ACH-000012,-0.4948615006301853
ACH-000013,-0.138114690606082
ACH-000014,-0.2384070674822876
ACH-000015,-0.4885702170131412
ACH-000017,-0.3639219755430793
ACH-000018,-0.2344815921272657
ACH-000019,-0.3137592384981202
ACH-000021,-0.08716416625098541
ACH-000022,-0.3858890812026843
ACH-000025,-0.7343145459837109
ACH-000028,-0.5133574132876685
ACH-000030,0.055106652955284934
ACH-000035,-0.2639049576325008
ACH-000036,-0.3002698676248051
ACH-000037,-0.13053886511909155
ACH-000039,-0.36198222627316295
ACH-000040,-0.3193170367921082
ACH-000041,0.09168294668051584
ACH-000042,-0.383811304137318
ACH-000045,-0.4892467977179101
ACH-000047,-0.6360094343700993
ACH-000052,-0.2613861352133521
ACH-000053,-0.4195648906502734
ACH-000054,-0.5111001616428731
ACH-000055,-0.33240176044102066
ACH-000060,-0.21611271496577397
ACH-000067,-0.3325464287974616
ACH-000070,-0.6630536641411641
ACH-000075,-0.4160002416608454
ACH-000078,-0.08099354398963274
ACH-000082,-0.03775549439487428
ACH-000085,-0.17121370104917275
ACH-000086,-0.04295229244613272
ACH-000087,-0.23490175516486064
ACH-000092,-0.6359079448552308
ACH-000095,-0.1210506140309492
ACH-000097,-0.2286188479874253
ACH-000098,-0.22531916323214854
ACH-000099,-0.08012643346319015
ACH-000108,-0.4274242395643957
ACH-000113,-0.3583063496123391
ACH-000116,-0.3217012373945453
ACH-000118,-0.7621841732626077
ACH-000120,-0.5021783821526491
ACH-000123,-0.08320146715460823
ACH-000127,-0.02861349405380338
ACH-000128,-0.21186226794770102
ACH-000132,-0.1595128826901215
ACH-000133,-0.06499547153938172
ACH-000137,-0.4373111554023189
ACH-000138,-0.5140025022212655
ACH-000142,-0.4958341212916587
ACH-000143,-0.036649607990092835
ACH-000146,-0.5024846937205321
ACH-000148,-0.20780627823772516
ACH-000150,-0.22225356151889314
ACH-000152,-0.08309284427631157
ACH-000153,-0.4943198376737398
ACH-000159,-0.3250489140087173
ACH-000160,-0.3478498659485749
ACH-000163,-0.2935284409129633
ACH-000167,0.10521115672433963
ACH-000168,-0.43497679331998335
ACH-000169,-0.16640648662576432
ACH-000178,-0.5436514210002477
ACH-000183,-0.7242895337646669
ACH-000188,-0.6837558377103161
ACH-000189,-0.3974304664474039
ACH-000190,-0.35475294391340384
ACH-000198,-0.3698870672203936
ACH-000203,-0.3153020916476359
ACH-000204,-0.7539573088781061
ACH-000206,-0.08935987158341245
ACH-000207,-0.5965930007948121
ACH-000208,-0.3297716074858392
ACH-000210,-0.5755793296705172
ACH-000211,-0.11405448828084053
ACH-000215,-0.2114009336901653
ACH-000221,-0.046716421848556594
ACH-000222,-0.4222610051158145
ACH-000223,-0.4517337316241039
ACH-000226,-0.4977885404136759
ACH-000227,-0.2493289792069203
ACH-000228,-0.4445694604488993
ACH-000231,-0.12386842444674075
ACH-000232,-0.04520743450509302
ACH-000233,-0.4477993764489268
ACH-000234,-0.3228258059466841
ACH-000235,-0.5940992677963097
ACH-000237,-0.1997486631227802
ACH-000238,-0.0218189534258297
ACH-000242,-0.24836929354431425
ACH-000243,-0.5138527549308557
ACH-000244,-0.12819736666146472
ACH-000246,-0.17765011387904472
ACH-000248,-0.3894920154306738
ACH-000250,-0.5952250558221893
ACH-000251,-0.39831832789073307
ACH-000252,-0.4998000474762643
ACH-000253,-0.4322924009031899
ACH-000255,-0.49978123858989
ACH-000256,-0.1638633232697738
ACH-000257,-0.18925752123988832
ACH-000258,-0.547562648954951
ACH-000259,-0.011239171160839232
ACH-000260,-0.4236143023404267
ACH-000261,-0.19596128895413967
ACH-000262,-0.3924259395477585
ACH-000263,-0.6183225121871895
