,TMPRSS11B (132724)
ACH-000004,-0.09191911029365173
ACH-000005,0.2472105666558092
ACH-000007,0.22688967814713765
ACH-000009,0.14933966438289914
ACH-000011,0.11571485580359317
ACH-000012,0.016789759985971285
ACH-000013,0.16924967400457006
ACH-000014,0.12265362413064998
ACH-000015,0.1135492256024605
ACH-000017,0.14687550934330176
ACH-000018,-0.06690348441085386
ACH-000019,0.06432562065172946
ACH-000021,0.06976113092550637
ACH-000022,0.04784310449556868
ACH-000025,0.06578280499264014
ACH-000028,0.10121628182356507
ACH-000030,0.09938092969302954
ACH-000035,0.09279989616174893
ACH-000036,0.0583757508051897
ACH-000037,0.0702113358068793
ACH-000039,-0.05875779008901754
ACH-000040,0.09220160941144004
ACH-000041,-0.041642477523516866
ACH-000042,0.04898941186678443
ACH-000045,0.19997379821105735
ACH-000047,0.11755370415866975
ACH-000052,0.19242742406945704
ACH-000053,0.1348272437563391
ACH-000054,0.14470768403078824
ACH-000055,0.040055972147980914
ACH-000060,0.026556348529803896
ACH-000067,-0.07348826999203048
ACH-000070,0.01590076054714815
ACH-000075,0.12773949701425494
ACH-000078,0.049802085837213884
ACH-000082,0.06813924372600154
ACH-000085,0.02008959163136212
ACH-000086,0.0994746665903008
ACH-000087,0.12156419226294933
ACH-000092,0.1478780252843299
ACH-000095,0.12798678195271734
ACH-000097,0.08159954384376847
ACH-000098,0.026253078164911042
ACH-000099,0.17582423103169434
ACH-000108,0.0026997345563899732
ACH-000113,0.18132738162738632
ACH-000116,0.034197548427195926
ACH-000118,0.07010583065196435
ACH-000120,0.11445728034445622
ACH-000123,0.0463391123080796
ACH-000127,0.08742045648824863
ACH-000128,0.04059741236333634
ACH-000132,0.1251898080569596
ACH-000133,0.18479161153844453
ACH-000137,0.16416075915124687
ACH-000138,0.13981855121617584
ACH-000142,0.02378497289549479
ACH-000143,0.08191070318134974
ACH-000146,0.028679704722459575
ACH-000148,0.15054192614523249
ACH-000150,0.0
ACH-000152,0.1068423489892918
ACH-000153,-0.022355879046369976
ACH-000159,0.13821766067036187
ACH-000160,-0.029795173632827163
ACH-000163,0.009510782551555113
ACH-000167,0.2503544031319809
ACH-000168,0.2446452984590239
ACH-000169,-0.027448701554690785
