,NSMF (26012)
ACH-000004,0.08692405521035973
ACH-000005,-0.04927272019112041
ACH-000007,-0.4679367473804928
ACH-000009,-0.3250691484331626
ACH-000011,-0.2958707774209907
ACH-000012,-0.10719345706561413
ACH-000013,-0.2464486347446808
ACH-000014,-0.062217530765147765
ACH-000015,-0.2094888154478451
ACH-000017,-0.10923367390425837
ACH-000018,-0.15516241647135542
ACH-000019,-0.23149630453171965
ACH-000021,-0.19382921109106988
ACH-000022,-0.28171417082998385
ACH-000025,-0.024752055640141612
ACH-000028,-0.28603902319194113
ACH-000030,-0.1489076397189417
ACH-000035,-0.05289516733107343
ACH-000036,-0.2530820866358665
ACH-000037,-0.1846430519391532
ACH-000039,-0.058729346989752525
ACH-000040,-0.2159398854344072
ACH-000041,-0.19670421276042235
ACH-000042,-0.2882197705257689
ACH-000045,-0.2073569950474309
ACH-000047,-0.1961332129127778
ACH-000052,-0.052192709665559514
ACH-000053,-0.15800614391584591
ACH-000054,-0.14430596872384688
ACH-000055,-0.12772759183423854
ACH-000060,-0.2039424511099916
ACH-000067,-0.14416391365551
ACH-000070,-0.21715855071826726
ACH-000075,-0.3423322391709322
ACH-000078,-0.07716872347822536
ACH-000082,-0.2389074630791765
ACH-000085,-0.16861256197248606
ACH-000086,-0.14699024399454427
ACH-000087,-0.2794857294315834
ACH-000092,-0.16596099126313218
ACH-000095,-0.12495736884562585
ACH-000097,-0.14060598420024073
ACH-000098,-0.07346763240758257
ACH-000099,-0.2748094700907715
ACH-000108,-0.24889899081663602
ACH-000113,-0.1883567788874164
ACH-000116,-0.17512402504154945
ACH-000118,-0.2410190006823705
ACH-000120,-0.33766900689504964
ACH-000123,-0.2249353925289161
ACH-000127,-0.17370812877476638
ACH-000128,-0.15506153054483107
ACH-000132,-0.2432339717708473
ACH-000133,-0.04926255110930616
ACH-000137,-0.1544291170674965
ACH-000138,-0.2645975080840388
ACH-000142,-0.28973458609447195
ACH-000143,-0.1810202324212458
ACH-000146,-0.11972488168248792
ACH-000148,-0.1967607289137554
ACH-000150,-0.2422796697893493
ACH-000152,-0.12474092471011645
ACH-000153,-0.025426440247379733
ACH-000159,-0.1413177713816261
ACH-000160,-0.09326591344155404
ACH-000163,-0.08526720051348928
ACH-000167,-0.09073272977559917
ACH-000168,-0.348165101321128
ACH-000169,-0.3081381179497787
ACH-000178,-0.1656959264035358
ACH-000183,-0.2748728325742828
ACH-000188,-0.22334493248323425
ACH-000189,0.01366795977369362
ACH-000190,-0.020331808973695017
ACH-000198,-0.06911534756357944
ACH-000203,-0.16790260867544912
ACH-000204,-0.18979419671036574
ACH-000206,-0.1887566910255436
ACH-000207,-0.3148913849488119
ACH-000208,0.08223724466972536
ACH-000210,0.1333374274537876
ACH-000211,-0.10652978239370887
ACH-000215,-0.2003559828374598
ACH-000221,-0.03991014087482653
ACH-000222,-0.3570675382373364
ACH-000223,-0.1322647872017139
ACH-000226,-0.010365970932428376
ACH-000227,-0.16818387815922214
ACH-000228,-0.2333139647789411
ACH-000231,-0.12441513799679113
ACH-000232,-0.09901012181536194
ACH-000233,-0.12287011687284198
ACH-000234,-0.22537465725890385
ACH-000235,-0.1611685742192178
ACH-000237,-0.10637052237837606
ACH-000238,-0.2524004965924341
ACH-000242,-0.2798859330240661
ACH-000243,-0.032386140133761024
ACH-000244,-0.33091374360447595
ACH-000246,-0.2548838639856304
ACH-000248,0.012458632345781984
ACH-000250,-0.19164602983536366
ACH-000251,-0.2329603756035368
ACH-000252,-0.23149858061118794
ACH-000253,-0.19582146957201654
ACH-000255,-0.20166024462795226
