,ANKLE1 (126549)
ACH-000004,-0.2234121041859812
ACH-000005,-0.019050321578599982
ACH-000007,-0.07868020476492511
ACH-000009,-0.036205333498319406
ACH-000011,-0.105719247687319
ACH-000012,-0.1374127221489441
ACH-000013,-0.2634742879900085
ACH-000014,-0.08285156477151337
ACH-000015,-0.2966888493339337
ACH-000017,-0.1543280460439972
ACH-000018,-0.1845931340875876
ACH-000019,-0.21522280203194893
ACH-000021,-0.08263099312448158
ACH-000022,-0.1040888954992376
ACH-000025,-0.1463453714401154
ACH-000028,-0.15346377928864713
ACH-000030,-0.27773780636452994
ACH-000035,-0.2555842759774227
ACH-000036,-0.04317420130019863
ACH-000037,-0.2174642544189684
ACH-000039,-0.2778230281007394
ACH-000040,-0.09880992106307793
ACH-000041,0.1048236486934802
ACH-000042,-0.1573823482164413
ACH-000045,-0.184793086363394
ACH-000047,-0.18267244668713306
ACH-000052,-0.07859376904575092
ACH-000053,-0.19961900986373446
ACH-000054,-0.22085621522825447
ACH-000055,-0.26464656893844285
ACH-000060,0.11247446629746537
ACH-000067,-0.11295689260246206
ACH-000070,0.038880690200466736
ACH-000075,-0.05918435201766543
ACH-000078,0.1191279762936979
ACH-000082,-0.08684583571875543
ACH-000085,0.012891335976171495
ACH-000086,-0.2584428815415863
ACH-000087,-0.17514625214653304
ACH-000092,-0.139394617300118
ACH-000095,-0.04283769181309738
ACH-000097,-0.13125098280671285
ACH-000098,-0.2369215403823632
ACH-000099,-0.1174472293762366
ACH-000108,-0.2502031838513739
ACH-000113,-0.008473761313595592
ACH-000116,-0.44681370135101817
ACH-000118,-0.15249269495756312
ACH-000120,-0.10509683620262246
ACH-000123,-0.1864522726814656
ACH-000127,-0.2023684489141316
ACH-000128,-0.3013593799675523
ACH-000132,-0.23139358390647846
ACH-000133,-0.13513358660774258
ACH-000137,-0.16368601198644311
ACH-000138,-0.22651194952338474
ACH-000142,-0.3549998774474001
ACH-000143,-0.0414924156328632
ACH-000146,-0.16927222645452886
ACH-000148,-0.1110640810174848
ACH-000150,-0.08923450101266728
ACH-000152,0.029906834034802814
ACH-000153,-0.09608872913152068
ACH-000159,-0.12163250526069172
ACH-000160,-0.03996019139752334
ACH-000163,-0.28187864884615393
ACH-000167,-0.1685727860316134
ACH-000168,-0.09276838847965192
ACH-000169,-0.1787168062809704
ACH-000178,-0.16874294563783687
ACH-000183,-0.24956065639027236
ACH-000188,-0.28795711558543113
ACH-000189,-0.13627765843032394
ACH-000190,-0.09295830739823227
ACH-000198,-0.19248499704275546
ACH-000203,-0.10843360230902764
ACH-000204,0.06027259185821395
ACH-000206,-0.1790626775696382
ACH-000207,-0.18133745005007365
ACH-000208,-0.0654252191968967
ACH-000210,-0.2731161761058765
ACH-000211,-0.148904333918523
ACH-000215,-0.10170690331372424
ACH-000221,-0.29901788750445746
ACH-000222,-0.008912308654202955
ACH-000223,-0.11646703178464925
ACH-000226,-0.2754931644266526
ACH-000227,-0.007276493596014144
ACH-000228,-0.22630283839475
ACH-000231,0.00200176948097415
ACH-000232,-0.08307148254574936
ACH-000233,-0.12915407794686964
ACH-000234,-0.20163939962366445
ACH-000235,-0.14270085490147888
ACH-000237,-0.20054771043485126
ACH-000238,-0.036388598706510414
ACH-000242,0.054371973760076235
ACH-000243,-0.2469712672849661
ACH-000244,0.014680296641397987
ACH-000246,-0.04677901601260608
ACH-000248,-0.2429167021117125
ACH-000250,-0.1622584241057922
ACH-000251,-0.38838896064161416
ACH-000252,-0.0673525319927166
ACH-000253,-0.1972725680362958
ACH-000255,-0.16672279575881496
ACH-000256,-0.07979960193106267
ACH-000257,-0.1244551063760748
ACH-000258,-0.13054662692435032
ACH-000259,-0.09099710859445376
ACH-000260,-0.15371433427142314
ACH-000261,-0.13373828522942086
ACH-000262,-0.0844890901619094
ACH-000263,-0.4186106021886979
ACH-000264,-0.18544580906126734
ACH-000265,-0.12210128141016804
ACH-000266,-0.06640691470600947
ACH-000272,0.05605315916168218
ACH-000274,-0.005128892356600068
ACH-000277,0.08061686114439792
ACH-000278,-0.287518399123432
ACH-000279,0.030290704084635564
ACH-000280,-0.17680328520186514
ACH-000281,-0.08008441419631684
ACH-000288,0.02446671089217345
ACH-000291,-0.12762019108438347
ACH-000293,0.03400778002354967
ACH-000294,-0.2663761593991949
ACH-000295,-0.001650952584831669
ACH-000296,-0.22508233647544806
ACH-000302,-0.2683164970847269
ACH-000304,-0.27774477810937004
ACH-000307,-0.2774330150565347
ACH-000308,-0.14137745668900345
ACH-000310,-0.05695304915957064
ACH-000311,-0.05817886187338235
ACH-000312,-0.1383007539115388
ACH-000315,-0.0800658620042817
ACH-000316,-0.14173476804097646
ACH-000317,0.013329554884260963
ACH-000318,-0.433095350177309
ACH-000319,-0.043878846906666935
ACH-000320,-0.29658668922717
ACH-000322,-0.10931418476088887
ACH-000323,-0.133739688417834
ACH-000324,-0.14234646450936145
ACH-000329,-0.15288167267138475
ACH-000330,-0.16165368483606904
ACH-000331,-0.09915200965228872
ACH-000332,-0.1307642131822856
ACH-000334,-0.2674799073535309
ACH-000335,-0.16927080996169813
ACH-000336,-0.02452895540887541
ACH-000337,-0.04384434781515256
ACH-000338,-0.09584595919948743
ACH-000339,-0.194175162281072
ACH-000341,-0.5539204428970771
ACH-000348,-0.19318501184121475
ACH-000350,-0.09579009912087376
ACH-000352,-0.28823040692628576
ACH-000356,-0.16246356204099824
ACH-000361,-0.1204305158785551
ACH-000362,-0.183643155383173
ACH-000363,-0.2509251752779542
ACH-000364,-0.03387883473845213
ACH-000365,-0.07256933731527049
ACH-000366,-0.2650296531686792
ACH-000368,-0.0852450168720959
ACH-000374,-0.24997061977363125
ACH-000375,-0.27557893190595456
ACH-000376,0.031953903456636186
ACH-000381,0.13582987459859855
ACH-000383,-0.21675164576282585
ACH-000387,-0.3666892236718679
ACH-000389,-0.12185918582864355
ACH-000390,-0.2442848089104582
ACH-000393,-0.19526713942490664
ACH-000395,-0.545987548271649
ACH-000396,-0.1732117825377454
ACH-000397,-0.14036937275293251
ACH-000401,-0.11978895888002825
ACH-000402,-0.3937155316892532
ACH-000403,-0.1233769817093506
ACH-000404,-0.18401055981280992
ACH-000406,-0.1829362778896626
ACH-000407,-0.09417719231819943
ACH-000408,-0.3787913561698304
ACH-000410,-0.15839811747775062
ACH-000411,0.012744534963078568
ACH-000414,-0.0448857218704309
ACH-000415,-0.1640917152326492
ACH-000416,-0.331094193579752
ACH-000420,-0.20130964745886065
ACH-000421,-0.13063998138029287
ACH-000424,-0.27443275249351085
ACH-000425,-0.04284174999626523
ACH-000426,-0.25059670156337016
ACH-000427,-0.042959175097307165
ACH-000433,-0.30184829167376953
ACH-000435,-0.4609636216044737
ACH-000436,-0.1658080636307072
ACH-000444,-0.05311222435800221
