,DACH1 (1602)
ACH-000004,-0.04502240971622649
ACH-000005,-0.23053321166442026
ACH-000007,-0.8140795680410758
ACH-000009,0.06660571683929413
ACH-000011,-0.32181211995465403
ACH-000012,-0.04778007363867468
ACH-000013,-0.18712026415567629
ACH-000014,-0.0242125812416919
ACH-000015,-0.04844998215493211
ACH-000017,-0.14082515340770088
ACH-000018,-0.15793942765311048
ACH-000019,-0.02904554578150984
ACH-000021,-0.044186503805929145
ACH-000022,-0.03882458736354813
ACH-000025,-0.048911355282395284
ACH-000028,-0.05449529607426603
ACH-000030,-0.07806921857870285
ACH-000035,0.015141368832170897
ACH-000036,-0.132456485739418
ACH-000037,-0.24596268699880194
ACH-000039,-0.17029123420521608
ACH-000040,0.01442356499141449
ACH-000041,-0.04973463668189315
ACH-000042,-0.04820702043613367
ACH-000045,0.06035983598520889
ACH-000047,0.05611758317459661
ACH-000052,-0.2737376086093964
ACH-000053,0.017933933044340353
ACH-000054,-0.04171141241804598
ACH-000055,-0.2239366513993643
ACH-000060,-0.05772961758798721
ACH-000067,-0.245669181145578
ACH-000070,-0.08543087429997545
ACH-000075,-0.09556596914402417
ACH-000078,-0.07897840847941819
ACH-000082,-0.05363701974676639
ACH-000085,0.01809017378357376
ACH-000086,-0.1278133229068234
ACH-000087,-0.09022297359908564
ACH-000092,0.01118179364035426
ACH-000095,-0.26097986325451217
ACH-000097,-0.03585392562546278
ACH-000098,-0.08168786037658429
ACH-000099,-0.20464134621517024
ACH-000108,-0.06532739195420424
ACH-000113,-0.3797090458315801
ACH-000116,-0.1361684102679889
ACH-000118,-0.07971203892876022
ACH-000120,-0.15113159512860286
ACH-000123,-0.1255556583529585
ACH-000127,-0.07763305337481599
ACH-000128,-0.1790723100848525
ACH-000132,-0.13793420068953155
ACH-000133,-0.07154491492200207
ACH-000137,0.0033806752874009282
ACH-000138,0.00252413514355252
ACH-000142,0.046524143662521625
ACH-000143,-0.07724098042671725
ACH-000146,-0.015815524283230027
ACH-000148,-0.10064298107054533
ACH-000150,-0.003130148371799989
ACH-000152,-0.04166768903825565
ACH-000153,-0.009670036597927095
ACH-000159,-0.1046876494330668
ACH-000160,0.05886781070863796
ACH-000163,0.09525326711787598
ACH-000167,0.1541926967960302
ACH-000168,-0.0006240155157517347
ACH-000169,0.014502798075484456
ACH-000178,-0.007924079656932776
ACH-000183,-0.11019246299040836
ACH-000188,-0.1549638676846311
ACH-000189,0.10400831062955113
ACH-000190,0.055138484223292566
ACH-000198,0.0044672716467471976
ACH-000203,-0.2346565735888805
ACH-000204,0.029552852177054636
ACH-000206,0.0035747415385328093
ACH-000207,-0.2597834854395645
ACH-000208,-0.18900713651868892
ACH-000210,0.07477309925070066
ACH-000211,-0.02372675542800137
ACH-000215,-0.1330231766628209
ACH-000221,0.022445968093303983
ACH-000222,0.15988030702247644
ACH-000223,-0.12398119309781475
ACH-000226,-0.031771205331075365
ACH-000227,-0.08411095112150628
ACH-000228,-0.08474165199085877
ACH-000231,-0.07449331902186297
ACH-000232,-0.3991032360081244
ACH-000233,-0.11616480781980955
ACH-000234,-0.08623441801605261
ACH-000235,-0.04088763706544296
ACH-000237,0.02403244852670216
ACH-000238,-0.22026514157216487
ACH-000242,-0.020842779196739863
ACH-000243,0.10678041552434188
ACH-000244,-0.07791138872476182
ACH-000246,-0.15726352003279434
ACH-000248,0.0006887406660365339
ACH-000250,-0.05897604171437362
ACH-000251,0.004776366756864443
ACH-000252,-0.3671093199963228
ACH-000253,-0.14668989818539865
ACH-000255,-0.1121571004157782
ACH-000256,-0.116043303903335
ACH-000257,-0.1050908588226228
ACH-000258,-0.15513144134696727
ACH-000259,0.014561256048425118
ACH-000260,-0.2101278082121221
ACH-000261,-0.16511438401319756
ACH-000262,-0.022150270012839045
ACH-000263,0.0695123332228576
ACH-000264,0.06074699007835339
