,PBLD (64081)
ACH-000004,-0.22455446655637226
ACH-000005,-0.19220973558850105
ACH-000007,-0.11849970157709247
ACH-000009,-0.043091012095973484
ACH-000011,-0.1347417991701933
ACH-000012,-0.2746470502576635
ACH-000013,-0.12895358411562333
ACH-000014,-0.006530166328893802
ACH-000015,-0.2959101043061646
ACH-000017,-0.09583383103352587
ACH-000018,-0.2877747809934771
ACH-000019,-0.06450486314854527
ACH-000021,-0.18547765555937692
ACH-000022,-0.14583929556859498
ACH-000025,-0.5091931545682281
ACH-000028,-0.1588525490412155
ACH-000030,-0.3756421190633446
ACH-000035,-0.3659384824536721
ACH-000036,-0.20008845540650674
ACH-000037,-0.22109212530750666
ACH-000039,-0.14336532510544034
ACH-000040,-0.12647921928472236
ACH-000041,-0.10820805736508228
ACH-000042,-0.08392518593835008
ACH-000045,0.09795338039173283
ACH-000047,-0.055023000208724616
ACH-000052,-0.4514616232780818
ACH-000053,-0.21393660775811946
ACH-000054,-0.29719988302233885
ACH-000055,-0.3229736554818977
ACH-000060,-0.1866349495262088
ACH-000067,-0.2349923562986924
ACH-000070,-0.4028407405578713
ACH-000075,-0.14024773021868056
ACH-000078,-0.08878411413387899
ACH-000082,-0.20858085935546392
ACH-000085,-0.02175718592410485
ACH-000086,-0.2854872666838158
ACH-000087,-0.19805337682384586
ACH-000092,-0.23525679540116065
ACH-000095,-0.08976184651175516
ACH-000097,-0.15803493206395286
ACH-000098,-0.13581268683131462
ACH-000099,-0.2726058228603281
ACH-000108,-0.17697835151969254
ACH-000113,-0.20687524996559767
ACH-000116,-0.13675620805089594
ACH-000118,-0.22390636097212827
ACH-000120,-0.15325518426035756
ACH-000123,-0.181204694047232
ACH-000127,-0.2321864557299033
ACH-000128,-0.1325445605304385
ACH-000132,-0.24821689041085865
ACH-000133,-0.2926615012738091
ACH-000137,-0.28276929331872624
ACH-000138,-0.18490838654806746
ACH-000142,-0.2419531349419443
ACH-000143,-0.2530537193809379
ACH-000146,-0.24394626432284375
ACH-000148,-0.2730545726642575
ACH-000150,-0.18377677402686451
ACH-000152,-0.23847830364086206
ACH-000153,-0.15789246863254947
ACH-000159,-0.2696482260534601
ACH-000160,-0.12402738823322232
ACH-000163,-0.192367903933792
ACH-000167,-0.20230319732800855
ACH-000168,-0.13153274284100733
ACH-000169,-0.4006713578532651
ACH-000178,-0.13796100282967905
ACH-000183,-0.15752645301630624
ACH-000188,-0.2677442008494145
ACH-000189,-0.2947322634515502
ACH-000190,-0.3451469006750461
ACH-000198,-0.2921497295936433
ACH-000203,0.8366499420233607
ACH-000204,-0.2120254904152855
ACH-000206,-0.2778607363631536
ACH-000207,-0.464884785387365
ACH-000208,-0.044320805413832064
ACH-000210,-0.10012811970786778
ACH-000211,-0.18804096593887384
ACH-000215,-0.2172451695898792
ACH-000221,-0.19471890401479705
ACH-000222,-0.13621974377064722
ACH-000223,-0.18199647195840693
ACH-000226,-0.2291167031816596
ACH-000227,-0.18965263686659625
ACH-000228,-0.3180051904477725
ACH-000231,-0.3016640131356218
ACH-000232,-0.18196992226962008
ACH-000233,-0.2302233523223375
ACH-000234,-0.17418572641266095
ACH-000235,-0.1120125163133086
ACH-000237,-0.2895319702938872
ACH-000238,-0.0718322968969518
ACH-000242,-0.1809367881497349
ACH-000243,-0.21902141083332805
ACH-000244,-0.10196933808934544
ACH-000246,-0.1020084117721221
ACH-000248,-0.2925302744648461
ACH-000250,-0.2513684720102216
ACH-000251,-0.3629491075808372
ACH-000252,-0.11446300915020573
ACH-000253,-0.06852302817991422
ACH-000255,-0.3950032054316166
ACH-000256,-0.31680135854338104
ACH-000257,-0.4122820172109071
ACH-000258,0.09236601947518952
ACH-000259,-0.08744793540588629
ACH-000260,-0.1751623845082194
ACH-000261,-0.18187069116071375
ACH-000262,-0.20446612938496506
ACH-000263,-0.3578023695529996
ACH-000264,-0.18976375347632354
ACH-000265,-0.18867077907308646
ACH-000266,-0.12008048662956512
ACH-000272,-0.2371744836293297
ACH-000274,-0.11186887778174187
ACH-000277,-0.09933352502353532
ACH-000278,-0.13071145418672062
ACH-000279,-0.12104990349912227
ACH-000280,-0.13775084107495608
ACH-000281,0.0031183426915399573
ACH-000288,-0.2861578465945001
ACH-000291,-0.1985549727373438
ACH-000293,-0.18840581901810108
ACH-000294,-0.18126501825240532
ACH-000295,0.05186675682703817
ACH-000296,-0.40795057316955
ACH-000302,-0.20071913581226625
ACH-000304,-0.2421604693803257
ACH-000307,-0.09440027095060692
ACH-000308,-0.1858274366477063
ACH-000310,-0.20986864397961247
ACH-000311,-0.1759912959762588
ACH-000312,-0.14207681865035166
ACH-000315,-0.30182475162636063
ACH-000316,-0.2132838816267816
ACH-000317,-0.06380077766359782
ACH-000318,-0.17805381691437694
ACH-000319,-0.2948095167465297
ACH-000320,-0.1780921864234515
ACH-000322,-0.12822178141115906
ACH-000323,-0.25414714234437463
ACH-000324,-0.14721651409814984
ACH-000329,-0.1253370885679996
ACH-000330,-0.007616983824890624
ACH-000331,-0.36006818788682793
ACH-000332,-0.1335057930417673
ACH-000334,-0.17025771321579586
ACH-000335,-0.15361692292718698
ACH-000336,-0.3279184078475224
ACH-000337,-0.08955344290397413
ACH-000338,-0.12320353208818635
ACH-000339,-0.2092345903826777
ACH-000341,-0.14415258991758514
ACH-000348,-0.12039448884489665
ACH-000350,-0.18559070135999647
ACH-000352,-0.20305616879415933
ACH-000356,-0.1683434929868492
ACH-000361,-0.1543107045617868
ACH-000362,-0.15953742539095425
ACH-000363,-0.15314168136626202
ACH-000364,-0.13825325280887696
ACH-000365,-0.19250952272575694
ACH-000366,-0.2406534858558429
ACH-000368,-0.1882570526661296
ACH-000374,-0.2743939025275128
ACH-000375,-0.3354060294758305
ACH-000376,-0.2964972638223207
ACH-000381,-0.2842071698387343
ACH-000383,-0.15629512355626782
ACH-000387,-0.15548985623314254
ACH-000389,-0.3572834222041367
ACH-000390,-0.3234019197444501
ACH-000393,-0.2120201240519261
ACH-000395,-0.03676771540599809
ACH-000396,-0.05344306728223189
ACH-000397,-0.14466406341314136
ACH-000401,-0.06401602696031725
ACH-000402,-0.4222970755873469
ACH-000403,-0.22886785055061715
ACH-000404,-0.15942204993748024
ACH-000406,-0.18206987074610675
ACH-000407,-0.1297435703667932
ACH-000408,-0.28191044428986056
ACH-000410,-0.3543865754299946
ACH-000411,0.008502670054945793
ACH-000414,-0.09123376060030212
ACH-000415,-0.26663664358890965
ACH-000416,-0.16874566931635307
ACH-000420,-0.2818756370596505
ACH-000421,-0.15604008182900975
ACH-000424,-0.20100524720564966
ACH-000425,-0.2155632072306042
ACH-000426,-0.09590099467286246
ACH-000427,-0.3039448361566188
ACH-000433,-0.20179897718421516
ACH-000435,-0.2177093746302124
ACH-000436,0.031531438501742226
ACH-000444,-0.07211577224093223
ACH-000445,-0.1607332897791778
ACH-000448,-0.14476840019698348
ACH-000450,-0.1677761425459922
ACH-000452,-0.3141451951039986
ACH-000454,-0.25891776654849136
ACH-000458,0.012570332826190515
ACH-000459,-0.2802782591130561
ACH-000460,-0.14523353269941786
ACH-000461,-0.1055178315474834
ACH-000463,-0.19148824096090425
ACH-000464,-0.23426291248138614
ACH-000466,-0.14758813088622852
ACH-000467,-0.07604282264190318
ACH-000468,-0.26655264188314115
ACH-000469,-0.3362162028091449
ACH-000470,-0.2613153496806536
ACH-000471,-0.1818592251472944
ACH-000472,-0.2633852004554622
ACH-000473,-0.17427332061992
ACH-000475,-0.20273920975956924
ACH-000476,-0.14206410952279544
ACH-000477,-0.1188178681915119
ACH-000479,-0.15634838149827368
ACH-000480,-0.145163656936401
ACH-000481,-0.19380691018068247
ACH-000483,-0.15628029221827386
ACH-000484,-0.13563363904761686
ACH-000485,-0.056449116099495066
ACH-000486,-0.15475868097939566
ACH-000487,-0.0968673623592636
ACH-000488,-0.0815472205416735
ACH-000490,-0.5597225808197172
ACH-000491,-0.2869988344207645
ACH-000495,-0.4114691738550674
ACH-000496,-0.17375207597833495
ACH-000499,-0.35557350144038463
ACH-000500,-0.12602118541665006
ACH-000502,-0.1888741420386564
ACH-000503,-0.17832639145370324
ACH-000505,-0.1190154491461869
ACH-000507,-0.17636812617927222
ACH-000510,-0.3250943886755849
ACH-000511,-0.2677875353263992
ACH-000512,0.09826389543549603
ACH-000516,-0.13016706121350616
ACH-000517,-0.17710856359103885
ACH-000518,-0.18526449900491554
ACH-000520,-0.25748035423688753
ACH-000521,-0.09411420579473972
ACH-000522,-0.20522411301511467
ACH-000524,-0.11245103314203664
ACH-000527,-0.2005303332048464
ACH-000528,-0.07994724692350351
ACH-000537,-0.20274262789822264
ACH-000541,-0.1280713740370785
