,GOLGA6B (55889)
ACH-000004,-0.13537129490050392
ACH-000005,-0.2221862816391069
ACH-000007,-0.276909008884948
ACH-000009,-0.34651631452357107
ACH-000011,-0.2711212580398737
ACH-000012,-0.5147994506507709
ACH-000013,-0.4076743839149589
ACH-000014,-0.4000605723029259
ACH-000015,-0.3631033028462176
ACH-000017,-0.4138361502261882
ACH-000018,-0.21546353050884376
ACH-000019,-0.29520275609392505
ACH-000021,-0.1431444384640311
ACH-000022,-0.4335348917363605
ACH-000025,-0.3769288033848494
ACH-000028,-0.22047687649433206
ACH-000030,-0.23253532803674404
ACH-000035,-0.14009969736281214
ACH-000036,-0.02696155875777209
ACH-000037,-0.26422205682851274
ACH-000039,-0.2918479753592377
ACH-000040,-0.07611466897580271
ACH-000041,-0.11961756475760008
ACH-000042,-0.31042719246199796
ACH-000045,-0.17592820542496068
ACH-000047,-0.4347222201417144
ACH-000052,-0.13178599904562732
ACH-000053,-0.2171198897686938
ACH-000054,-0.3653235684617674
ACH-000055,-0.15232039719837606
ACH-000060,-0.3444452924637603
ACH-000067,-0.35577468114105204
ACH-000070,-0.3364224756154298
ACH-000075,-0.2737078718291105
ACH-000078,-0.27627921672333045
ACH-000082,-0.19684452507372188
ACH-000085,-0.26379640162440954
ACH-000086,-0.21054537469325088
ACH-000087,-0.14021145472230365
ACH-000092,-0.19067813537383854
ACH-000095,-0.5041939344733652
ACH-000097,-0.2880951212659707
ACH-000098,-0.1898300111221544
ACH-000099,-0.298639845268961
ACH-000108,-0.3220501363537337
ACH-000113,-0.333449064976063
ACH-000116,-0.3904878151723005
ACH-000118,-0.42003463555358017
ACH-000120,-0.34104109209877304
ACH-000123,-0.12667997743086987
ACH-000127,-0.19451999466444725
ACH-000128,-0.4000515067177402
ACH-000132,-0.35955886597986897
ACH-000133,-0.03450874098436529
ACH-000137,-0.3729999297132371
ACH-000138,-0.2642598574744382
ACH-000142,-0.19788314715262792
ACH-000143,-0.13552410426088146
ACH-000146,-0.2743562927055479
ACH-000148,-0.30949904675948897
ACH-000150,-0.23775914193422745
ACH-000152,-0.2490999696006501
ACH-000153,-0.3370134407652584
ACH-000159,-0.12282109243748335
ACH-000160,-0.1882299092105696
ACH-000163,-0.15225294753156782
ACH-000167,-0.9217433377898662
ACH-000168,-0.10597172290333896
ACH-000169,-0.3379181513287575
ACH-000178,-0.3665947559351165
ACH-000183,-0.2693156426445004
ACH-000188,-0.22825638679487198
ACH-000189,-0.126433130830737
ACH-000190,-0.26713444568005
ACH-000198,-0.14317866401062362
ACH-000203,-0.31251475672198303
ACH-000204,-0.4976824898039405
ACH-000206,-0.035069633823235496
ACH-000207,-0.3636208526520012
ACH-000208,-0.4248132171104268
ACH-000210,-0.30045105782191706
ACH-000211,-0.2514161266237652
ACH-000215,-0.2272825935510334
ACH-000221,-0.3676312804652315
ACH-000222,-0.15033593727666392
ACH-000223,-0.333527831751076
ACH-000226,-0.0916999234373343
ACH-000227,-0.3379163770736071
ACH-000228,-0.2161150448219009
ACH-000231,-0.3180158045183543
ACH-000232,-0.2594456619753617
ACH-000233,-0.19648282493870406
ACH-000234,-0.3387807260864978
ACH-000235,-0.3029083903073905
ACH-000237,-0.2727172366862365
ACH-000238,-0.17810679139467564
