,TPTE (7179)
ACH-000004,-0.20134544413133387
ACH-000005,-0.8473175891498445
ACH-000007,-0.5165241095943885
ACH-000009,-0.049235564382135284
ACH-000011,-0.4530827238010918
ACH-000012,-0.399337747005656
ACH-000013,-0.3166240830673279
ACH-000014,-0.19631746604973072
ACH-000015,-0.1351383218351098
ACH-000017,-0.036501008420606336
ACH-000018,-0.12939900414012812
ACH-000019,-0.23914958081661866
ACH-000021,-0.1813728677303637
ACH-000022,-0.17100455847793414
ACH-000025,-0.18760802775714136
ACH-000028,-0.18651869861002565
ACH-000030,-0.196892326962498
ACH-000035,-0.23441578859379344
ACH-000036,-0.3630718898278499
ACH-000037,-0.17060799620633452
ACH-000039,-0.3029072560993993
ACH-000040,-0.2594498132621459
ACH-000041,-0.29065409858472496
ACH-000042,-0.22135429455057634
ACH-000045,-0.26614229716097976
ACH-000047,-0.1773549952593861
ACH-000052,-0.27004532264100145
ACH-000053,-0.14652003652890008
ACH-000054,-0.3194455699963048
ACH-000055,-0.2602506867529196
ACH-000060,-0.2730863739806781
ACH-000067,-0.4689754068348286
ACH-000070,-0.16115951328240188
ACH-000075,-0.19451267248756116
ACH-000078,-0.111328974144457
ACH-000082,-0.149427535678896
ACH-000085,-0.15479437961717282
ACH-000086,-0.1469940102190298
ACH-000087,-0.20981350976570096
ACH-000092,-0.12355627330730935
ACH-000095,-0.3445620445253405
ACH-000097,-0.08615258232447312
ACH-000098,-0.14234317724364728
ACH-000099,-0.275522963902347
ACH-000108,-0.2694151724830177
ACH-000113,-0.06296254565475658
ACH-000116,-0.1399238472202957
ACH-000118,-0.10770738927154984
ACH-000120,-0.26355878790163445
ACH-000123,-0.12901485537346594
ACH-000127,-0.2437494215731832
ACH-000128,-0.2543886217387171
ACH-000132,-0.223712038412624
ACH-000133,-0.04345216480297399
ACH-000137,-0.2482065680027037
ACH-000138,-0.060717497026349126
ACH-000142,-0.0583958328982644
ACH-000143,-0.20736507878832355
ACH-000146,-0.15370846685419412
ACH-000148,-0.26575211632554635
ACH-000150,-0.10276959734395284
ACH-000152,-0.3072380885714834
ACH-000153,-0.1994345529143821
ACH-000159,-0.1879989017769189
