,DHFR (1719)
ACH-000004,-1.0495689157389951
ACH-000005,-1.0332140905671283
ACH-000007,-0.44000272125060935
ACH-000009,-0.4662563105055624
ACH-000011,-0.809060231728393
ACH-000012,-0.7409332127079999
ACH-000013,-0.0992743032488986
ACH-000014,-0.6839188415314136
ACH-000015,-0.5168418185484549
ACH-000017,-0.8524770937896025
ACH-000018,-0.5553154768798895
ACH-000019,-0.6789828180300489
ACH-000021,-0.281748780807872
ACH-000022,-1.0013899158271071
ACH-000025,-0.6570766169209814
ACH-000028,-0.6037960109308858
ACH-000030,-0.906482118726788
ACH-000035,-0.5285098543919171
ACH-000036,-0.4858130653563547
ACH-000037,-0.2942676320094756
ACH-000039,-0.3327487378141109
ACH-000040,-0.3034496282797834
ACH-000041,-0.5409818809847766
ACH-000042,-0.5687738498509737
ACH-000045,-0.642826679931938
ACH-000047,-0.6744023001909201
ACH-000052,-0.7488614739540576
ACH-000053,-0.762976252327303
ACH-000054,-0.056271516771423336
ACH-000055,0.07096348441244339
ACH-000060,-0.3173800489626553
ACH-000067,-0.8685240502520762
ACH-000070,-0.7413331629950887
ACH-000075,-0.2653559138216649
ACH-000078,-0.6392362164060494
ACH-000082,-0.25062778520378104
ACH-000085,-0.42147520721893816
ACH-000086,-0.1958524005415689
ACH-000087,-0.6299787240206297
ACH-000092,-0.7968898046688474
ACH-000095,-0.5905648369522138
ACH-000097,-0.7240659497835421
ACH-000098,-0.2086159771302117
ACH-000099,-0.5737587077209765
ACH-000108,-0.7867152604819564
ACH-000113,-0.03912003076652026
ACH-000116,-0.12855597092680707
ACH-000118,-0.07500752237233432
ACH-000120,-0.35003446481399564
ACH-000123,-0.5325202011618897
ACH-000127,-0.6725343754185121
ACH-000128,-0.4145842483910514
ACH-000132,-0.24513682444079135
ACH-000133,-0.40475762160383
ACH-000137,-0.494674091306757
ACH-000138,-0.6858338103199914
ACH-000142,-0.6501471898418555
ACH-000143,-0.3296118075694084
ACH-000146,-0.8870211279457337
ACH-000148,-0.28672517058048685
ACH-000150,-0.25031178981810426
ACH-000152,-0.2428480159789252
ACH-000153,-0.5647757431681057
ACH-000159,-0.7384765847705814
ACH-000160,-0.4060166423813084
ACH-000163,-0.3367513832623867
ACH-000167,-0.8806810341514344
ACH-000168,-0.41332594041006604
ACH-000169,-0.4075783374408135
ACH-000178,-0.5529036371246447
ACH-000183,-0.7369380806491685
ACH-000188,-0.7184655842350735
ACH-000189,-0.9094237623490624
ACH-000190,-0.2147946912310537
ACH-000198,-0.5073503189689016
ACH-000203,-0.5267107071034419
ACH-000204,-0.4140259744500888
ACH-000206,-0.5319650464368395
ACH-000207,-0.6138184009089728
ACH-000208,-0.23039175290044397
ACH-000210,-0.2629573585506532
ACH-000211,-0.1655848746717392
ACH-000215,-0.1976916725952229
ACH-000221,-0.2789346395699459
ACH-000222,-0.7384676422268597
ACH-000223,-0.5729254973603284
ACH-000226,-0.7400450454363977
ACH-000227,-0.5679271141194133
ACH-000228,-0.332992661063563
ACH-000231,-0.2335062625167656
ACH-000232,-0.461284187241891
ACH-000233,-0.6258772363619783
ACH-000234,-0.4732089678509541
ACH-000235,-0.8613276551846203
ACH-000237,-0.07434966386848944
ACH-000238,-0.5886171378964259
ACH-000242,-0.18159083934755768
ACH-000243,-0.4336390988452915
ACH-000244,-0.2736067202723073
ACH-000246,-0.10146617454201387
ACH-000248,-0.7283621741811044
ACH-000250,-0.4693161463930677
ACH-000251,-0.3083045017903355
ACH-000252,-0.6186469098264352
ACH-000253,-0.8391038672184737
ACH-000255,-0.4969804661455453
ACH-000256,-0.5063116304906817
ACH-000257,-0.5953129004812769
ACH-000258,-0.7504677325213731
ACH-000259,-0.7835227556059736
ACH-000260,-0.27523829052766313
ACH-000261,-0.3718104878648811
ACH-000262,-0.7653932917359966
ACH-000263,-0.7828905114474594
ACH-000264,-0.4493853911373901
ACH-000265,-0.2679283836925273
ACH-000266,-0.7064770704194381
ACH-000272,-0.7991925621737551
ACH-000274,-0.4681864306952408
ACH-000277,-0.6740338653566789
ACH-000278,-0.3969273205418953
ACH-000279,-0.9004934683138215
ACH-000280,-0.3756935328986493
