,CTDNEP1 (23399)
ACH-000004,-0.4755793486516703
ACH-000005,-0.12426483577081167
ACH-000007,-0.09306012320522107
ACH-000009,-0.482660823659915
ACH-000011,-0.09600873065525492
ACH-000012,-0.38106823815800783
ACH-000013,-0.4312188689370571
ACH-000014,-0.5968844841387908
ACH-000015,-0.4477869108798342
ACH-000017,-0.5797948325971246
ACH-000018,-0.5863056782911606
ACH-000019,-0.3692900689844486
ACH-000021,-0.5608823286875992
ACH-000022,0.02648798379784282
ACH-000025,-0.19260779849720772
ACH-000028,-0.5057601060152475
ACH-000030,-0.3523555803303807
ACH-000035,-0.43444560509343794
ACH-000036,-0.5966771640667775
ACH-000037,-0.4787328410533042
ACH-000039,-0.5487034435228912
ACH-000040,-0.3198612078777006
ACH-000041,-0.44492479264958507
ACH-000042,-0.385456059456424
ACH-000045,-0.7225442152825021
ACH-000047,-0.12329858445408402
ACH-000052,-0.4469389151141594
ACH-000053,-0.08504342486064112
ACH-000054,-0.5586092189572364
ACH-000055,-0.1132893742610106
ACH-000060,-0.4510613817465173
ACH-000067,-0.9982987518263591
ACH-000070,-0.3834730915633555
ACH-000075,-0.5408842099410405
ACH-000078,-0.04684351483658573
ACH-000082,-0.3750977928411529
ACH-000085,-0.2797415764412069
ACH-000086,-0.3929699769594679
ACH-000087,-0.43086963010351137
ACH-000092,-0.3918381336579183
ACH-000095,-0.046469158682380635
ACH-000097,-0.3683650542929055
ACH-000098,-0.568169890046663
ACH-000099,-0.07194914773651677
ACH-000108,-0.3293022772112121
ACH-000113,-0.4647490921257494
ACH-000116,-0.4865509664208671
ACH-000118,-0.38767385641177177
ACH-000120,-0.5800685350090821
ACH-000123,-0.45663118273372294
ACH-000127,-0.21633324794062925
ACH-000128,-0.5441149548832535
ACH-000132,-0.17815783169341545
ACH-000133,-0.5400107714404727
ACH-000137,-0.2886591770229854
ACH-000138,-0.32230309863101797
ACH-000142,-1.0077492552738003
ACH-000143,-0.3250311112602739
ACH-000146,-0.6952447903464394
ACH-000148,-0.4354848032762272
ACH-000150,-0.6038570607110663
ACH-000152,-0.8713442621230262
ACH-000153,-0.586075198539054
ACH-000159,-0.2288560685351905
ACH-000160,-0.2186160785977504
ACH-000163,-0.6831088131749089
ACH-000167,-0.4213364952369713
ACH-000168,-0.7397706791703209
ACH-000169,-0.4477031238327133
ACH-000178,-0.6401332929741549
ACH-000183,-0.6038697655064422
ACH-000188,-0.6025395884519054
ACH-000189,-0.3807894629947221
ACH-000190,-0.6853809962964776
ACH-000198,-0.6898577418882879
ACH-000203,0.029621999069692536
ACH-000204,-0.5068112908100375
ACH-000206,-0.5318602669973079
ACH-000207,-0.3407049230131487
ACH-000208,-0.44706504251777335
ACH-000210,-0.3186368929641717
ACH-000211,-0.2473026777227049
ACH-000215,-0.70633745294403
ACH-000221,-0.3708578501860219
ACH-000222,-0.15329044850406354
ACH-000223,-0.2367048883478945
ACH-000226,-0.39348479814636106
ACH-000227,-0.08114134344262215
ACH-000228,-0.577407368690454
ACH-000231,-0.7343646260367553
ACH-000232,-0.2011868439961063
ACH-000233,-0.2801821038977398
ACH-000234,-0.4044748264322753
ACH-000235,-0.4717255832284744
ACH-000237,-0.6383412062797666
ACH-000238,-0.3144444643438164
ACH-000242,-0.2948643351130044
ACH-000243,-0.4113556169013738
ACH-000244,-0.7505105922739319
ACH-000246,-0.3120688634468501
ACH-000248,-0.4502157075431795
ACH-000250,-0.078722936462416
ACH-000251,-0.4074689073382686
ACH-000252,-0.4317063555914901
ACH-000253,0.14681737569603645
ACH-000255,-0.16955418140954615
ACH-000256,-0.5211477730642324
ACH-000257,-0.3405796780209637
ACH-000258,-0.4321746193112985
ACH-000259,0.12827386569314428
ACH-000260,-0.23796412272020864
ACH-000261,-0.6027940443311469
ACH-000262,-0.41691923817607984
ACH-000263,-0.6158013592263354
ACH-000264,-0.2972574795409544
ACH-000265,-0.4579999493458132
ACH-000266,-0.3637577083657382
ACH-000272,-0.17555648607282764
ACH-000274,-0.2724779093432596
ACH-000277,-0.4258977958485727
ACH-000278,-0.26724612176675555
ACH-000279,-0.2571563671016124
ACH-000280,-0.5485039691183595
ACH-000281,-0.5221585910011562
ACH-000288,-0.6035201691539185
ACH-000291,-0.2289482383986151
ACH-000293,-0.5733578970606212
ACH-000294,-0.5962134886218935
ACH-000295,-0.4359483692261835
ACH-000296,-0.2754661018669443
ACH-000302,-0.1847283071086727
ACH-000304,-0.4958075266729381
ACH-000307,-0.2749180399900681
ACH-000308,-0.36105529861485264
ACH-000310,-0.03783238829410279
ACH-000311,-0.5514149591843389
ACH-000312,-0.14564219281301102
ACH-000315,-0.4738036735357085
ACH-000316,-0.6210487839364561
ACH-000317,-0.14962705789912034
ACH-000318,-0.6213627221993853
ACH-000319,-0.6494415456437962
ACH-000320,-0.4754819304945048
ACH-000322,-0.5054488037493613
ACH-000323,-0.7871906565761226
ACH-000324,-0.4162753586685071
ACH-000329,-0.5261321938499592
ACH-000330,-0.11127544794906899
ACH-000331,-0.5058809255030989
ACH-000332,-0.2523276785679255
ACH-000334,-0.04596866350326016
ACH-000335,-0.16521506325391547
ACH-000336,-0.44202066570502907
ACH-000337,-0.2864966109661071
ACH-000338,-0.20935513627204047
ACH-000339,-0.6459011955476254
ACH-000341,-0.2706035962598187
ACH-000348,-0.45012246197808015
ACH-000350,-0.1297923443239146
ACH-000352,-0.2066209563368604
ACH-000356,-0.250579137918761
ACH-000361,-0.5559244143126973
ACH-000362,-0.7037305865074632
ACH-000363,-0.10132228088626416
ACH-000364,-0.4812053578434093
ACH-000365,-0.21253811549542406
ACH-000366,-0.06376995133012174
ACH-000368,-0.936882390734918
ACH-000374,-0.4561054223605597
ACH-000375,-0.5843621011819708
ACH-000376,-0.7493367880037514
ACH-000381,-0.05254243572451698
ACH-000383,-0.23396280465400576
ACH-000387,-0.27724548166426605
ACH-000389,-0.7174323613715043
ACH-000390,-0.20881910094299086
ACH-000393,-0.6126766421384795
ACH-000395,-0.3534231030079316
ACH-000396,-0.2873015314638211
ACH-000397,-0.6081378622350877
ACH-000401,-0.5034457215832557
ACH-000402,-0.4234199334094104
ACH-000403,-0.14973473681183655
ACH-000404,-0.5679164587730446
ACH-000406,-0.2490856487173383
ACH-000407,-0.4380425813274967
ACH-000408,-0.4275144839373672
ACH-000410,-0.6350402803172674
ACH-000411,-0.22747065927904045
ACH-000414,-0.33554071375854394
ACH-000415,-0.4274344054324252
ACH-000416,-0.6958582925898128
ACH-000420,-0.4763215623363545
ACH-000421,-0.6779664601824954
ACH-000424,-0.4675334154325652
ACH-000425,-0.4558543058729146
ACH-000426,-0.3852719150158801
ACH-000427,-0.25041390258431884
ACH-000433,-0.4655188760096865
ACH-000435,-0.05489886529247817
ACH-000436,-0.4648235327865519
ACH-000444,-0.22141554401432234
ACH-000445,-0.8270256254491258
ACH-000448,-0.31846227781804043
ACH-000450,-0.10369383097108292
ACH-000452,-0.4496233249821092
ACH-000454,-0.4550023383069798
ACH-000458,-0.5473854430089045
ACH-000459,-0.2666089244818283
ACH-000460,-0.6507823308179734
ACH-000461,-0.10342685685380124
ACH-000463,-0.11416578227769865
ACH-000464,-0.8182178208787496
ACH-000466,-0.15427005029701846
ACH-000467,-0.26345934248868985
