,SNTG2 (54221)
ACH-000188,0.1460489802631066
ACH-000189,0.20521197276056152
ACH-000190,0.132817193540442
ACH-000198,0.08677680596989691
ACH-000203,0.3811089169620739
ACH-000204,0.15676472072677988
ACH-000206,0.3108806120899297
ACH-000207,0.13830354803760386
ACH-000208,0.2002572589755967
ACH-000210,0.06434025603799813
ACH-000211,0.14386982146581193
ACH-000215,0.16761776956203742
ACH-000221,0.035113483473203366
ACH-000222,0.1449477597943881
ACH-000223,0.06992876654935112
ACH-000226,0.08157676370112536
ACH-000227,-0.00308341231358046
ACH-000228,0.18536380560375734
ACH-000231,0.16073294110124026
ACH-000232,0.07439638481357927
ACH-000233,0.06413109313941966
ACH-000234,-0.09721688845594778
ACH-000235,0.11057016004182216
ACH-000237,0.07534785713007627
ACH-000238,0.013575577600540572
ACH-000242,0.18677579885562548
ACH-000243,0.16924545972089267
ACH-000244,0.12969360823194934
ACH-000246,0.2196767867140682
ACH-000248,0.0646841420745038
ACH-000250,0.11184395289725298
ACH-000251,0.1034701753895032
ACH-000252,-0.0008641474023463197
ACH-000253,0.10603451871011164
ACH-000255,0.01250708295692838
ACH-000256,0.11139090323111116
ACH-000257,0.3661251791659446
ACH-000258,0.12506425206418093
ACH-000259,-0.0005845671185782221
ACH-000260,0.12617830716243233
ACH-000261,0.11044169951129186
ACH-000262,0.023440568532769525
ACH-000263,0.07888839398223753
ACH-000264,0.08392582427012067
ACH-000265,0.1028009318443633
ACH-000266,0.005512157123304902
ACH-000272,0.13419699408369026
ACH-000274,0.16640105092344112
ACH-000277,-0.06114111213187399
ACH-000278,0.0952348100794523
ACH-000279,0.014932447084875356
ACH-000280,0.08661644142016006
ACH-000281,0.0033118618005262357
ACH-000288,0.04788371512214688
ACH-000291,0.06764448993223947
ACH-000293,0.13628672328792807
ACH-000294,0.03963686839870933
ACH-000295,-0.01938610407017606
ACH-000296,0.05230007249492216
ACH-000302,0.09721705617284612
ACH-000304,-0.07626694495965766
ACH-000307,0.03240887802783134
ACH-000308,0.11048656487151724
ACH-000310,0.13833180083328728
ACH-000311,0.04584773901954969
ACH-000312,0.07318269283171842
ACH-000315,0.037802444917217404
ACH-000316,0.06195515069250891
ACH-000317,0.27853126968315617
ACH-000318,0.06647270358919698
ACH-000319,0.08514893022540274
ACH-000320,-0.08357344256350199
ACH-000322,0.024277781744645472
ACH-000323,0.20904876084786533
ACH-000324,0.07748767385279863
ACH-000329,0.1469570016318103
ACH-000330,0.38642399087925394
ACH-000331,0.11004468102593752
ACH-000332,0.09297436993759983
ACH-000334,-0.0744045087610448
ACH-000335,0.20746381707930103
ACH-000336,0.3872926837944233
ACH-000337,0.06195626891372021
ACH-000338,0.027347982914150512
ACH-000339,0.17284200648872175
ACH-000341,0.19478099041635502
ACH-000348,0.10860885381410657
ACH-000350,0.10149362343661114
ACH-000352,0.02108218498666855
ACH-000356,0.16413568548150714
ACH-000361,0.11006078248819104
ACH-000362,0.09064767902341707
ACH-000363,0.04662078888610907
ACH-000364,-0.040136605711233966
ACH-000365,0.13582993457982365
ACH-000366,0.11386230458193827
ACH-000368,0.1296192310791697
ACH-000374,0.16377037886804074
ACH-000375,0.14736427144872016
ACH-000376,0.23277414692929635
ACH-000381,0.27395067305423976
ACH-000383,0.07327908074200347
ACH-000387,0.09159964771200764
ACH-000389,0.14515493259529708
ACH-000390,0.12599090734875562
ACH-000393,0.13362206890189232
ACH-000395,0.132062216938445
ACH-000396,0.2476241172237701
ACH-000397,0.07417160998640734
ACH-000401,0.22979963665606595
ACH-000402,0.31653275447190954
ACH-000403,0.1334750151090387
ACH-000404,0.1320246608946474
ACH-000406,0.090694270197308
ACH-000407,0.13552096162988786
ACH-000408,0.11046720947552406
ACH-000410,0.04702224409450163
ACH-000411,0.08295092527633294
ACH-000414,0.05213080422476398
ACH-000415,0.11798899189593867
ACH-000416,0.10297094403786937
ACH-000420,0.023724796277058573
ACH-000421,0.12876605869942784
ACH-000424,0.13721510810601015
ACH-000425,0.02677508038221617
ACH-000426,0.0429791942316249
ACH-000427,0.08914704879875364
ACH-000433,-0.07107064477680332
ACH-000435,-0.07919833817250628
ACH-000436,0.1477445479095846
ACH-000444,0.11776317688238246
ACH-000445,0.15457763446804473
ACH-000448,0.10845820205433793
ACH-000450,0.1177774155101118
ACH-000452,0.042034801283295266
ACH-000454,0.14625090868634147
ACH-000458,0.15360255327127414
ACH-000459,0.04602257304485547
ACH-000460,0.2128234525070002
ACH-000461,0.12175471615181285
ACH-000463,0.03102813597766269
ACH-000464,0.02953370877672563
ACH-000466,0.07105422762328918
ACH-000467,0.13759595531579402
ACH-000468,0.12912002246237494
ACH-000469,0.013057781852140857
ACH-000470,0.15257424479320622
ACH-000471,0.11047101519005144
ACH-000472,0.05823104493401764
ACH-000473,0.1494876387719843
ACH-000475,0.09270567854075552
ACH-000476,0.11901138815410768
ACH-000477,0.016084770168264102
ACH-000479,0.06863527045169991
ACH-000480,0.07232970268246469
ACH-000481,0.15544445707205626
ACH-000483,0.15081649023688587
ACH-000484,0.06220529460204465
ACH-000485,0.1776104404478517
ACH-000486,0.05033680527531642
ACH-000487,0.030061975247346318
ACH-000488,0.08898534469086411
ACH-000490,0.1107955176437411
ACH-000491,0.0846571978052397
ACH-000495,-0.031836890934827555
ACH-000496,-0.0032846251193897986
ACH-000499,0.18123067336782672
ACH-000500,-0.12534450305327224
ACH-000502,0.07319137020622918
ACH-000503,0.2197245842107598
ACH-000505,0.07885213145640389
ACH-000507,0.032802961163336475
ACH-000510,0.09039931381839857
ACH-000511,0.1950065868401656
ACH-000512,-0.10343660246659203
ACH-000516,0.09005662343722408
ACH-000517,0.05557011428816085
ACH-000518,0.22289204645626728
ACH-000520,0.0015557967610800312
ACH-000521,-0.015491889384496447
ACH-000522,0.04677389579937976
ACH-000524,0.12646742408859746
ACH-000527,0.04622039793498399
ACH-000528,0.15790700225886478
ACH-000537,0.17404983227755708
ACH-000541,-0.1562862091860669
ACH-000542,0.1282585961999325
ACH-000544,0.1833401383305382
ACH-000545,0.11464242831786613
ACH-000547,0.051683545481000376
ACH-000548,0.1005609386531041
ACH-000549,0.13320456623224514
ACH-000550,-0.06534077850946479
ACH-000552,0.09162164211535344
ACH-000556,0.1423963120850207
ACH-000557,0.01812763669366796
ACH-000569,0.021537578583235812
ACH-000570,0.06772930203216497
ACH-000571,0.03102385689776615
ACH-000573,0.08653690605995247
ACH-000576,0.03563972841654005
ACH-000579,-0.1407733018975634
ACH-000580,0.06381571992410262
ACH-000584,0.1130836417745739
ACH-000585,0.16068619017599334
ACH-000588,-0.00923983032431916
ACH-000589,0.031149786239080605
ACH-000591,0.025423848278312056
ACH-000593,0.07030901175992643
ACH-000600,0.11001981001128053
ACH-000601,0.06496287163085934
ACH-000605,0.1026432287117532
ACH-000606,0.14142357202865746
ACH-000608,0.07486482040671137
ACH-000614,0.06544498326563095
ACH-000616,0.15929253799949744
ACH-000618,0.10186508662810843
ACH-000619,0.19268402753022024
ACH-000620,0.023890398517427462
ACH-000621,0.0850793596623908
ACH-000622,0.09607595075674157
ACH-000623,0.06262076770477443
ACH-000624,0.13556811638960498
ACH-000627,0.16556583333745886
ACH-000630,0.1482483103080824
ACH-000631,-0.18759385737369308
ACH-000632,0.08084960365930485
ACH-000633,0.015862966047750875
ACH-000637,0.046694558791557324
ACH-000638,0.08864217178393217
ACH-000646,0.18277763262629326
ACH-000647,0.0616166942034401
ACH-000648,0.1631134731339891
ACH-000649,0.028474766145212577
ACH-000651,0.0675607994472412
ACH-000652,0.011376235553691584
ACH-000653,-0.03374561869287409
ACH-000657,0.035813059914479375
ACH-000658,0.1435531940506244
ACH-000661,0.015741582427214875
ACH-000662,-0.059053949284936125
ACH-000663,0.16698351544209686
ACH-000665,0.10557087606672022
ACH-000671,0.14610322833357778
ACH-000672,0.0979258622570935
ACH-000673,0.0231722134091566
ACH-000676,0.04203786892640644
ACH-000677,0.1510043471261523
ACH-000681,0.0824122954483512
ACH-000683,0.03257089274581928
ACH-000684,0.027750918312974892
ACH-000688,-0.06436198179413162
ACH-000693,0.00047136566058380967
ACH-000694,0.15702111299364424
ACH-000695,-0.010176914126613779
ACH-000696,0.07044182511549768
ACH-000697,0.1878410383615405
ACH-000699,0.05145894556482211
ACH-000701,0.04343552171724924
ACH-000706,0.05558448420525535
ACH-000711,0.10644651839839793
ACH-000713,0.05037826238091938
ACH-000714,0.10342626054761103
ACH-000718,0.1248434586723279
ACH-000720,0.0906608867740202
ACH-000721,-0.005653813846520262
ACH-000724,0.24318336505854854
ACH-000725,0.2300025365830369
ACH-000732,0.1872267631309925
ACH-000734,0.021525393295885462
ACH-000735,0.050550492153867733
ACH-000736,0.0624311907383044
ACH-000738,-0.017543389709476616
ACH-000746,0.030475344379614917
ACH-000747,0.026117241933800914
ACH-000748,0.06959316415269777
ACH-000753,0.08266341108203971
ACH-000756,0.10168592400167066
ACH-000757,0.022462920708138944
ACH-000758,0.15739064807108386
ACH-000760,0.09697074420123716
ACH-000762,0.03273349127499669
ACH-000763,0.06407635141346782
ACH-000764,0.03655117443130503
ACH-000765,0.15630042138418984
ACH-000766,0.11373596573487305
ACH-000767,0.12939187026240734
ACH-000768,0.08508000532082435
ACH-000769,0.11962491294657235
ACH-000770,0.0771720990871687
