,MDH2 (4191)
ACH-000004,-0.09351259485423294
ACH-000005,-0.20822658472057368
ACH-000007,-0.35877715065842264
ACH-000009,-0.2030266404988532
ACH-000011,-0.09717520996128934
ACH-000012,0.002035210345354893
ACH-000013,-0.06997184916974047
ACH-000014,-0.17507540697211976
ACH-000015,-0.07633850859559163
ACH-000017,0.02650320887746525
ACH-000018,0.1379569863880248
ACH-000019,-0.4552507689895083
ACH-000021,-0.351257637610057
ACH-000022,-0.1474500986600521
ACH-000025,-0.20120567661572505
ACH-000028,-0.4563231936616163
ACH-000030,-0.09138745332846772
ACH-000035,-0.4162337565010767
ACH-000036,0.0010200992066108248
ACH-000037,-0.18634415715043234
ACH-000039,-0.19979977762266685
ACH-000040,-0.2324192238319821
ACH-000041,-0.10679430613943464
ACH-000042,-0.09831814504555693
ACH-000045,-1.0130488651011396
ACH-000047,-0.32092165500600073
ACH-000052,-0.07997383815382895
ACH-000053,-0.27931057732602416
ACH-000054,-0.15462537685711006
ACH-000055,-0.28063749632337154
ACH-000060,-0.09221971384720476
ACH-000067,-0.25975406703638343
ACH-000070,-0.6381197972279854
ACH-000075,-0.30307871856313784
ACH-000078,-0.08632994478437643
ACH-000082,-0.263155085880016
ACH-000085,-0.13623347436340705
ACH-000086,-0.04085433356162045
ACH-000087,-0.45555982382030197
ACH-000092,-0.15115170465716482
ACH-000095,-0.2542907474653648
ACH-000097,-0.12251728207473593
ACH-000098,-0.19209456811203232
ACH-000099,-0.06473789851930642
ACH-000108,-0.07108463493811414
ACH-000113,-0.3827756795287949
ACH-000116,-0.09098463025944513
ACH-000118,-0.455917493139053
ACH-000120,0.0061737205350643675
ACH-000123,-0.2325697060649436
ACH-000127,-0.4799892753926186
ACH-000128,-0.1852529044620848
ACH-000132,-0.1829573469178062
ACH-000133,-0.23861495748704434
ACH-000137,-0.2961391174674263
ACH-000138,-0.33918371699492306
ACH-000142,-0.18862829085857802
ACH-000143,0.03418402791213207
ACH-000146,-0.2698031230386589
ACH-000148,-0.30303673195008873
ACH-000150,0.0025058762734137398
ACH-000152,-0.043926509615738636
ACH-000153,-0.14368229890994996
ACH-000159,-0.24805336347845536
ACH-000160,-0.2249519505662812
ACH-000163,-0.24877606416267506
ACH-000167,-0.32015125519124604
ACH-000168,-0.2689896403613836
ACH-000169,-0.19892772654254934
ACH-000178,-0.13900856872597267
ACH-000183,-0.07127240502534084
ACH-000188,-0.2211489970331708
ACH-000189,-0.2806219654352962
ACH-000190,-0.3078142227811788
ACH-000198,-0.6664981840017813
ACH-000203,-0.4742270203715714
ACH-000204,-0.15685129232439765
ACH-000206,-0.2624413636125684
ACH-000207,-0.3061116552876963
ACH-000208,-0.02092387465513093
ACH-000210,-0.1119039568257639
ACH-000211,-0.2347585613098909
ACH-000215,-0.16546430365324252
ACH-000221,-0.17232792790628754
ACH-000222,-0.3661982216683799
ACH-000223,-0.2281153285188529
ACH-000226,-0.33019512655487576
ACH-000227,-0.14094678617235745
ACH-000228,-0.11499941707815325
ACH-000231,-0.16801807442335387
ACH-000232,-0.012026772715501
ACH-000233,-0.34340153036115306
ACH-000234,-0.0720266564918485
ACH-000235,-0.16132509373827947
ACH-000237,-0.3124636132606722
ACH-000238,-0.2354856524529809
ACH-000242,-0.28604298243325826
ACH-000243,-0.18759883848217504
ACH-000244,-0.6042111226041523
ACH-000246,-0.288754308357713
ACH-000248,-0.055180526157319686
ACH-000250,-0.2068932892468498
ACH-000251,-0.14014228360815242
ACH-000252,-0.18545389692733089
ACH-000253,-0.2892981076447797
ACH-000255,-0.14933212802085372
ACH-000256,-0.16258448763957414
ACH-000257,-0.07212985030526314
ACH-000258,-0.3447830422996487
ACH-000259,-0.1605740577489139
ACH-000260,-0.08311184479872202
ACH-000261,-0.2619048692331153
ACH-000262,-0.19949165414551384
ACH-000263,-0.1643885812408597
ACH-000264,-0.4320173496330181
ACH-000265,0.0453314764049263
ACH-000266,-0.21356408559754525
ACH-000272,-0.2668972837614321
ACH-000274,-0.22480229055816045
ACH-000277,-0.4135555173386843
ACH-000278,-0.319771987637398
ACH-000279,-0.2883206679806544
ACH-000280,-0.11830941097879563
ACH-000281,-0.20559311515261616
ACH-000288,-0.2274775619949176
ACH-000291,-0.06770640238498947
ACH-000293,-0.07968571223593356
ACH-000294,0.02821349497770035
ACH-000295,-0.3259971730925875
ACH-000296,-0.09730991538142808
ACH-000302,0.2601203072558858
ACH-000304,-0.0717962500136449
ACH-000307,-0.1561906706379939
ACH-000308,-0.30673421775742205
ACH-000310,-0.10370645660038323
ACH-000311,-0.043213656926089666
ACH-000312,-0.2171386857870276
ACH-000315,-0.4031538795035941
ACH-000316,-0.03848652043797456
ACH-000317,-0.4254224794246813
ACH-000318,-0.18396031433973736
ACH-000319,-0.20673774641014428
ACH-000320,0.003215483692645309
ACH-000322,-0.3277806608046536
ACH-000323,-0.04107468402528888
ACH-000324,-0.1235545860047162
ACH-000329,-0.2571700486120474
ACH-000330,-0.4050760166534457
ACH-000331,0.022575310136248482
ACH-000332,-0.13501877958806394
ACH-000334,-0.28898680600144205
ACH-000335,-0.005586287667057755
ACH-000336,-0.7610988400853457
ACH-000337,-0.3470325519182067
ACH-000338,-0.42148469364040003
ACH-000339,-0.2363958311669446
ACH-000341,-0.030277507154196345
ACH-000348,-0.22512110898523
ACH-000350,-0.05480455664844595
ACH-000352,-0.059117224156446976
ACH-000356,-0.5715875028718711
ACH-000361,-0.09783420255299227
ACH-000362,-0.3276305138899864
ACH-000363,-0.19363020912013396
ACH-000364,-0.0366161108127979
ACH-000365,-0.2758076055325509
ACH-000366,-0.20468673945184496
ACH-000368,-0.3178124775783016
ACH-000374,-0.4113844320878015
ACH-000375,-0.3295830228119586
ACH-000376,-0.1604612950145964
ACH-000381,-0.12869084872378725
ACH-000383,-0.3508103927192712
ACH-000387,-0.2661099519466099
ACH-000389,-0.018030165677895827
ACH-000390,-0.1885130850130152
ACH-000393,-0.1616962479835052
ACH-000395,-0.3019454386914576
ACH-000396,-0.19306752479175132
ACH-000397,-0.2849268936705295
ACH-000401,-0.2346001745809615
ACH-000402,-0.17984781836996755
ACH-000403,-0.10227923591903304
ACH-000404,-0.18065975973616336
ACH-000406,-0.4240894197272115
ACH-000407,-0.04068528691331003
ACH-000408,-0.1717369081684384
ACH-000410,0.033782635323203566
ACH-000411,-0.10968497906848187
ACH-000414,-0.15307931922709542
ACH-000415,-0.5219818038514576
ACH-000416,-0.16938000927442315
ACH-000420,-0.2828980387802701
ACH-000421,-0.2199958522689403
ACH-000424,-0.2223592224297423
ACH-000425,-0.214187073000262
ACH-000426,0.03274180497556827
ACH-000427,-0.3071447957330843
ACH-000433,-0.02473283736761653
ACH-000435,-0.277478994427472
ACH-000436,0.06489297349822201
ACH-000444,-0.13837836680731155
ACH-000445,-0.11759757556087205
ACH-000448,-0.27351355130163496
ACH-000450,-0.38837470514813976
ACH-000452,-0.38747664420770256
ACH-000454,-0.2569702648720117
ACH-000458,-0.0085070774749653
ACH-000459,-0.4326799076757701
ACH-000460,-0.10388801286665754
ACH-000461,-0.3629381158434216
ACH-000463,0.008135237288128616
ACH-000464,-0.4108288888447008
ACH-000466,-0.08147210195399023
ACH-000467,-0.17965382356623155
ACH-000468,-0.2420076626219768
ACH-000469,-0.1583042101651228
ACH-000470,-0.1232874263374764
ACH-000471,-0.11847927727995745
ACH-000472,-0.2748072042521357
ACH-000473,-0.11030928487577764
ACH-000475,-0.02727520116602267
ACH-000476,-0.21905391590563808
ACH-000477,-0.16411013976072653
ACH-000479,-0.4495085534387396
ACH-000480,-0.1644406865092568
ACH-000481,-0.2392857042334132
ACH-000483,-0.34652605376288825
ACH-000484,-0.17650599149608648
ACH-000485,-0.17464346647073334
ACH-000486,-0.25391069849300524
ACH-000487,0.1310854373938646
ACH-000488,-0.23710283651621944
ACH-000490,-0.24050816782836726
ACH-000491,-0.12195789950618732
ACH-000495,-0.35779412254807635
ACH-000496,0.04931607565453682
ACH-000499,0.06429699421102385
ACH-000500,-0.19846275987361264
ACH-000502,-0.2372258333687425
ACH-000503,-0.02692836635530989
ACH-000505,-0.2476223225995536
ACH-000507,-0.06878860930434655
ACH-000510,-0.21813796311460226
ACH-000511,-0.014684472024667624
ACH-000512,-0.309220797280258
ACH-000516,-0.18623947625954948
ACH-000517,-0.14479252948073826
ACH-000518,-0.16388220636586995
ACH-000520,-0.1686026891784009
ACH-000521,-0.15802329212039715
ACH-000522,-0.24968109446253225
ACH-000524,-0.13116311811990589
ACH-000527,-0.2513472197330168
ACH-000528,-0.3583650757498688
ACH-000537,-0.21920901185627245
ACH-000541,-0.4103840607872124
ACH-000542,-0.17699665037520926
ACH-000544,-0.18974418230772708
ACH-000545,-0.15748929187921956
ACH-000547,-0.14233203560571325
ACH-000548,-0.14078795772974606
ACH-000549,-0.19266534652445366
ACH-000550,-0.10481431432624756
ACH-000552,-0.1692164319753245
ACH-000556,-0.4384602839688556
ACH-000557,-0.25209597913689386
ACH-000569,-0.17807101669738026
ACH-000570,-0.1565197805332348
ACH-000571,-0.2918359328337934
ACH-000573,-0.25250876230530606
ACH-000576,-0.13335877421889716
ACH-000579,-0.28136649849476186
ACH-000580,-0.32241890523045313
ACH-000584,-0.18461669234212494
ACH-000585,-0.1922948943535064
ACH-000588,-0.18337459293868005
ACH-000589,-0.2376073381068325
ACH-000591,-0.2349058350365252
ACH-000593,-0.23858529905633435
ACH-000600,-0.2242997241329978
ACH-000601,-0.18418061377477216
ACH-000605,-0.07449548241627175
ACH-000606,-0.11645873833917827
ACH-000608,-0.16715707570015922
ACH-000614,-0.3797940685687188
ACH-000616,-0.20835389511713776
ACH-000618,-0.5131179930992888
ACH-000619,-0.24545540709444486
ACH-000620,-0.21496067150642986
ACH-000621,-0.26487363887634513
ACH-000622,-0.3171708672066435
ACH-000623,-0.2034206966661269
ACH-000624,-0.2604731940226273
ACH-000627,-0.23961299899353175
ACH-000630,0.0010042956388819047
ACH-000631,-0.3150105857971481
ACH-000632,-0.2455537098590468
ACH-000633,-0.2288880216122284
ACH-000637,-0.1816793038172712
ACH-000638,0.022807885068601392
ACH-000646,-0.3912340868991101
ACH-000647,-0.11461791887968385
ACH-000648,0.03183365888703885
ACH-000649,-0.2300477502717781
ACH-000651,-0.2529220372005331
ACH-000652,-0.09846358019277628
ACH-000653,-0.07456612735667491
ACH-000657,-0.09513223180926546
ACH-000658,-0.3219802871343853
ACH-000661,-0.18193955002895848
ACH-000662,-0.19758975702903175
ACH-000663,-0.09855959115691124
ACH-000665,-0.3347820574690841
ACH-000671,-0.2882955647103915
ACH-000672,0.06703489890695304
ACH-000673,-0.13958160999990932
ACH-000676,-0.4359175013090958
ACH-000677,-0.26318150619777525
ACH-000681,-0.0809313016992573
ACH-000683,-0.2351441432792161
ACH-000684,-0.41871845912343225
ACH-000688,-0.20171063625304744
ACH-000693,-0.2489731151315746
ACH-000694,-0.2392945302080936
ACH-000695,-0.3200037629131625
ACH-000696,-0.1548638103130703
ACH-000697,-0.4002465911941001
ACH-000699,-0.20883955839540727
ACH-000701,-0.3097885040247221
ACH-000706,-0.2258097558345977
ACH-000711,-0.10495115610403094
ACH-000713,-0.3268410289766105
ACH-000714,-0.02422785371153097
