,MKI67 (4288)
ACH-000004,0.09644371455147008
ACH-000005,-0.20647057846577688
ACH-000007,-0.04620292313217225
ACH-000009,-0.1474690825565312
ACH-000011,0.04930954648125382
ACH-000012,-0.1847027957873361
ACH-000013,0.017581793680227345
ACH-000014,-0.19047659677375606
ACH-000015,0.054747216871688036
ACH-000017,-0.059509871726498575
ACH-000018,-0.3035189362577125
ACH-000019,-0.4217013860265238
ACH-000021,0.10778222555902904
ACH-000022,-0.21081103479840815
ACH-000025,-0.00285560602573073
ACH-000028,-0.19001350171210607
ACH-000030,-0.3841965628428923
ACH-000035,0.1324889760097918
ACH-000036,-0.05006934779756017
ACH-000037,-0.2235589301300547
ACH-000039,-0.056673115864217215
ACH-000040,-0.015888314725191782
ACH-000041,0.035234720446363166
ACH-000042,0.06680857411618965
ACH-000045,-0.024461577573104583
ACH-000047,-0.004753242536452455
ACH-000052,-0.07423840801258119
ACH-000053,-0.18020762001561225
ACH-000054,-0.01455035247316296
ACH-000055,-0.19260212259756151
ACH-000060,-0.02872817781816607
ACH-000067,0.04860357769033851
ACH-000070,-0.07219550482992741
ACH-000075,-0.03204528636801245
ACH-000078,-0.31996583996190603
ACH-000082,-0.013812631717350341
ACH-000085,0.07803263934586649
ACH-000086,-0.07898840025316148
ACH-000087,-0.16860495703154174
ACH-000092,-0.06979379399028783
ACH-000095,-0.2300367243242213
ACH-000097,-0.09627773142009598
ACH-000098,-0.0034053374353497736
ACH-000099,-0.1401591067190706
ACH-000108,0.11010191390221397
ACH-000113,-0.002468839971810243
ACH-000116,0.028966209911000018
ACH-000118,0.0019287836709782926
ACH-000120,-0.07762540097840487
ACH-000123,-0.20399764342923854
ACH-000127,-0.13922220745835473
ACH-000128,0.006455100669902536
ACH-000132,-0.23312676116805456
ACH-000133,-0.1985375062203326
ACH-000137,0.017273788493668316
ACH-000138,0.13672527087668035
ACH-000142,0.04799326386745872
ACH-000143,-0.14652411105385155
ACH-000146,-0.13951834165990762
ACH-000148,0.025501546267015
ACH-000150,0.07924098622095771
ACH-000152,-0.14706563427878164
ACH-000153,0.031626010000406414
ACH-000159,-0.005927194396124025
ACH-000160,-0.036228121566609615
ACH-000163,-0.02094032957375005
ACH-000167,-0.28352881063717805
ACH-000168,-0.013099665016025792
ACH-000169,-0.14267834889925646
ACH-000178,-0.045658425398510616
ACH-000183,-0.12216103667884938
ACH-000188,-0.31117526403005225
ACH-000189,0.10564163956651844
ACH-000190,-0.08674506987449844
ACH-000198,-0.439499958147172
ACH-000203,-0.5714202624298867
ACH-000204,-0.18882014742696931
ACH-000206,-0.034401984139949895
ACH-000207,-0.25248185036144866
ACH-000208,0.15298346750983394
ACH-000210,-0.2456818826518868
ACH-000211,-0.20724443328474695
ACH-000215,-0.1750278678815496
ACH-000221,0.2281688754424429
ACH-000222,-0.13226588808809564
ACH-000223,-0.12513468894795954
ACH-000226,-0.09956442487105532
ACH-000227,-0.04585242515621067
ACH-000228,0.023754738985697302
ACH-000231,-0.1441918833183984
ACH-000232,0.10704281978408048
ACH-000233,-0.2412601619648217
ACH-000234,-0.15172590030607516
ACH-000235,-0.005722101382204102
ACH-000237,-0.13570440034623826
ACH-000238,-0.16017162477468588
ACH-000242,-0.11191938202773696
ACH-000243,-0.0066324190270655855
ACH-000244,-0.011153899676566477
ACH-000246,-0.180907056030684
ACH-000248,0.007710551441590024
ACH-000250,0.12416345729878656
ACH-000251,0.01982999548705333
ACH-000252,0.1912803838408373
ACH-000253,-0.1279339596229951
ACH-000255,0.009997119645367416
ACH-000256,0.04303673391819051
ACH-000257,-0.2960649926953304
ACH-000258,0.1472228574985778
ACH-000259,0.031984615488252266
ACH-000260,-0.1982650466287751
ACH-000261,-0.2424257610099566
ACH-000262,-0.09870232957862353
ACH-000263,0.11443865497879027
ACH-000264,0.07247852747827087
ACH-000265,0.0805837565616145
ACH-000266,0.044814031860421495
ACH-000272,-0.127832034887575
ACH-000274,-0.0424055795675517
ACH-000277,0.012458577253163758
ACH-000278,-0.07317782622743366
ACH-000279,-0.11413702845914135
ACH-000280,-0.05353136791443796
ACH-000281,-0.15630737049310847
ACH-000288,-0.17373269312136247
ACH-000291,-0.3705866645476705
ACH-000293,-0.10039140658734523
ACH-000294,-0.05497478976357991
ACH-000295,-0.2437548960303929
ACH-000296,-0.1554755071657847
ACH-000302,-0.032110517809757114
