,RCVRN (5957)
ACH-000004,-0.04143226954603671
ACH-000005,0.18233544011034225
ACH-000007,0.018612835269113143
ACH-000009,-0.16242323454530944
ACH-000011,0.028210601375725244
ACH-000012,-0.03333865128306158
ACH-000013,-0.2879728820707331
ACH-000014,0.012509070384783782
ACH-000015,-0.2616210103452642
ACH-000017,-0.13697589379775274
ACH-000018,-0.07439739810023444
ACH-000019,-0.3282602360310325
ACH-000021,-0.1886683652578932
ACH-000022,-0.05187973701353678
ACH-000025,-0.22545267861228416
ACH-000028,-0.13816676014740345
ACH-000030,-0.09691484757829756
ACH-000035,-0.3124200704904411
ACH-000036,-0.010540345426184473
ACH-000037,-0.17541976965065506
ACH-000039,-0.045823103359291295
ACH-000040,-0.1567386545878742
ACH-000041,-0.2593521487857757
ACH-000042,-0.1942234230204204
ACH-000045,-0.0992622256566787
ACH-000047,-0.192652893194107
ACH-000052,0.08007458548376445
ACH-000053,-0.17371750419207851
ACH-000054,-0.01510246861183444
ACH-000055,0.04449959848098132
ACH-000060,-0.2984784761630179
ACH-000067,-0.2198946289466505
ACH-000070,-0.0909352770510708
ACH-000075,-0.11933473622656265
ACH-000078,-0.09560453219405173
ACH-000082,-0.19300018608243905
ACH-000085,0.015583795773699475
ACH-000086,-0.120647644502532
ACH-000087,-0.1805667874464305
ACH-000092,-0.08181473184463646
ACH-000095,-0.058445715940858185
ACH-000097,-0.06037705318613632
ACH-000098,-0.18265452972348067
ACH-000099,-0.08720908727956696
ACH-000108,-0.13415456113480406
ACH-000113,-0.1174552932708076
ACH-000116,-0.08528266245663642
ACH-000118,-0.1365146484460628
ACH-000120,-0.16696817469785025
ACH-000123,-0.1647039691104045
ACH-000127,-0.1644453377808558
ACH-000128,-0.13453237246418334
ACH-000132,-0.03146598620299778
ACH-000133,-0.18197701214751524
ACH-000137,-0.04570259767037208
ACH-000138,-0.19487153011261532
ACH-000142,-0.17167760300657928
ACH-000143,-0.16161110515362365
ACH-000146,-0.01970218021786297
ACH-000148,-0.11652706024358475
ACH-000150,-0.3678372057693259
ACH-000152,-0.2816088655774774
ACH-000153,-0.13361701566641873
ACH-000159,-0.09768001125601447
ACH-000160,-0.045160243990375264
ACH-000163,-0.22357944432794166
ACH-000167,-0.5357797854125019
ACH-000168,-0.15877716855566334
ACH-000169,-0.14302514623264492
ACH-000178,-0.12956993861569066
ACH-000183,-0.014950998382986403
ACH-000188,-0.2756538532011593
ACH-000189,-0.1451604569721805
ACH-000190,-0.2273633067072179
ACH-000198,-0.1514471805636968
ACH-000203,-0.029165216134105807
ACH-000204,0.19131348023691552
ACH-000206,-0.0766111232685904
ACH-000207,-0.1460821418821966
ACH-000208,-0.2061206273253065
ACH-000210,-0.045223858301892766
ACH-000211,-0.09879912517305664
ACH-000215,-0.104494546843982
ACH-000221,-0.15972848583937813
ACH-000222,-0.12412236349586515
ACH-000223,-0.06499875113959623
ACH-000226,-0.1559883970505621
ACH-000227,-0.02742033122402057
ACH-000228,-0.017088393566535482
ACH-000231,-0.229230893004465
ACH-000232,-0.044746087192513564
ACH-000233,-0.047661125436191616
ACH-000234,0.04433919098618296
ACH-000235,-0.16760886511839354
ACH-000237,-0.14007617000089595
ACH-000238,-0.2366649855585881
ACH-000242,-0.06436626867288782
ACH-000243,-0.1505546306854646
ACH-000244,-0.1794028739060675
ACH-000246,-0.09423725103773092
ACH-000248,-0.08270440939971413
ACH-000250,-0.14001252045742052
ACH-000251,-0.12964461625406498
ACH-000252,-0.2347234743980691
ACH-000253,-0.053972286514291916
ACH-000255,-0.0004812011958675155
ACH-000256,-0.25101162173321234
ACH-000257,0.03219788432644951
ACH-000258,-0.10580520168134873
ACH-000259,-0.17020805720564902
ACH-000260,-0.0777047211958661
ACH-000261,-0.015737434338589318
ACH-000262,-0.056143547406377226
ACH-000263,-0.11129927965038217
ACH-000264,-0.06092948843304725
ACH-000265,-0.11129481293545546
ACH-000266,-0.18252847630879435
ACH-000272,-0.04478924090806626
ACH-000274,-0.19548149327129136
ACH-000277,-0.17549704391483367
ACH-000278,-0.22675162269393698
ACH-000279,-0.19163248595901253
ACH-000280,-0.1637433292502795
ACH-000281,-0.17665564539613945
ACH-000288,-0.3079311370215038
ACH-000291,-0.1212520302826227
ACH-000293,-0.4477916888024824
ACH-000294,-0.17945563498587058
ACH-000295,0.007517188281368319
ACH-000296,-0.11965617815599275
ACH-000302,-0.1315154942114423
ACH-000304,-0.2703105418265765
ACH-000307,-0.059456483510564026
ACH-000308,-0.06808957127632616
ACH-000310,-0.017300982465908128
ACH-000311,-0.17885932732602233
ACH-000312,-0.2673954807774612
ACH-000315,-0.20763147750685887
ACH-000316,-0.05198031115799343
ACH-000317,0.0659627779736338
ACH-000318,-0.06787508977384961
ACH-000319,-0.14932873762581547
ACH-000320,-0.13054068447488346
ACH-000322,-0.21401829309434325
ACH-000323,-0.3996026854499672
ACH-000324,-0.08402718939794478
ACH-000329,-0.2283976635399273
ACH-000330,-0.3023425839184916
ACH-000331,-0.13102997340926234
ACH-000332,-0.0623518794150866
ACH-000334,-0.08849961883349565
ACH-000335,-0.10233541207824616
ACH-000336,-0.2566106529662117
ACH-000337,0.1895035023538713
ACH-000338,-0.3388939872069757
ACH-000339,-0.09064153948679944
ACH-000341,0.1128563618526107
ACH-000348,-0.1184306222496906
ACH-000350,-0.008740370610856817
ACH-000352,-0.03140255108026238
ACH-000356,-0.1308018402351647
ACH-000361,-0.15065073988600544
ACH-000362,-0.14254839576128167
ACH-000363,-0.23570530389358305
ACH-000364,-0.2067721638276781
ACH-000365,-0.14166686429781644
ACH-000366,-0.07713732054053668
ACH-000368,-0.02207121259143837
ACH-000374,-0.02499322256893176
ACH-000375,-0.1135066819421934
ACH-000376,-0.11654185720308365
ACH-000381,-0.2814916745791264
ACH-000383,-0.10530650191406826
ACH-000387,-0.014347007869697687
ACH-000389,-0.167077233847767
ACH-000390,-0.044040946888939794
ACH-000393,-0.14566319531541266
ACH-000395,-0.12546767988114108
ACH-000396,-0.01894198511756703
ACH-000397,-0.10538373961008668
ACH-000401,-0.0888673111663692
ACH-000402,0.005528283043146821
ACH-000403,-0.016781612746131092
ACH-000404,-0.03655009616553122
ACH-000406,-0.15962216213204394
ACH-000407,-0.30061953022794274
ACH-000408,-0.2189513957560316
ACH-000410,-0.055612942041422746
ACH-000411,-0.07731980584011394
