,PTGES3L (100885848)
ACH-000004,-0.33277489585026176
ACH-000005,-0.012475940298763828
ACH-000007,-0.005716207381912595
ACH-000009,-0.14091828197523046
ACH-000011,-0.11190724317820908
ACH-000012,-0.13106026675772248
ACH-000013,-0.16332500519353413
ACH-000014,-0.08032221321259184
ACH-000015,-0.02931898510332677
ACH-000017,-0.13283356607435715
ACH-000018,-0.1645149187462058
ACH-000019,0.019457346606989827
ACH-000021,-0.07971876450193947
ACH-000022,-0.03310988069532369
ACH-000025,-0.10923486567956717
ACH-000028,-0.1439793325707711
ACH-000030,-0.09550288472434096
ACH-000035,-0.12007288274313913
ACH-000036,0.046068277464513314
ACH-000037,0.06904894375249218
ACH-000039,-0.2665349836536178
ACH-000040,-0.1145624850062622
ACH-000041,-0.0621874090264165
ACH-000042,-0.052298546640321394
ACH-000045,-0.1846925122562108
ACH-000047,-0.039663452124922685
ACH-000052,-0.006426911743700629
ACH-000053,-0.03915323173752155
ACH-000054,-0.1013151108498299
ACH-000055,-0.07833463291473503
ACH-000060,-0.1594722941233443
ACH-000067,-0.16872791764481065
ACH-000070,0.026912195264401858
ACH-000075,-0.17154193013038438
ACH-000078,-0.06729251846739971
ACH-000082,-0.16896187280302816
ACH-000085,0.06993803374476587
ACH-000086,-0.17083771906955136
ACH-000087,0.0812461744223782
ACH-000092,-0.1096866852477847
ACH-000095,-0.1332727890534232
ACH-000097,-0.05315656107300845
ACH-000098,-0.0892907419592723
ACH-000099,-0.15923217658893749
ACH-000108,0.0009488539991423331
ACH-000113,-0.17649485090910247
ACH-000116,-0.08897225343062692
ACH-000118,-0.020398635503844083
ACH-000120,-0.17282524529909474
ACH-000123,-0.04346495789164484
ACH-000127,-0.06387899090163908
ACH-000128,-0.04329619314384863
ACH-000132,-0.15879287701980724
ACH-000133,-0.202237118666386
ACH-000137,-0.1885357580368764
ACH-000138,-0.21414215018727648
ACH-000142,-0.2489572097875065
ACH-000143,-0.09030588046295702
ACH-000146,-0.09666129350269344
ACH-000148,-0.13149594088716016
ACH-000150,-0.2406554087144845
ACH-000152,-0.1316445522798983
ACH-000153,0.035465058636022465
ACH-000159,-0.06982997619064611
ACH-000160,0.09829039101463684
ACH-000163,0.033580360850853384
ACH-000167,-0.05724566959137134
ACH-000168,0.12430598416097748
ACH-000169,-0.06921486570947738
ACH-000178,-0.052673360762152927
ACH-000183,-0.07968015374212234
ACH-000188,-0.08367046325285024
ACH-000189,-0.3188749774031228
ACH-000190,-0.15233637404284994
ACH-000198,-0.097899392886646
ACH-000203,0.3822184133835783
ACH-000204,3.5495550652095764e-05
ACH-000206,-0.011889446259123885
ACH-000207,-0.14888361413805268
ACH-000208,-0.15184644586190038
ACH-000210,0.39078230425367816
ACH-000211,-0.10792832840433644
ACH-000215,-0.05855006108740257
ACH-000221,0.007003718149235129
ACH-000222,0.0809367784542793
ACH-000223,-0.013125635582410243
ACH-000226,-0.14335729555131854
ACH-000227,-0.13838747943608778
ACH-000228,-0.335541888819163
ACH-000231,-0.09938420074641656
ACH-000232,-0.011885103190180287
ACH-000233,-0.018863474304696454
ACH-000234,0.0040207525224680045
ACH-000235,-0.12311415319021743
ACH-000237,-0.14962480049203367
ACH-000238,-0.2458060549305398
ACH-000242,-0.25276630089836954
ACH-000243,-0.13207185655695286
ACH-000244,-0.26384917903820193
ACH-000246,-0.04923885267329467
ACH-000248,-0.06790019039514182
ACH-000250,-0.08641678090504848
ACH-000251,-0.12377488057327947
ACH-000252,0.12446623264830765
ACH-000253,-0.08340448937735156
ACH-000255,-0.14880066998102928
ACH-000256,-0.14827101701954962
ACH-000257,0.033275775999002014
ACH-000258,-0.13531243798321754
ACH-000259,-0.0821593127062605
ACH-000260,-0.13585796038006626
ACH-000261,-0.0828646289647656
ACH-000262,-0.22020569734421536
ACH-000263,-0.11899600673935892
ACH-000264,-0.2362530949451185
ACH-000265,-0.1276047715170138
ACH-000266,-0.04455765076595738
ACH-000272,-0.05750457629305155
ACH-000274,-0.18879331374011524
ACH-000277,-0.07506556937557401
ACH-000278,0.017485048200292515
ACH-000279,0.03726859860699951
ACH-000280,-0.007716741984646227
ACH-000281,-0.0018462041197901387
ACH-000288,-0.18635650111930652
ACH-000291,-0.12703338666619585
ACH-000293,-0.12494900310587545
ACH-000294,-0.10797194530189896
ACH-000295,-0.173649406273143
ACH-000296,-0.1617300236437577
ACH-000302,-0.12626888040788373
ACH-000304,-0.2995944611160104
ACH-000307,0.0021542457447478475
ACH-000308,-0.1241207357889838
ACH-000310,-0.0717414929950623
ACH-000311,0.04020241340462272
ACH-000312,-0.08652604048356959
ACH-000315,-0.13172722707324125
ACH-000316,-0.21054999249049275
ACH-000317,0.035564434739919236
ACH-000318,0.0005187561655301631
