,HARS2 (23438)
ACH-000004,-0.7243118969821177
ACH-000005,-1.0006217412625524
ACH-000007,-0.8209346041750047
ACH-000009,-0.5945889124528042
ACH-000011,-0.5410383090578947
ACH-000012,-0.9945382766726178
ACH-000013,-0.7375435087607187
ACH-000014,-0.7439987909468224
ACH-000015,-1.1354678799861222
ACH-000017,-0.4734228622375776
ACH-000018,-0.958283369757437
ACH-000019,-0.8180429810590025
ACH-000021,-0.5590390373350901
ACH-000022,-0.8964499673712727
ACH-000025,-0.6150421016582861
ACH-000028,-0.8422214736856638
ACH-000030,-0.7717590574956911
ACH-000035,-0.8283657773364225
ACH-000036,-0.141209957583478
ACH-000037,-0.6851400849356041
ACH-000039,-0.5827139158636709
ACH-000040,-0.5605006083732664
ACH-000041,-0.8064601425682829
ACH-000042,-0.5659513482721384
ACH-000045,-0.6187458834022417
ACH-000047,-0.929892600757858
ACH-000052,-0.5118460134799492
ACH-000053,-0.610104487814571
ACH-000054,-0.7054701676083699
ACH-000055,-0.6855010983480639
ACH-000060,-0.6044834418091207
ACH-000067,-0.48803872150791294
ACH-000070,-0.7005401315463669
ACH-000075,-0.7095383280800696
ACH-000078,-0.6550127424790029
ACH-000082,-0.6353803359472984
ACH-000085,-0.8649926213812581
ACH-000086,-0.741505571630427
ACH-000087,-0.8344018177105006
ACH-000092,-0.4920191507229748
ACH-000095,-0.3961486092233161
ACH-000097,-0.510256181425229
ACH-000098,-0.6029811564922105
ACH-000099,-0.5705096424600812
ACH-000108,-0.4389597963166891
ACH-000113,-0.6172846882219505
ACH-000116,-0.8391029032639052
ACH-000118,-0.8946517408805403
ACH-000120,-0.565708521835931
ACH-000123,-0.7299598669593705
ACH-000127,-1.0326918076866622
ACH-000128,-0.7703946635786271
ACH-000132,-0.5820301760167478
ACH-000133,-0.5550686496940118
ACH-000137,-0.4414874593786469
ACH-000138,-0.6559412429915604
ACH-000142,-0.5168715945319022
ACH-000143,-1.07510284942887
ACH-000146,-0.7444597996936207
ACH-000148,-0.8775366956201535
ACH-000150,-1.020604779326565
ACH-000152,-0.5549566733958675
ACH-000153,-0.6076976624237733
ACH-000159,-0.5166624668883992
ACH-000160,-0.8988707890141155
ACH-000163,-0.6768852882589022
ACH-000167,-0.3909508501468849
ACH-000168,-0.5387218692286844
ACH-000169,-0.7461914999011422
ACH-000178,-0.7761215736845319
ACH-000183,-0.5769057144238102
ACH-000188,-0.6671721344863446
ACH-000189,-0.7886877435035162
ACH-000190,-0.8936871967921919
ACH-000198,-0.6669831176390739
ACH-000203,-0.4103124450706681
ACH-000204,-0.5647950865133579
ACH-000206,-0.9698213130439508
ACH-000207,-0.7340257184313747
ACH-000208,-0.5269016555464845
ACH-000210,-0.9627368647964616
ACH-000211,-0.6407826363415854
ACH-000215,-0.6473448760827162
ACH-000221,-1.1079636494966492
ACH-000222,-0.5369382121435538
ACH-000223,-0.6662426512018194
ACH-000226,-0.4590589363661993
ACH-000227,-0.6425723096960976
ACH-000228,-0.5151383362684184
ACH-000231,-0.7998362886261107
ACH-000232,-0.6390478823787504
ACH-000233,-0.6298679498427255
ACH-000234,-0.46238852384101503
ACH-000235,-0.6689648884117881
ACH-000237,-0.3280305221179501
ACH-000238,-0.9663064134531072
ACH-000242,-0.5609376095495099
ACH-000243,-0.572279045007954
ACH-000244,-0.6029183325728273
ACH-000246,-0.7889387490604579
ACH-000248,-0.7258457196697621
ACH-000250,-0.3455545187219134
ACH-000251,-0.5957371711632938
ACH-000252,-0.724704014541958
ACH-000253,-0.4745179750388187
ACH-000255,-0.7576961998255145
ACH-000256,-0.7030676302732449
ACH-000257,-0.8698773203259138
ACH-000258,-0.540325721122115
ACH-000259,-0.8118339377338093
ACH-000260,-0.4759294234068833
ACH-000261,-0.6912917602785835
ACH-000262,-0.3848935697681293
ACH-000263,-0.6148959523152374
ACH-000264,-0.6396397220244062
ACH-000265,-1.0265996811417983
ACH-000266,-0.5616360689507376
ACH-000272,-0.5795488813745147
ACH-000274,-0.6588902568365697
