,PRPF40A (55660)
ACH-000004,-0.4180898794007239
ACH-000005,-0.3794348673760164
ACH-000007,-0.7862055254572164
ACH-000009,-0.5213623881319033
ACH-000011,-0.6883131407465598
ACH-000012,-0.679184909275333
ACH-000013,-0.780950637742181
ACH-000014,-0.44451702302967305
ACH-000015,-0.6601470107724209
ACH-000017,-0.8493827485458297
ACH-000018,-0.8837375881511084
ACH-000019,-0.9176871813641936
ACH-000021,-0.5775766074831323
ACH-000022,-0.5258037321892683
ACH-000025,-0.6217946514672611
ACH-000028,-0.9210611047255248
ACH-000030,-0.8534692821346445
ACH-000035,-0.6981698450300254
ACH-000036,-0.8057080462527554
ACH-000037,-0.4148366653432597
ACH-000039,-0.5956474345485813
ACH-000040,-0.5599861727354203
ACH-000041,-0.6758475537313942
ACH-000042,-0.6822359363916805
ACH-000045,-0.6227580430088985
ACH-000047,-0.9574584376156272
ACH-000052,-0.5188070480530791
ACH-000053,-0.6023441773067181
ACH-000054,-0.7798103153953695
ACH-000055,-0.6786596418693762
ACH-000060,-0.8333887127772054
ACH-000067,-0.5478121213345822
ACH-000070,-0.8177533108334638
ACH-000075,-0.6250418735196042
ACH-000078,-0.7739812196171261
ACH-000082,-0.6787206141183032
ACH-000085,-1.008935857063537
ACH-000086,-0.841740043930869
ACH-000087,-0.8677875072613337
ACH-000092,-0.8004896101314574
ACH-000095,-0.5441205066823449
ACH-000097,-0.7901787576345539
ACH-000098,-0.6705798570779082
ACH-000099,-0.7836663738653096
ACH-000108,-0.8182623538400773
ACH-000113,-0.506223471842052
ACH-000116,-0.891503718487865
ACH-000118,-0.8020362496752445
ACH-000120,-0.6310467744713028
ACH-000123,-0.7997733486780692
ACH-000127,-1.011036705203455
ACH-000128,-0.7339091112812258
ACH-000132,-0.3722316405658573
ACH-000133,-0.7367850408250507
ACH-000137,-0.862187773624595
ACH-000138,-0.8478436270826947
ACH-000142,-0.7309928469876125
ACH-000143,-0.8939577212786576
ACH-000146,-0.8861157015010734
ACH-000148,-0.5782656352969632
ACH-000150,-0.8295843184544875
ACH-000152,-1.0105408597080767
ACH-000153,-0.5190122366643328
ACH-000159,-0.6509679004357002
ACH-000160,-0.630181847403364
ACH-000163,-0.8529842626947947
ACH-000167,-1.3591608922635152
ACH-000168,-0.6232531741875205
ACH-000169,-0.7722948123180978
ACH-000178,-0.7795093414451971
