,SELPLG (6404)
ACH-000004,-0.03386808060666939
ACH-000005,0.038306037135427184
ACH-000007,-0.3434963534488955
ACH-000009,-0.19556294422963466
ACH-000011,-0.002225378020954587
ACH-000012,-0.0963571716366224
ACH-000013,-0.21054785432026635
ACH-000014,-0.07480356935439746
ACH-000015,-0.13689524761676028
ACH-000017,-0.0033660111227173353
ACH-000018,-0.09913622521079513
ACH-000019,-0.02471144927910716
ACH-000021,-0.19705262896026265
ACH-000022,-0.2400177328176153
ACH-000025,-0.13402185391145605
ACH-000028,-0.07753880370491976
ACH-000030,-0.004705478005517287
ACH-000035,-0.053014027278511684
ACH-000036,-0.031720461909346395
ACH-000037,-0.08867921387229999
ACH-000039,0.0017442282567638313
ACH-000040,-0.24288694687215376
ACH-000041,-0.13962388910184653
ACH-000042,-0.20348347530650968
ACH-000045,-0.09057720767997564
ACH-000047,-0.02366662281098206
ACH-000052,-0.1703652494702266
ACH-000053,-0.09725652160079666
ACH-000054,-0.012097295092708195
ACH-000055,-0.03126821103282218
ACH-000060,-0.0640340980570368
ACH-000067,-0.03778780605485512
ACH-000070,0.010454742081908277
ACH-000075,0.041456239528133584
ACH-000078,-0.08467674257490576
ACH-000082,-0.09588920557676203
ACH-000085,-0.16713183100943094
ACH-000086,-0.07537567508278964
ACH-000087,-0.005007121962161193
ACH-000092,-0.1318200436980529
ACH-000095,-0.07140359097431717
ACH-000097,-0.09447167045380986
ACH-000098,-0.0628446361924121
ACH-000099,-0.13407605633676994
ACH-000108,-0.08766911164037633
ACH-000113,-0.10740376946670996
ACH-000116,-0.1833852744927812
ACH-000118,0.0533527476378058
ACH-000120,-0.19589020802944854
ACH-000123,-0.09896174367871384
ACH-000127,-0.1250463301270267
ACH-000128,-0.20834169678410852
ACH-000132,-0.10567536175407242
ACH-000133,-0.2899320710334492
ACH-000137,-0.07211869096711379
ACH-000138,-0.10486451589372588
ACH-000142,-0.2871922369446938
ACH-000143,-0.0386286744305648
ACH-000146,-0.10599347494493558
ACH-000148,-0.0675709883377821
ACH-000150,-0.11855361557639328
ACH-000152,-0.1684381081955991
ACH-000153,-0.0761613764696998
ACH-000159,-0.09129479393229696
ACH-000160,-0.15374099867565888
ACH-000163,-0.0977965958784856
ACH-000167,-0.5249996191414439
ACH-000168,0.013792524427440169
ACH-000169,-0.1242314817677004
ACH-000178,-0.10209795120959213
ACH-000183,-0.1347931043328061
ACH-000188,-0.047524312949840164
ACH-000189,0.12377964771438092
ACH-000190,-0.1241394240892238
ACH-000198,-0.07196609626261766
ACH-000203,-0.3871112023681912
ACH-000204,0.002772185351662729
ACH-000206,0.11237864889691708
ACH-000207,0.08553326511040021
ACH-000208,0.026359942024464626
ACH-000210,0.020841413040640848
ACH-000211,-0.14677796002787724
ACH-000215,-0.14148555428304094
ACH-000221,-0.051756034689943324
ACH-000222,-0.3171470278876688
ACH-000223,-0.1320480309799122
ACH-000226,0.024877564576930827
ACH-000227,-0.13150715459630186
ACH-000228,-0.041000780942709744
ACH-000231,-0.12951425995500976
ACH-000232,-0.09727094271123657
ACH-000233,-0.133085740410267
ACH-000234,-0.026073386660798826
ACH-000235,-0.07312822359625931
ACH-000237,-0.18603041151227825
ACH-000238,-0.19080699279077726
ACH-000242,-0.011805440067848288
ACH-000243,-0.1261306343660629
ACH-000244,-0.1423777754323046
ACH-000246,-0.05582865785875568
ACH-000248,-0.12214633670050605
ACH-000250,-0.14084491183684114
ACH-000251,0.08641786803346521
ACH-000252,-0.19014900660917847
ACH-000253,-0.1383749042093171
ACH-000255,0.16312144761902153
ACH-000256,-0.20273842907771333
ACH-000257,-0.12419967910706675
ACH-000258,-0.17996805118760092
ACH-000259,-0.14787820277256078
ACH-000260,-0.06963786972436678
ACH-000261,-0.04863810386473949
ACH-000262,0.03808222776786155
ACH-000263,-0.11935636568649033
ACH-000264,-0.04410534787229384
ACH-000265,-0.11985763621221555
ACH-000266,-0.15702463120138158
ACH-000272,0.00016627439430671057
ACH-000274,-0.13063962229035894
ACH-000277,-0.14674151187343332
ACH-000278,-0.2477531417081556
ACH-000279,-0.11058937026055196
ACH-000280,-0.03071769311409725
ACH-000281,-0.29023318450582514
ACH-000288,-0.10864373470684396
ACH-000291,-0.27832781422611896
