,YY1 (7528)
ACH-000004,-0.5261740128314171
ACH-000005,-0.5204703123307299
ACH-000007,-0.6074917230828889
ACH-000009,-0.4639714821794807
ACH-000011,-0.7958670666678622
ACH-000012,-0.6851480656397628
ACH-000013,-0.6947466096444804
ACH-000014,-0.6757666040496509
ACH-000015,-0.5727763065356336
ACH-000017,-1.0047121749726071
ACH-000018,-0.44457942799924394
ACH-000019,-0.8879214170404204
ACH-000021,-0.5158939248761509
ACH-000022,-0.4060470005786556
ACH-000025,-0.30715306223467825
ACH-000028,-0.649774010818005
ACH-000030,-0.9282602930653076
ACH-000035,-0.5309410176663664
ACH-000036,-0.7515519759790305
ACH-000037,-0.4809461830297568
ACH-000039,-0.6828078350956018
ACH-000040,-0.7245191969099039
ACH-000041,-0.6916175317981474
ACH-000042,-0.5257981784906489
ACH-000045,-0.491554998890185
ACH-000047,-0.5608927654507326
ACH-000052,-0.7951278459055309
ACH-000053,-0.7213025557581356
ACH-000054,-0.5558252583370843
ACH-000055,-0.5130101457384509
ACH-000060,-0.8427770225111708
ACH-000067,-0.5606884729624756
ACH-000070,-0.7311156846048764
ACH-000075,-0.7410618196363152
ACH-000078,-0.842370147896589
ACH-000082,-0.8402619169580094
ACH-000085,-0.8600413986902303
ACH-000086,-0.5324436851449422
ACH-000087,-0.686494478936204
ACH-000092,-0.5948610733988352
ACH-000095,-0.5910988771630081
ACH-000097,-0.5713837371383049
ACH-000098,-0.6480674984415931
ACH-000099,-0.8308616848368909
ACH-000108,-0.5952707726802691
ACH-000113,-0.636523733570897
ACH-000116,-0.8599974775906283
ACH-000118,-0.6822531525050006
ACH-000120,-0.4279990018810571
ACH-000123,-0.5851899255708639
ACH-000127,-0.6078020843642168
ACH-000128,-0.504497461872219
ACH-000132,-0.6404707508111338
ACH-000133,-0.7004379527973436
ACH-000137,-0.5790206448758681
ACH-000138,-0.3790310389603681
ACH-000142,-0.6696888110111755
ACH-000143,-0.4804674967219517
ACH-000146,-0.3436628105614389
ACH-000148,-0.5841357866270994
ACH-000150,-0.6071327795029882
ACH-000152,-0.35807421258748523
ACH-000153,-0.4421336436354456
ACH-000159,-0.6758791450131325
ACH-000160,-0.10577447014235604
ACH-000163,-0.483971470899489
ACH-000167,-0.365818865299881
ACH-000168,-0.7110128723634064
ACH-000169,-0.4708049523351145
ACH-000178,-0.4677484889711781
ACH-000183,-0.6994370701285267
ACH-000188,-0.6295164913796802
ACH-000189,-0.6380914736151168
ACH-000190,-0.3336204555193035
ACH-000198,-0.7343341532529536
ACH-000203,-0.2436022297853352
ACH-000204,-0.7361758878473064
ACH-000206,-0.5163023106926263
ACH-000207,-0.42368503843675176
ACH-000208,-0.08138274726539971
ACH-000210,-0.4090748297552573
ACH-000211,-0.7362530676119258
ACH-000215,-0.4438929174988371
ACH-000221,-0.5273044154905897
ACH-000222,-0.5839928035044953
ACH-000223,-0.6012660955779933
ACH-000226,-0.8784147182521501
ACH-000227,-0.7519015720311766
ACH-000228,-0.5998622940729741
ACH-000231,-0.4717792964929296
ACH-000232,-0.4412066734887029
ACH-000233,-0.5649515526215898
ACH-000234,-0.5460116549681145
ACH-000235,-0.4875059952650321
ACH-000237,-0.3711135125775199
ACH-000238,-0.9017169353809186
ACH-000242,-0.5722517411674817
ACH-000243,-0.5903268968707638
ACH-000244,-0.8307447642659973
ACH-000246,-0.9995224894843122
ACH-000248,-0.7739851752235607
ACH-000250,-0.7367701253513974
ACH-000251,-0.4267994324772544
ACH-000252,-0.6812204141448672
ACH-000253,-0.5546636128554675
ACH-000255,-0.540364003491282
ACH-000256,-0.5651466412073088
ACH-000257,-0.6961914861455217
ACH-000258,-1.0724277511913924
ACH-000259,-0.7406487146712266
ACH-000260,-0.6106600508630986
ACH-000261,-0.5342623240185672
ACH-000262,-0.4850694309857638
ACH-000263,-0.6932001918853586
ACH-000264,-0.4364932670580395
ACH-000265,-0.5474549984650773
ACH-000266,-0.5642873099287471
ACH-000272,-0.476366300261
ACH-000274,-0.4434408032590885
ACH-000277,-0.4958240276808421
ACH-000278,-0.7041824306704167
ACH-000279,-0.5382139315691433
ACH-000280,-0.5337424816236543
ACH-000281,-0.5930210315801638
ACH-000288,-0.5368188182712924
ACH-000291,-0.5585344888746847
ACH-000293,-0.8025638152496938
ACH-000294,-0.8315751660077062
ACH-000295,-0.6294155468830961
ACH-000296,-0.7393364460070491
ACH-000302,-0.6036384492944488
ACH-000304,-0.7212577409909056
ACH-000307,-0.5093851596864515
ACH-000308,-0.4946860591368642
ACH-000310,-0.6312427438306533
ACH-000311,-0.7017434078287446
ACH-000312,-0.6549461929844128
ACH-000315,-0.7114210453422605
ACH-000316,-0.6005104273001833
ACH-000317,-0.8977199963412934
ACH-000318,-0.3885404189124188
ACH-000319,-0.4436473800083219
ACH-000320,-0.2987263619020605
ACH-000322,-0.623860755600212
ACH-000323,-0.4622104667980825
ACH-000324,-0.6681649440116106
ACH-000329,-0.6394217218488598
ACH-000330,-0.6000017851637848
ACH-000331,-0.7369858278667665
ACH-000332,-0.5622619128667493
ACH-000334,-0.5456026701752252
ACH-000335,-0.606201194235745
ACH-000336,-0.035795962223281366
ACH-000337,-0.5425316995063538
ACH-000338,-0.9223224066772916
ACH-000339,-0.1416630828645696
ACH-000341,-0.786426431849933
ACH-000348,-0.5021234079191189
ACH-000350,-0.5983808852910768
ACH-000352,-0.7724353061773764
ACH-000356,-0.5105411402329328
ACH-000361,-0.6507752566030816
ACH-000362,-0.4808726965127264
ACH-000363,-0.7673799879542615
ACH-000364,-0.7731819737656761
ACH-000365,-0.6342312411694904
ACH-000366,-0.7819478020581415
ACH-000368,-0.9188281301991832
ACH-000374,-0.4696474425908092
