,WFIKKN2 (124857)
ACH-000004,-0.07734949355635262
ACH-000005,-0.30070903106395397
ACH-000007,0.10908009202069342
ACH-000009,-0.24644915739997986
ACH-000011,-0.013860555130495776
ACH-000012,-0.22493908602668547
ACH-000013,-0.04287047082069303
ACH-000014,-0.2638023386710692
ACH-000015,-0.07659607302781536
ACH-000017,0.005144538837490689
ACH-000018,-0.2983372797163433
ACH-000019,-0.22008753454446994
ACH-000021,-0.11582115603797985
ACH-000022,-0.1275187825328562
ACH-000025,-0.13670531960260238
ACH-000028,-0.1727051067613193
ACH-000030,-0.2499990534534842
ACH-000035,-0.3489762674479999
ACH-000036,-0.27680478170938466
ACH-000037,-0.07311417109518795
ACH-000039,-0.1108290327802013
ACH-000040,-0.14417957020429184
ACH-000041,-0.2742157048757099
ACH-000042,-0.0320915343655198
ACH-000045,-0.24468475846263174
ACH-000047,-0.03803393597712885
ACH-000052,-0.018051080115160063
ACH-000053,-0.05729589277768628
ACH-000054,-0.14807948770134788
ACH-000055,-0.012341881336367957
ACH-000060,-0.05496947829733727
ACH-000067,-0.16158422949202028
ACH-000070,-0.07911217206071633
ACH-000075,-0.12036347986561945
ACH-000078,-0.1731664091063017
ACH-000082,-0.07716191192559987
ACH-000085,-0.2439027525444003
ACH-000086,-0.19604096843784025
ACH-000087,0.09121661142091864
ACH-000092,-0.2286613000471072
ACH-000095,-0.21908682388722325
ACH-000097,0.02223719151308494
ACH-000098,-0.0853050382198935
ACH-000099,-0.11293054653772573
ACH-000108,-0.13836945856610758
ACH-000113,-0.23749621047273015
ACH-000116,-0.15152625363883973
ACH-000118,-0.05472908193152717
ACH-000120,-0.18787636511663905
ACH-000123,-0.2310523969176869
ACH-000127,-0.05534274529763136
ACH-000128,-0.3012952710392044
ACH-000132,-0.03417278274168295
ACH-000133,-0.057240899471722416
ACH-000137,0.01139298489077754
ACH-000138,-0.3065716687352359
ACH-000142,-0.3717277232022765
ACH-000143,-0.046588701349181215
ACH-000146,-0.05088352654366009
ACH-000148,-0.1490564873353383
ACH-000150,-0.12392018767559038
