,BANP (54971)
ACH-000004,-0.6169085335741354
ACH-000005,-0.5018126992320684
ACH-000007,-0.5544790870737561
ACH-000009,-0.5118166253486678
ACH-000011,-0.7400581601419676
ACH-000012,-0.7318800140214065
ACH-000013,-0.7916636142620941
ACH-000014,-0.4170379465451021
ACH-000015,-0.6433143309369539
ACH-000017,-0.9258506549543628
ACH-000018,-1.0167986540911815
ACH-000019,-0.7052682881586431
ACH-000021,-0.8651028732380918
ACH-000022,-0.6183754153174275
ACH-000025,-0.7747541043321531
ACH-000028,-0.5609953753335434
ACH-000030,-0.71528399808955
ACH-000035,-0.925089127279498
ACH-000036,-0.6831631299906167
ACH-000037,-0.13106511338440682
ACH-000039,-0.6738357160379476
ACH-000040,-0.7925439875838046
ACH-000041,-0.7323210989406542
ACH-000042,-0.7133284880368285
ACH-000045,-0.9043481408347026
ACH-000047,-0.7321000157221047
ACH-000052,-0.8236059124564129
ACH-000053,-0.6396811953160798
ACH-000054,-0.6986407612458838
ACH-000055,-0.4701656499631043
ACH-000060,-0.6732996182467651
ACH-000067,-0.6545634458359545
ACH-000070,-0.6534239869620866
ACH-000075,-0.7723892498137347
ACH-000078,-0.6187662149087915
ACH-000082,-0.7960512255222599
ACH-000085,-0.893954403585367
ACH-000086,-0.8277314700926994
ACH-000087,-0.8453231438445952
ACH-000092,-0.8407844453209244
ACH-000095,-0.5112527784302853
ACH-000097,-0.7033640621267652
ACH-000098,-0.8754842734418283
ACH-000099,-0.6294014214262971
ACH-000108,-0.707015744590095
ACH-000113,-0.8317968492167674
ACH-000116,-0.7343814278138807
ACH-000118,-0.6781866145710334
ACH-000120,-0.8795943017217187
ACH-000123,-0.7476788177362763
ACH-000127,-0.7948898657941257
ACH-000128,-0.6520373457423522
ACH-000132,-0.8263182144585107
ACH-000133,-0.8146746329921616
ACH-000137,-0.6121353704389285
ACH-000138,-0.6889091791911262
ACH-000142,-0.7215681274735123
ACH-000143,-0.6215908811468827
ACH-000146,-0.5420081231989525
ACH-000148,-0.7782917632176722
ACH-000150,-0.5380132689263528
ACH-000152,-0.6624786571917092
ACH-000153,-0.6517935216317691
ACH-000159,-0.7100108295512271
ACH-000160,-0.5157823705857064
ACH-000163,-0.7830754448040491
ACH-000167,-0.8267772819726783
ACH-000168,-0.6806490951515396
ACH-000169,-0.8387318137608006
ACH-000178,-0.5409233930845937
ACH-000183,-0.5935663836155899
ACH-000188,-0.7822824605416221
ACH-000189,-0.4946683717174565
ACH-000190,-0.4426145392249422
ACH-000198,-0.6768597486212605
ACH-000203,-0.7263036115896541
ACH-000204,-0.5460218968157962
ACH-000206,-0.7352506787914637
ACH-000207,-0.6245519330612613
ACH-000208,-0.7780152099306326
ACH-000210,-0.7426103936073307
ACH-000211,-0.8408370636048652
ACH-000215,-0.8144583027064843
