,ATP2B1 (490)
ACH-000004,-0.14616338553072927
ACH-000005,-0.00419246526071238
ACH-000007,-0.508470038972125
ACH-000009,-0.09545685652040116
ACH-000011,0.11502169349794475
ACH-000012,-0.06644521259234927
ACH-000013,0.01931613499177776
ACH-000014,0.05129644972900487
ACH-000015,0.16867144448412638
ACH-000017,-0.13118486661605955
ACH-000018,-0.3809247511702459
ACH-000019,0.12175337874565408
ACH-000021,-0.18625681431210644
ACH-000022,-0.2826932686084169
ACH-000025,-0.14760141529307996
ACH-000028,-0.2533827107644012
ACH-000030,-0.19376056793457933
ACH-000035,0.013062292922370508
ACH-000036,-0.06586743541933772
ACH-000037,-0.0653164725868859
ACH-000039,-0.0970634588152802
ACH-000040,-0.3352760363073493
ACH-000041,-0.0034161589390192147
ACH-000042,-0.3136558390969261
ACH-000045,-0.2316719993384744
ACH-000047,-0.4559919391549094
ACH-000052,-0.18998824668763567
ACH-000053,-0.02983584032821773
ACH-000054,0.1186488572631074
ACH-000055,-0.30692201250932805
ACH-000060,-0.2620830503320934
ACH-000067,-0.7898691027238725
ACH-000070,0.2739613519363128
ACH-000075,0.11065502061401476
ACH-000078,0.07865333687026177
ACH-000082,-0.4166915955149037
ACH-000085,-0.2258944871224632
ACH-000086,-0.025690271145115327
ACH-000087,0.12470984823770075
ACH-000092,-0.0957466902357848
ACH-000095,0.08210954584214054
ACH-000097,-0.00980405976250445
ACH-000098,-0.17015179574476433
ACH-000099,0.08614670606117683
ACH-000108,-0.16165594946413728
ACH-000113,-0.3757613774480653
ACH-000116,-0.08233892431558336
ACH-000118,-0.4195339001791492
ACH-000120,-0.1208333187884886
ACH-000123,-0.0058574127073899454
ACH-000127,-0.5745068514936033
ACH-000128,-0.05353023062964412
ACH-000132,0.20121335905523974
ACH-000133,-0.1965456309136409
ACH-000137,-0.1358995761377428
ACH-000138,-0.323283950932416
ACH-000142,-0.022543173471620426
ACH-000143,-0.29460377137876737
ACH-000146,-0.05553992711322017
ACH-000148,-0.1403862889771167
ACH-000150,-0.2419999877791413
ACH-000152,-0.13860092212080946
ACH-000153,-0.37121492550486623
ACH-000159,0.14307207700012994
ACH-000160,-0.1840759232195863
ACH-000163,-0.4284985583677256
ACH-000167,0.2834454366622132
ACH-000168,-0.016828063232227627
ACH-000169,-0.44208768711518137
ACH-000178,-0.07753146788063396
ACH-000183,0.10600947572378824
ACH-000188,-0.1453966286362312
ACH-000189,-0.2648562932046321
