,CRX (1406)
ACH-000004,-0.2548888848769735
ACH-000005,-0.12972316693685518
ACH-000007,-0.2575247428178309
ACH-000009,-0.3404258570455022
ACH-000011,-0.13425975536238413
ACH-000012,-0.16145158318068115
ACH-000013,-0.35298037974451923
ACH-000014,-0.3128234369273739
ACH-000015,-0.4685039488010578
ACH-000017,-0.11390698203839406
ACH-000018,-0.243459633800228
ACH-000019,-0.19683002385120307
ACH-000021,-0.2974428730747952
ACH-000022,-0.3247374569708315
ACH-000025,-0.03862408928686013
ACH-000028,-0.24955586756588324
ACH-000030,-0.2906980760543297
ACH-000035,-0.255508630011695
ACH-000036,0.020184811915499395
ACH-000037,-0.04016387935479082
ACH-000039,-0.06338027759566398
ACH-000040,-0.06672689299890963
ACH-000041,-0.2462020244815023
ACH-000042,-0.1894295749444967
ACH-000045,-0.26243572764396944
ACH-000047,-0.2284794904692588
ACH-000052,-0.23696402094822694
ACH-000053,-0.5770882775190475
ACH-000054,-0.19025225941740093
ACH-000055,-0.01852979172235649
ACH-000060,-0.13893275562687454
ACH-000067,-0.09925806339157206
ACH-000070,-0.30732045235393624
ACH-000075,-0.07729509225376935
ACH-000078,-0.10910897746027172
ACH-000082,-0.11274703659170207
ACH-000085,-0.3300181039447844
ACH-000086,-0.2563100978827776
ACH-000087,-0.22392726844748265
ACH-000092,-0.24478472615731536
ACH-000095,-0.2273609730754068
ACH-000097,-0.2837776285181485
ACH-000098,-0.2879283088862909
ACH-000099,-0.2247011883844287
ACH-000108,-0.28718019950851803
ACH-000113,-0.21418170825841296
ACH-000116,-0.2778866632258685
ACH-000118,-0.2472855658673213
ACH-000120,-0.07957916813087869
ACH-000123,-0.31238164194206663
ACH-000127,-0.2732498688009969
ACH-000128,-0.1487624103478388
ACH-000132,-0.15402934632318166
ACH-000133,-0.21567681420209672
ACH-000137,-0.4936083364114455
ACH-000138,-0.3981316675406576
ACH-000142,-0.44459620348921736
ACH-000143,-0.2358265189522926
