,DIEXF (27042)
ACH-000004,-0.3973109148440992
ACH-000005,-0.4858475909951081
ACH-000007,-0.4854131473235008
ACH-000009,-0.6908899066392322
ACH-000011,-0.5106701545356211
ACH-000012,-0.3986740855764565
ACH-000013,-0.4695250593804342
ACH-000014,-0.3904746089960876
ACH-000015,-0.5032659227957226
ACH-000017,-0.4939272220273444
ACH-000018,-0.7249996473313409
ACH-000019,-0.4658778933732307
ACH-000021,-0.5493357741744598
ACH-000022,-0.4044658747961719
ACH-000025,-0.5423967429222828
ACH-000028,-0.6375620600357421
ACH-000030,-0.4817324452009271
ACH-000035,-0.6389714977358464
ACH-000036,-0.5627418070703984
ACH-000037,-0.41805758702697615
ACH-000039,-0.4345106053271297
ACH-000040,-0.5824712449479422
ACH-000041,-0.4194877751226795
ACH-000042,-0.4340495685630656
ACH-000045,-0.6567029965750383
ACH-000047,-0.6267493953424375
ACH-000052,-0.5531958644488313
ACH-000053,-0.5727268721029726
ACH-000054,-0.6523835338814614
ACH-000055,-0.20927509488979154
ACH-000060,-0.4644285513207772
ACH-000067,-0.5849500998917897
ACH-000070,-0.3602442136193621
ACH-000075,-0.533882472441363
ACH-000078,-0.3423893001493316
ACH-000082,-0.5128921581629088
ACH-000085,-0.40647516349933055
ACH-000086,-0.7537214183787234
ACH-000087,-0.6010614202250555
ACH-000092,-0.7128073741007265
ACH-000095,-0.4562244297463819
ACH-000097,-0.4589912757757216
ACH-000098,-0.6935954125619452
ACH-000099,-0.4446980472073022
ACH-000108,-0.4873391706619969
ACH-000113,-0.6227910834687623
ACH-000116,-0.4603016917107379
ACH-000118,-0.4670353601751034
ACH-000120,-0.6173435461449511
ACH-000123,-0.4737452736206485
ACH-000127,-0.4972202162421522
ACH-000128,-0.3712221577781536
ACH-000132,-0.6574033838172124
ACH-000133,-0.5039380673930339
ACH-000137,-0.7293550692970118
ACH-000138,-0.41513684443818977
ACH-000142,-0.4753565303327687
ACH-000143,-0.4535041526227176
