,MON2 (23041)
ACH-000004,-0.265774795238601
ACH-000005,0.05656169673933489
ACH-000007,0.3026125659505564
ACH-000009,-0.056404851694993235
ACH-000011,0.14626123152076842
ACH-000012,-0.257656708366311
ACH-000013,0.08223505683612957
ACH-000014,-0.04437862490282255
ACH-000015,-0.25041207771490265
ACH-000017,-0.3233285395699601
ACH-000018,-0.4215717917452288
ACH-000019,0.2819294163685364
ACH-000021,-0.6273758643456998
ACH-000022,0.004945273146103947
ACH-000025,-0.4585956192253228
ACH-000028,-0.18582395651409728
ACH-000030,-0.17669514953047366
ACH-000035,-0.2942695121558149
ACH-000036,-0.5620677296896145
ACH-000037,-0.0787929828463102
ACH-000039,-0.24399733299236226
ACH-000040,-0.2918967707678428
ACH-000041,-0.09858638377542878
ACH-000042,-0.16569175747599058
ACH-000045,-0.4228410671328177
ACH-000047,-0.26456465482586444
ACH-000052,0.19132198604349102
ACH-000053,-0.3964137699695007
ACH-000054,-0.11622233799998576
ACH-000055,0.010278571980412574
ACH-000060,0.1500607759480501
ACH-000067,-0.40166812365547394
ACH-000070,-0.3085491680255244
ACH-000075,-0.1929632860554019
ACH-000078,-0.14981356183694045
ACH-000082,0.016900172075576845
ACH-000085,-0.05949412932096663
ACH-000086,-0.4168948925867619
ACH-000087,-0.4631610073935542
ACH-000092,-0.5907245339458391
ACH-000095,-0.09949993428609406
ACH-000097,-0.011581517583703837
ACH-000098,-0.3490733044492599
ACH-000099,-0.24380860552005745
ACH-000108,-0.1019024827940546
ACH-000113,0.001956574464657066
ACH-000116,-0.08104238001519552
ACH-000118,-0.3982170358254018
ACH-000120,-0.13543366896126954
ACH-000123,-0.4302295156952194
ACH-000127,-0.13486137578495172
ACH-000128,-0.19590507859670853
ACH-000132,-0.689145251500321
ACH-000133,-0.3174999176894441
ACH-000137,-0.01983033335675389
ACH-000138,-0.05851712675135148
ACH-000142,0.18623569246155952
ACH-000143,-0.009679041400325576
ACH-000146,-0.2436829343137037
ACH-000148,-0.308950592838431
ACH-000150,-0.12170181755956608
ACH-000152,-0.2734392820631157
ACH-000153,-0.23401806555978086
ACH-000159,-0.09611036125911383
ACH-000160,-0.01932332885307585
ACH-000163,-0.4886911583072117
ACH-000167,-0.4816242996368583
ACH-000168,-0.4263942017053023
ACH-000169,-0.14912341006946536
ACH-000178,-0.4634810296758999
ACH-000183,-0.03220046126846688
ACH-000188,-0.31025452512743
ACH-000189,-0.4126825218444936
ACH-000190,-0.24484098715754102
ACH-000198,0.22506349108530085
ACH-000203,0.09061438796100146
ACH-000204,-0.2948251328853371
ACH-000206,-0.4079498559783921
ACH-000207,-0.3643172287129608
ACH-000208,-0.30008112736798165
ACH-000210,-0.1228371977205946
ACH-000211,-0.1915494458626364
ACH-000215,-0.3466887030293134
ACH-000221,-0.15726220309964126
ACH-000222,-0.19374421730269267
ACH-000223,-0.10344619156983888
ACH-000226,-0.11367835830229885
ACH-000227,-0.06360717428304381
ACH-000228,-0.06432807437762961
ACH-000231,-0.1505581828538564
ACH-000232,-0.050417076707982914
ACH-000233,-0.4412261367973808
ACH-000234,-0.17736922482722758
ACH-000235,-0.06672636945881814
ACH-000237,-0.3443302953037609
ACH-000238,-0.4093099763151226
ACH-000242,-0.3959031684142799
ACH-000243,-0.743183107851737
ACH-000244,-0.7183939940658072
ACH-000246,-0.4386693691891253
ACH-000248,-0.16051312607003887
ACH-000250,-0.2459759166325275
ACH-000251,-0.3822719849633857
ACH-000252,-0.02371085608088436
ACH-000253,-0.05572139873812367
ACH-000255,-0.2681512861223652
ACH-000256,-0.5189990361338344
ACH-000257,-0.43174404771658775
ACH-000258,-0.012822698030417645
ACH-000259,-0.4008632345308375
ACH-000260,0.015786041198682512
ACH-000261,-0.04118198324450035
ACH-000262,-0.5391736462199479
ACH-000263,-0.07255949668234092
ACH-000264,-0.23173010323660104
ACH-000265,0.04179552657901549
ACH-000266,-0.0941169471933678
ACH-000272,-0.2765909810922097
ACH-000274,0.03022466644191855
ACH-000277,-0.3309902352121218
ACH-000278,-0.29938076278332465
ACH-000279,-0.4633416831798828
ACH-000280,0.4085493061992285
ACH-000281,0.07811237832599059
ACH-000288,-0.3088342568077237
ACH-000291,-0.05815511101484532
ACH-000293,-0.0383204985871627
ACH-000294,0.14714308619891167
ACH-000295,-0.2768900558514044
ACH-000296,-0.5346327578700311
ACH-000302,-0.3796412830573673
ACH-000304,-0.2952046275200354
ACH-000307,-0.3163836570419544
ACH-000308,-0.10161964108158177
ACH-000310,0.2328724898763729
ACH-000311,-0.3683256754903007
ACH-000312,-0.07926627285460225
ACH-000315,-0.2976517416020981
ACH-000316,-0.14487778615159366
ACH-000317,-0.2385090174795593
ACH-000318,-0.09423548215830516
ACH-000319,-0.34873218316474297
ACH-000320,-0.1990620873495105
ACH-000322,0.1903108243813753
ACH-000323,-0.33183043452958744
ACH-000324,-0.34365882133611464
ACH-000329,-0.0703806560960017
ACH-000330,-0.21226664329409914
ACH-000331,-0.5583621135279005
ACH-000332,0.060610688919695024
ACH-000334,-0.4065611529508149
ACH-000335,-0.28594225192848816
ACH-000336,-0.056993131747610074
ACH-000337,-0.2955344243430344
ACH-000338,-0.3252300393988057
ACH-000339,-0.5994571238470886
ACH-000341,-0.13899656924025902
ACH-000348,-0.4565780751025008
ACH-000350,0.10462332814028492
ACH-000352,0.07027680283902707
ACH-000356,-0.052624504138657484
ACH-000361,-0.20685610756997785
ACH-000362,-0.589815971644308
ACH-000363,-0.1265604985897332
ACH-000364,-0.14495383339139545
ACH-000365,-0.01797781259056098
ACH-000366,-0.21133739019811845
ACH-000368,-0.4594264074646621
ACH-000374,-0.5019338652965418
ACH-000375,-0.2686273663269196
ACH-000376,-0.20744399170048933
ACH-000381,-0.03585173168541085
ACH-000383,-0.20980831078565487
ACH-000387,-0.5675032911953775
ACH-000389,-0.7047862773021659
ACH-000390,-0.025710698377521605
ACH-000393,-0.2622287767106161
ACH-000395,-0.4291629677001004
ACH-000396,-0.3174617730584826
ACH-000397,-0.12620996784125074
ACH-000401,-0.5146326614106813
ACH-000402,0.15873948234334406
ACH-000403,-0.07355455848598523
ACH-000404,-0.3138217601782237
ACH-000406,-0.10671596231881014
ACH-000407,-0.08310260669534295
ACH-000408,-0.2253066824515713
ACH-000410,-0.4491537891295656
ACH-000411,-0.4862445214150778
ACH-000414,-0.12248936869283228
ACH-000415,-0.4304994207799637
ACH-000416,-0.5254993937137518
ACH-000420,-0.2753377023871353
ACH-000421,0.06200293197728188
ACH-000424,-0.15926460384797192
ACH-000425,-0.1981314834598268
ACH-000426,-0.2378224809488655
ACH-000427,-0.09063812011305687
ACH-000433,-0.3042853351983445
ACH-000435,-0.2918658255757385
ACH-000436,-0.4773884948577054
ACH-000444,-0.13920383122798438
ACH-000445,0.030270708924448837
ACH-000448,-0.17689724661693654
ACH-000450,-0.0601084934754992
ACH-000452,0.023848457795193036
ACH-000454,-0.14377597225741584
ACH-000458,-0.34816104037523704
ACH-000459,-0.16580619075277206
ACH-000460,-0.0703296485579999
ACH-000461,-0.045670492311159286
ACH-000463,0.10940095082747588
ACH-000464,-0.12538755435306845
ACH-000466,-0.1723444779373998
ACH-000467,-0.09218416967062017
ACH-000468,0.04025669348539941
ACH-000469,-0.4334620164114436
ACH-000470,-0.1271582206370011
ACH-000471,-0.3007140123301654
ACH-000472,-0.15531054529171492
ACH-000473,0.025096376187393927
ACH-000475,-0.03527189090091233
ACH-000476,-0.13855098471753854
ACH-000477,-0.2052016038259008
ACH-000479,-0.2951978800354653
ACH-000480,-0.5777354684918488
ACH-000481,-0.20071703608724947
ACH-000483,-0.19667930485333346
ACH-000484,-0.5010059234596023
ACH-000485,-0.12055516426450295
ACH-000486,-0.13455687224212307
ACH-000487,-0.09660221280695126
ACH-000488,0.0017317224047183645
ACH-000490,-0.05772783110753979
ACH-000491,-0.4461975497403065
ACH-000495,0.05217096050956288
ACH-000496,-0.3096569451475658
ACH-000499,-0.257889282402719
ACH-000500,0.2317883282293077
ACH-000502,-0.04777349770801098
ACH-000503,-0.42269095301072857
ACH-000505,-0.3791177036207748
ACH-000507,-0.245039874962275
ACH-000510,-0.041181877247991334
ACH-000511,-0.17893581431312042
ACH-000512,-0.5015187704338075
ACH-000516,-0.6017468879116037
ACH-000517,0.13998827660289526
ACH-000518,0.2528812473938733
ACH-000520,-0.4158820449131707
ACH-000521,-0.31058831928173936
ACH-000522,0.055239171153792434
ACH-000524,-0.3032015946504817
ACH-000527,-0.008183049178236762
ACH-000528,-0.5980692700320199
ACH-000537,-0.4492558922261317
ACH-000541,-0.4421287672359088
ACH-000542,-0.2263730586558298
ACH-000544,0.020455941025990715
ACH-000545,-0.20367901874634248
ACH-000547,-0.5649115605476882
ACH-000548,-0.3039895865090955
ACH-000549,-0.1946566046647661
ACH-000550,-0.07192451235785374
ACH-000552,-0.490591286595253
ACH-000556,-0.03453932984064068
ACH-000557,-0.27532477850467074
ACH-000569,-0.26151493577809104
ACH-000570,-0.012447925905676636
ACH-000571,-0.2169713219726284
ACH-000573,-0.5323362142364654
ACH-000576,-0.2417933890841148
ACH-000579,-0.1875521490654173
ACH-000580,-0.20261943673281654
ACH-000584,-0.5249334192672346
ACH-000585,-0.09522416949695436
ACH-000588,-0.4733114872300893
ACH-000589,0.06626434449092937
ACH-000591,-0.09154851163039383
ACH-000593,0.1137982216878353
ACH-000600,-0.14913433313348132
ACH-000601,-0.01763318102445996
ACH-000605,0.09242397825500673
ACH-000606,-0.004878123966345379
ACH-000608,-0.095178986736475
ACH-000614,-0.2088060495297128
ACH-000616,-0.3539976445514001
ACH-000618,-0.32323188661171043
ACH-000619,-0.09503208013515972
ACH-000620,-0.5631892744356201
ACH-000621,-0.7154716472400491
ACH-000622,-0.1575330693763965
ACH-000623,-0.28393058037075203
ACH-000624,0.09158054948179824
ACH-000627,-0.2691701382898106
ACH-000630,-0.022986156768344392
ACH-000631,-0.41591214061142295
ACH-000632,0.03118391398604673
ACH-000633,-0.2695701283931416
ACH-000637,-0.011916909746036876
ACH-000638,0.003397477236014751
ACH-000646,-0.5448770214683872
ACH-000647,-0.03889318568089162
ACH-000648,-0.12626443348319294
ACH-000649,-0.35616560435521105
ACH-000651,-0.13599904823528647
ACH-000652,-0.03955522251543003
ACH-000653,-0.16168394095341534
ACH-000657,-0.24044595527179946
ACH-000658,-0.3554556892496385
ACH-000661,-0.07556168693576774
ACH-000662,-0.2699587641164147
ACH-000663,-0.3594126349417774
ACH-000665,-0.1557392445656528
ACH-000671,-0.4967629980711871
ACH-000672,0.03612262540190423
ACH-000673,-0.04846106987223495
