,KRR1 (11103)
ACH-000004,-1.1159550103407028
ACH-000005,-0.4676628459055322
ACH-000007,-1.0355735259761178
ACH-000009,-0.8257513087676819
ACH-000011,-1.0400102522857462
ACH-000012,-0.9221560738808204
ACH-000013,-0.9884829086987522
ACH-000014,-1.01338462462146
ACH-000015,-1.0304021552011076
ACH-000017,-0.6038824398538892
ACH-000018,-1.0905414713004025
ACH-000019,-0.8556422213852926
ACH-000021,-1.0418490722802267
ACH-000022,-0.8682329051431078
ACH-000025,-0.9527747410167692
ACH-000028,-0.8350297408685354
ACH-000030,-0.9624969198398302
ACH-000035,-0.6177890799599786
ACH-000036,-0.8410030784050933
ACH-000037,-1.0316872201430445
ACH-000039,-0.6908371669226738
ACH-000040,-0.8568641111162173
ACH-000041,-0.964813227918364
ACH-000042,-0.8768065951130406
ACH-000045,-1.0196115085143984
ACH-000047,-0.9873225216005062
ACH-000052,-0.7541498805838349
ACH-000053,-0.6851169838814539
ACH-000054,-0.7656531714471171
ACH-000055,-1.0038749784128824
ACH-000060,-0.8925937136376703
ACH-000067,-0.8487105194332047
ACH-000070,-0.8052473245047004
ACH-000075,-1.1423425290645937
ACH-000078,-0.9399591439775145
ACH-000082,-0.8855046666957596
ACH-000085,-0.9928366965426686
ACH-000086,-0.695338262812064
ACH-000087,-0.9784722151799196
ACH-000092,-0.7937191036723178
ACH-000095,-0.8016515265502376
ACH-000097,-0.9239302322603976
ACH-000098,-0.8734456847856393
ACH-000099,-0.7492519901145542
ACH-000108,-1.0621764880546003
ACH-000113,-0.6040967325961744
ACH-000116,-0.9888441514238009
ACH-000118,-0.9209257261657764
ACH-000120,-0.954370761037309
ACH-000123,-0.8425190831830268
ACH-000127,-0.9923695888470756
ACH-000128,-0.7909637230584644
ACH-000132,-0.7420067119100977
ACH-000133,-0.9500598203735988
ACH-000137,-0.9971197549663686
ACH-000138,-0.95290129693194
ACH-000142,-0.7593689267141587
ACH-000143,-0.9879462511167092
ACH-000146,-0.6710161749962664
ACH-000148,-1.0695984811687524
ACH-000150,-1.004876264727336
ACH-000152,-0.901965565269546
ACH-000153,-1.1533809204679324
ACH-000159,-0.8795690419979992
ACH-000160,-1.0501186130629083
ACH-000163,-0.9306195020130446
ACH-000167,-0.9586451670398748
ACH-000168,-0.6847745729238751
ACH-000169,-0.8504004718679202
ACH-000178,-0.9297610830112732
ACH-000183,-0.9058225327633764
ACH-000188,-0.8580327506655163
ACH-000189,-0.7616593565876191
ACH-000190,-0.8967539089195108
ACH-000198,-0.7856376329263399
ACH-000203,-1.3530390520504088
ACH-000204,-0.7937619190075096
ACH-000206,-0.8162045565185125
ACH-000207,-0.58530166932957
ACH-000208,-1.3900558239557037
ACH-000210,-0.6350090274092595
ACH-000211,-0.794697949140638
ACH-000215,-0.9946445649103324
ACH-000221,-0.8657749419280132
ACH-000222,-1.1610627555601565
ACH-000223,-0.7701955204790778
ACH-000226,-0.8238575968974045
ACH-000227,-0.7191932849691111
ACH-000228,-0.8789345217312334
ACH-000231,-1.0303893499408157
ACH-000232,-0.8908389775602572
ACH-000233,-0.5830488831186246
ACH-000234,-0.7886354810999272
ACH-000235,-0.9705000181192868
ACH-000237,-1.1327854299655913
ACH-000238,-1.1749761058077202
ACH-000242,-0.6427931208878708
ACH-000243,-1.0133526716475123
ACH-000244,-0.4722947292761968
ACH-000246,-0.8013957452252488
ACH-000248,-0.7904483531675285
ACH-000250,-0.8968764263007349
ACH-000251,-1.0493288690423541
ACH-000252,-0.9768855242492795
ACH-000253,-1.023032709522436
ACH-000255,-0.9518620630776974
ACH-000256,-0.6630101507045255
ACH-000257,-0.7257220149101199
ACH-000258,-1.1759582722193809
ACH-000259,-0.9915381860953668
ACH-000260,-0.9164194152107676
ACH-000261,-0.8819300853073192
ACH-000262,-0.9534172578442812
ACH-000263,-0.4402376853100564
ACH-000264,-0.6421505808257217
ACH-000265,-0.9834261308967488
ACH-000266,-0.9016077588270508
ACH-000272,-0.7859681157058135
ACH-000274,-0.7432128515496198
ACH-000277,-0.8014632724239266
ACH-000278,-1.075285691301941
ACH-000279,-0.8872296205199359
ACH-000280,-0.8672682992213049
ACH-000281,-0.9105362195085146
ACH-000288,-1.0320759745685648
ACH-000291,-0.7778826093727843
ACH-000293,-0.7394644658051266
ACH-000294,-0.9423080734895576
ACH-000295,-0.8281807229579863
ACH-000296,-0.9649784198985124
ACH-000302,-0.8995339129492093
ACH-000304,-1.0085469041227109
ACH-000307,-1.1218437231203016
ACH-000308,-0.8542572344481429
ACH-000310,-0.7182608370221828
ACH-000311,-0.9339298981005594
