,PTK2B (2185)
ACH-000004,0.08043700501527329
ACH-000005,0.2257568977748841
ACH-000007,0.14653125988166066
ACH-000009,0.022987701046732173
ACH-000011,0.06969576656547118
ACH-000012,-0.036582804879203464
ACH-000013,0.07280296837539085
ACH-000014,0.08033741963434045
ACH-000015,-0.04213113625314608
ACH-000017,0.02119400589562697
ACH-000018,0.3786936813173642
ACH-000019,0.14777386842332418
ACH-000021,0.026166636622266388
ACH-000022,0.10276856523927468
ACH-000025,0.16603918295465575
ACH-000028,0.06917190030735891
ACH-000030,0.13494749985389845
ACH-000035,-0.057423032608550625
ACH-000036,0.16978553060189194
ACH-000037,0.07948255186179598
ACH-000039,0.04302301204709154
ACH-000040,0.08889339582313259
ACH-000041,-0.11995928312190075
ACH-000042,0.38404158999881743
ACH-000045,0.013048818917218331
ACH-000047,0.0830019017298498
ACH-000052,0.29274997969634137
ACH-000053,0.03420920549941142
ACH-000054,0.18819787627728096
ACH-000055,0.1672855276725646
ACH-000060,0.3277126153764343
ACH-000067,-0.014114451410833931
ACH-000070,0.17064561358232674
ACH-000075,0.1436959657283277
ACH-000078,0.04701365071951705
ACH-000082,0.08605373592758145
ACH-000085,0.14293705155814818
ACH-000086,0.1989845531154918
ACH-000087,0.17646734432164232
ACH-000092,0.0966693403351505
ACH-000095,0.10490797669294892
ACH-000097,-0.0604578913186961
ACH-000098,0.18902439869532087
ACH-000099,0.05282526206212946
ACH-000108,0.1185284738119349
ACH-000113,0.09489804932170763
ACH-000116,0.03348581020963634
ACH-000118,0.13069397424330878
ACH-000120,-0.1652328700798901
ACH-000123,0.11812879492947022
ACH-000127,0.11023288592167498
ACH-000128,-0.10829179246264106
ACH-000132,-0.003371989489887641
ACH-000133,-0.029578172292660618
ACH-000137,0.09029858080911124
ACH-000138,0.2708005223274779
ACH-000142,0.030778040989516732
ACH-000143,0.09814831280701966
ACH-000146,0.2473735223475815
ACH-000148,0.1361484795432045
ACH-000150,0.052792733105009856
ACH-000152,0.21766278645979215
ACH-000153,0.04768484475288046
ACH-000159,0.14479243643973286
ACH-000160,0.2339701844761514
ACH-000163,0.1279877770744538
ACH-000167,0.13499215514419527
ACH-000168,-0.049658450242363726
ACH-000169,0.18295073283377064
ACH-000178,-0.11043569692104588
ACH-000183,0.2745957837162401
ACH-000188,0.11308960606501732
ACH-000189,0.1741803628581387
ACH-000190,0.09082075856064596
ACH-000198,0.009837606416849573
ACH-000203,-0.40904627456881737
