,BCO1 (53630)
ACH-000004,-0.17080060512175682
ACH-000005,-0.2999067250049198
ACH-000007,-0.021510653284351467
ACH-000009,-0.14222118195431752
ACH-000011,-0.2265105121704215
ACH-000012,-0.17082782318883036
ACH-000013,-0.0833672086572631
ACH-000014,-0.14785327279405858
ACH-000015,-0.07111820879463536
ACH-000017,-0.21571095867402598
ACH-000018,-0.10604648993915956
ACH-000019,-0.22958052326375364
ACH-000021,-0.13666929428461208
ACH-000022,-0.1948804227613503
ACH-000025,-0.16073668269526145
ACH-000028,0.01626543256124869
ACH-000030,-0.023882463253198632
ACH-000035,-0.18895599669032415
ACH-000036,-0.3781495840795723
ACH-000037,-0.09717939769438816
ACH-000039,-0.05566512753829548
ACH-000040,-0.0547159140551509
ACH-000041,-0.13770223856449795
ACH-000042,-0.1719279647530901
ACH-000045,-0.02666229778417484
ACH-000047,-0.11847803331779842
ACH-000052,-0.20895639202251529
ACH-000053,-0.1949158865573397
ACH-000054,-0.16927177552879638
ACH-000055,-0.27097189818451795
ACH-000060,-0.12719043661892074
ACH-000067,0.031173163251937787
ACH-000070,-0.03269774506093105
ACH-000075,-0.361565148111484
ACH-000078,-0.20737219158377546
ACH-000082,-0.1922774782102495
ACH-000085,-0.1772761766585856
ACH-000086,0.0006701139795714133
ACH-000087,-0.2337809689410166
ACH-000092,-0.1130621869514404
ACH-000095,-0.09935012855056667
ACH-000097,-0.1478003311931683
ACH-000098,-0.17797490841679686
ACH-000099,-0.10070194074150582
ACH-000108,-0.18932322105945426
ACH-000113,-0.15968738186951498
ACH-000116,-0.1297148106081905
ACH-000118,0.014861985140692771
ACH-000120,-0.19268123406864068
ACH-000123,-0.02618888119997668
ACH-000127,-0.16391987184362206
ACH-000128,-0.021405987508994345
ACH-000132,-0.08659974465042143
ACH-000133,-0.2552557080090631
ACH-000137,-0.09704561579432383
ACH-000138,-0.2133867653687612
ACH-000142,-0.1978016073943755
ACH-000143,-0.09249499429606912
ACH-000146,-0.10881626561154224
ACH-000148,-0.13489943383193193
ACH-000150,-0.13425421065974574
ACH-000152,-0.15386503961574036
ACH-000153,0.12982183396737604
ACH-000159,-0.15354151858603712
ACH-000160,0.06838902864367688
ACH-000163,-0.04958538851173243
ACH-000167,0.4886343670621851
ACH-000168,-0.075474140969351
ACH-000169,-0.06762916136309365
ACH-000178,-0.12116611885161252
ACH-000183,0.00048517384474686814
ACH-000188,-0.0760812804043781
ACH-000189,-0.07021646710041539
ACH-000190,-0.00420324017507621
ACH-000198,-0.2581162916925791
ACH-000203,-0.11214462464363173
ACH-000204,-0.3803405696082464
ACH-000206,-0.1715919523938762
ACH-000207,-0.08469692897837475
ACH-000208,0.20912438802497546
ACH-000210,-0.4239100008330271
ACH-000211,-0.11172725165504463
ACH-000215,-0.10582705211296467
ACH-000221,-0.1723652466865198
ACH-000222,-0.11661828963034945
ACH-000223,-0.0760486077839215
ACH-000226,-0.13901876634304206
ACH-000227,-0.2200561600292008
ACH-000228,-0.20528836142318568
ACH-000231,-0.11668109797019167
ACH-000232,-0.13119816764366501
ACH-000233,-0.07346188920414863
ACH-000234,-0.18425205906232148
ACH-000235,-0.19528127165037468
ACH-000237,-0.1374890011975852
ACH-000238,-0.2543642201763505
ACH-000242,-0.1117264914782104
ACH-000243,-0.08171914337439512
ACH-000244,-0.31444896670845285
ACH-000246,-0.08674506518635458
ACH-000248,-0.2352358210609687
ACH-000250,-0.12432407969975365
ACH-000251,-0.06049254023464806
ACH-000252,-0.27913994823250216
ACH-000253,-0.08078735687901767
ACH-000255,-0.091680047052603
ACH-000256,-0.09685686463885428
ACH-000257,-0.0616725018639174
ACH-000258,-0.19603717960281555
ACH-000259,-0.2044400110103617
ACH-000260,-0.16033334031764002
ACH-000261,-0.20747675598946755
ACH-000262,-0.19603104844386632
ACH-000263,-0.18891624586139416
ACH-000264,-0.07372263709038794
ACH-000265,0.011991232406786087
ACH-000266,-0.06790149442816196
ACH-000272,-0.14092311100661112
ACH-000274,-0.08714231018662451
ACH-000277,-0.30844310610873216
