,MGA (23269)
ACH-000004,-0.27809014875388943
ACH-000005,0.2528375003540097
ACH-000007,-0.5934519955124781
ACH-000009,-0.2670516190692627
ACH-000011,-0.050314902921552836
ACH-000012,-0.036027225877105364
ACH-000013,-0.08288575657287528
ACH-000014,-0.31607175952164873
ACH-000015,-0.17873068619741106
ACH-000017,-0.3234556393364452
ACH-000018,0.016264007543096447
ACH-000019,-0.40611280452230375
ACH-000021,-0.0046189819241263756
ACH-000022,-0.2204540546791411
ACH-000025,-0.5303619158402351
ACH-000028,-0.13820709280540752
ACH-000030,-0.2324193667577464
ACH-000035,-0.2287921866516585
ACH-000036,-0.2658806381097558
ACH-000037,-0.2507336082433758
ACH-000039,-0.3163989610940318
ACH-000040,-0.24051388661946116
ACH-000041,-0.07305320917147098
ACH-000042,-0.16850447581226027
ACH-000045,0.03930042876292334
ACH-000047,-0.09360285679090756
ACH-000052,-0.14980943744172495
ACH-000053,0.02141483586305117
ACH-000054,-0.3067124307740593
ACH-000055,-0.2210739571410595
ACH-000060,-0.18849933548864495
ACH-000067,-0.31917507940995626
ACH-000070,-0.03292377770751604
ACH-000075,-0.5520171815064282
ACH-000078,0.07750587656131633
ACH-000082,-0.17540744571245462
ACH-000085,-0.2461573345978943
ACH-000086,-0.2233483863506784
ACH-000087,0.005787356460964515
ACH-000092,-0.12251304911576595
ACH-000095,-0.1553266017902841
ACH-000097,-0.2983875292303209
ACH-000098,-0.17804792085068838
ACH-000099,0.0712155947892941
ACH-000108,-0.1532401634932807
ACH-000113,-0.16287551809576384
ACH-000116,-0.23237933829917226
ACH-000118,-0.16802585079497706
ACH-000120,0.1278252660158555
ACH-000123,-0.2471329229194837
ACH-000127,-0.10736086076418304
ACH-000128,-0.04506986737409659
ACH-000132,-0.4224396864059559
ACH-000133,-0.20301216054277774
ACH-000137,-0.24657722436668345
ACH-000138,-0.19800890472420005
ACH-000142,-0.26071272978562204
ACH-000143,-0.2705309934202019
ACH-000146,-0.16866572147318473
ACH-000148,-0.29131135544838016
ACH-000150,-0.4029823445349127
ACH-000152,-0.2302704788142889
ACH-000153,-0.2498392353024501
ACH-000159,-0.017010899208270248
ACH-000160,-0.04730723948990551
ACH-000163,-0.07201843523224356
ACH-000167,0.2000300439258492
ACH-000168,-0.06864867327701306
ACH-000169,-0.16486509153878254
ACH-000178,-0.23718572058279336
ACH-000183,-0.27209349393326715
ACH-000188,-0.03630452304114309
ACH-000189,-0.2215049495431469
ACH-000190,-0.09018805162371156
ACH-000198,-0.20618909236141772
ACH-000203,-0.7958200545723864
ACH-000204,0.10541583684281784
ACH-000206,-0.3011997187764445
ACH-000207,-0.24634096246276954
ACH-000208,-0.6927440625052091
ACH-000210,-0.32612917184912066
ACH-000211,-0.2378913281401651
ACH-000215,-0.08971125758231563
ACH-000221,-0.2951246517802184
ACH-000222,-0.07069419646593457
ACH-000223,-0.3027903771479122
ACH-000226,-0.323343071693774
ACH-000227,-0.009045994144201736
ACH-000228,-0.09540978705770654
ACH-000231,-0.1341289212695105
ACH-000232,-0.14862991714153276
ACH-000233,-0.2183365605881136
ACH-000234,-0.12080190514511267
ACH-000235,-0.15825886876571846
ACH-000237,-0.3683501564000285
ACH-000238,-0.07165162676932373
ACH-000242,0.0300881125416328
ACH-000243,-0.3734265362174067
ACH-000244,-0.01756596557873656
ACH-000246,-0.0683331378289964
ACH-000248,-0.4624540830409522
ACH-000250,-0.08587164367614042
ACH-000251,-0.2325924570672597
ACH-000252,-0.4205860113761132
ACH-000253,-0.3881128869415556
ACH-000255,-0.38591233126930347
ACH-000256,-0.15862388073228353
ACH-000257,-0.005688416367447639
ACH-000258,-0.1330241145734832
ACH-000259,-0.570629987875236
ACH-000260,0.0470895050189935
ACH-000261,-0.3547329823413137
ACH-000262,-0.3068691245564073
ACH-000263,-0.21439574085721025
ACH-000264,-0.13019681579211248
ACH-000265,-0.2133654360819858
ACH-000266,-0.1906473240717581
ACH-000272,-0.17107865065590586
ACH-000274,-0.10926689131869603
ACH-000277,-0.1303763213630995
ACH-000278,-0.2559072454846481
ACH-000279,-0.2450598095412249
ACH-000280,-0.3575597903163489
ACH-000281,-0.0799351367618138
ACH-000288,-0.2430212458546403
ACH-000291,0.02664527886182769
ACH-000293,-0.13544841809129654
ACH-000294,-0.08188437738606068
ACH-000295,-0.2884291712990764
ACH-000296,-0.3338960248363537
ACH-000302,-0.13391955517292614
ACH-000304,-0.19330221634315425
ACH-000307,-0.06846852765551234
ACH-000308,-0.05531390254920482
ACH-000310,-0.15142307105961064
ACH-000311,-0.3621283814293217
ACH-000312,-0.2253023251956971
ACH-000315,-0.3924895913002409
ACH-000316,-0.2411324119699843
ACH-000317,-0.2409907630718246
ACH-000318,-0.33126626070443
ACH-000319,-0.15051051568540466
ACH-000320,-0.2791223417653995
ACH-000322,-0.20248388655327515
ACH-000323,-0.15729900674222225
ACH-000324,-0.3448153990343679
ACH-000329,-0.03757478659871017
ACH-000330,-0.3581195454678546
ACH-000331,-0.3261832835616436
ACH-000332,-0.1335076163323074
ACH-000334,-0.04166219808035
ACH-000335,-0.19276026003494354
ACH-000336,-0.02307635725160077
