,THAP10 (56906)
ACH-000004,-0.021337763781533316
ACH-000005,-0.0046644848202467394
ACH-000007,-0.07676744832133503
ACH-000009,-0.059902094924786875
ACH-000011,-0.07949069282557046
ACH-000012,-0.055410561815697
ACH-000013,-0.0500044793156997
ACH-000014,0.0023207203961152297
ACH-000015,0.02028388989039035
ACH-000017,-0.0933060117223064
ACH-000018,-0.058511874948629826
ACH-000019,0.0061736765887922965
ACH-000021,0.08843095716150982
ACH-000022,-0.07284332794838673
ACH-000025,0.004917449237095319
ACH-000028,-0.09791097469708576
ACH-000030,-0.05208300944344081
ACH-000035,-0.09110985701895488
ACH-000036,0.03666237909552696
ACH-000037,-0.029031653420026695
ACH-000039,0.0034813500882827485
ACH-000040,0.041115794035671
ACH-000041,-0.032761959641050165
ACH-000042,-0.06729300785811415
ACH-000045,0.04752111354590896
ACH-000047,-0.1214472574102762
ACH-000052,-0.21493724146013185
ACH-000053,0.009407046933823774
ACH-000054,-0.1386467583802485
ACH-000055,-0.05587435523170082
ACH-000060,-0.005041660761098098
ACH-000067,-0.035669983876161306
ACH-000070,-0.1971540592180979
ACH-000075,-0.21904852007349435
ACH-000078,-0.1289873562085872
ACH-000082,-0.06725887698887699
ACH-000085,0.13474907413077475
ACH-000086,-0.16746844340531264
ACH-000087,-0.094832505557776
ACH-000092,0.0042205546235008036
ACH-000095,0.06418981096979133
ACH-000097,-0.09456653824999306
ACH-000098,0.02094205897572023
ACH-000099,-0.020328060313823882
ACH-000108,-0.08805531237253705
ACH-000113,-0.029563660804707827
ACH-000116,-0.24233919445863294
ACH-000118,-0.005683107111483033
ACH-000120,0.0050844467772100145
ACH-000123,0.03685025620010852
ACH-000127,-0.01895681453604873
ACH-000128,-0.0959763853824202
ACH-000132,-0.17906441941467502
ACH-000133,-0.011505917305656194
ACH-000137,0.03822128730338018
ACH-000138,0.042505266751411384
ACH-000142,0.0469315302911428
ACH-000143,0.026436314086084045
ACH-000146,-0.03000936948138668
ACH-000148,0.049298325045473525
ACH-000150,0.04874257388926866
ACH-000152,-0.0403597829916388
ACH-000153,0.06449872979337085
ACH-000159,-0.0821894316983906
ACH-000160,-0.09559059420172177
ACH-000163,0.0012744462287905727
ACH-000167,-0.19023064083941976
ACH-000168,0.005732675233314732
ACH-000169,-0.08955121913723707
ACH-000178,-0.0314947510780472
ACH-000183,0.14523189777353845
ACH-000188,-0.056781468236756866
ACH-000189,0.03682583243955334
ACH-000190,-0.1493734328657091
ACH-000198,0.012881814380518443
ACH-000203,0.15304732033458798
ACH-000204,-0.2631472651212154
ACH-000206,-0.01992926556444664
ACH-000207,0.07687973186430692
ACH-000208,0.04469487031894087
ACH-000210,0.05941119142259273
ACH-000211,-0.0400375586262547
ACH-000215,0.006171857637380726
ACH-000221,-0.015015631477725569
ACH-000222,-0.11895454448266884
ACH-000223,-0.14752747172332287
ACH-000226,0.08793828811782259
ACH-000227,0.028722762869027238
ACH-000228,-0.02809273940995237
ACH-000231,-0.054097793721841515
ACH-000232,0.02270125220613136
ACH-000233,0.011948467684971284
ACH-000234,-0.13984449192987014
ACH-000235,-0.11324758875801505
ACH-000237,0.0010615014854210856
ACH-000238,-0.1298979765934113
ACH-000242,-0.017554672636862483
ACH-000243,-0.08354600271077221
ACH-000244,0.09379054350246216
ACH-000246,-0.07276389357053294
ACH-000248,0.04383821653884179
ACH-000250,-0.08490761355741919
ACH-000251,-0.010661188946986942
ACH-000252,-0.0053112451696240934
ACH-000253,-0.0061577957944246794
