,ATP5L (10632)
ACH-000004,-0.5026448910714459
ACH-000005,-0.051215530354551606
ACH-000007,-0.4794716132267806
ACH-000009,-0.3197270683282833
ACH-000011,-0.19250097532530386
ACH-000012,-0.3375307141117577
ACH-000013,-0.7083106588859879
ACH-000014,-0.36712365118459095
ACH-000015,-0.4517261702723295
ACH-000017,-0.30988187151240193
ACH-000018,-0.4856985562941531
ACH-000019,-0.34248754737195297
ACH-000021,-0.35287289392303817
ACH-000022,-0.3985584163249333
ACH-000025,-0.2758252992389606
ACH-000028,-0.4502980512737537
ACH-000030,-0.2832951305704369
ACH-000035,-0.4386152471660248
ACH-000036,-0.12754687513777793
ACH-000037,-0.39315378268586537
ACH-000039,-0.4028929995819627
ACH-000040,-0.263156373693317
ACH-000041,-0.3779061272450927
ACH-000042,-0.2286349820498379
ACH-000045,-0.2033849074964744
ACH-000047,-0.44398200476538
ACH-000052,-0.2842566831392242
ACH-000053,-0.4760770940030421
ACH-000054,-0.4014622565008327
ACH-000055,-0.33225394700195315
ACH-000060,-0.4263962391136297
ACH-000067,-0.21782290878837826
ACH-000070,-0.5565659756664908
ACH-000075,-0.5764879913093559
ACH-000078,-0.2791349925311518
ACH-000082,-0.4453888183046992
ACH-000085,-0.3001153457551724
ACH-000086,-0.4970135897914724
ACH-000087,-0.5111554749187837
ACH-000092,-0.3747856534592692
ACH-000095,-0.21979779451358145
ACH-000097,-0.5077252176266576
ACH-000098,-0.3259326727369149
ACH-000099,-0.3996316442004234
ACH-000108,-0.4318429724356725
ACH-000113,-0.3109445610496363
ACH-000116,-0.566959445505656
ACH-000118,-0.7494657935550973
ACH-000120,-0.5080233953804986
ACH-000123,-0.3083427209633622
ACH-000127,-0.3198150245935469
ACH-000128,-0.526953193579683
ACH-000132,-0.4504030682188255
ACH-000133,-0.4118014806828895
ACH-000137,-0.4055974474302905
ACH-000138,-0.3695932143911985
ACH-000142,-0.28452108975513124
ACH-000143,-0.4186762334507045
ACH-000146,-0.25656478985572195
ACH-000148,-0.37574110535577465
ACH-000150,-0.6204430696569098
ACH-000152,-0.5860362895097966
ACH-000153,-0.2937048379303941
ACH-000159,-0.2118117014427496
ACH-000160,-0.6565178411281851
ACH-000163,-0.2767127683239657
ACH-000167,-0.5673537627134476
ACH-000168,-0.3522283523368372
ACH-000169,-0.5432707192599417
ACH-000178,-0.3660486631662706
ACH-000183,-0.4815696809490766
ACH-000188,-0.4731145957119322
ACH-000189,-0.6540295769257318
ACH-000190,-0.3946461222866801
ACH-000198,-0.5077884766090297
ACH-000203,-0.11934066509535644
ACH-000204,-0.28815322341405925
ACH-000206,-0.6034999764890094
ACH-000207,-0.4557183297158645
ACH-000208,-0.5525269515500445
ACH-000210,-0.16564527907546606
ACH-000211,-0.472526976407378
ACH-000215,-0.4164058974748193
ACH-000221,-0.5544048211158905
ACH-000222,-0.3309445038911041
ACH-000223,-0.46588737625117493
ACH-000226,-0.14553269587502068
ACH-000227,-0.5035391191511758
ACH-000228,-0.5275539528630439
ACH-000231,-0.2430082755706491
ACH-000232,-0.4675424455183913
ACH-000233,-0.28835193515376634
ACH-000234,-0.28964248034383405
ACH-000235,-0.26502643353726524
ACH-000237,-0.1373110219667675
ACH-000238,-0.29510245673501423
ACH-000242,0.006108669920478563
ACH-000243,-0.2775372341181048
ACH-000244,-0.3142379895674551
ACH-000246,-0.4699929423454677
ACH-000248,-0.35998600207788506
ACH-000250,-0.2524481619070592
ACH-000251,-0.2342173645189659
ACH-000252,-0.3835263186312991
ACH-000253,-0.23410329989203266
ACH-000255,-0.4462007138242768
ACH-000256,-0.3837281066191528
ACH-000257,-0.5517384852803648
ACH-000258,-0.4429638255093196
ACH-000259,-0.8015450156943311
ACH-000260,-0.2766321719619751
ACH-000261,-0.3445442899588872
ACH-000262,-0.5617426443548448
ACH-000263,-0.4140270565447105
ACH-000264,-0.4275859296837039
ACH-000265,-0.5230953121888925
ACH-000266,-0.2372259269847122
ACH-000272,-0.3008287065525685
ACH-000274,-0.41993031481911935
ACH-000277,-0.6133787959347746
ACH-000278,-0.40701844772640106
ACH-000279,-0.40835982821109584
ACH-000280,-0.5896360694873507
ACH-000281,-0.2724114895235321
ACH-000288,-0.454591723539431
ACH-000291,-0.3522659888422072
ACH-000293,-0.6545750762366126
ACH-000294,-0.1720716172586787
ACH-000295,-0.3611995626882635
ACH-000296,-0.3209432431706505
ACH-000302,-0.3092324001797165
ACH-000304,-0.4407047035161783
ACH-000307,-0.1962613178740724
ACH-000308,-0.4175017113797975
ACH-000310,-0.4301909045926527
ACH-000311,-0.4333626350807111
ACH-000312,-0.4349681233100068
ACH-000315,-0.5349747321700433
ACH-000316,-0.4987343694640791
ACH-000317,-0.6124874484068099
ACH-000318,-0.5275709064545755
ACH-000319,-0.4097020263596976
ACH-000320,-0.3991967028945694
ACH-000322,-0.5728194766633223
ACH-000323,-0.24059521146962265
ACH-000324,-0.1864405463987236
ACH-000329,-0.4535825793596397
ACH-000330,-0.4309139092305632
ACH-000331,-0.5228345068857019
ACH-000332,-0.3715532879897863
ACH-000334,-0.3768425415412065
ACH-000335,-0.4846337925849611
ACH-000336,-0.4266214083976479
ACH-000337,-0.01034898257650328
ACH-000338,-0.32804353746922416
ACH-000339,-0.2167308640093849
ACH-000341,-0.13984898691913364
ACH-000348,-0.3684818031423688
ACH-000350,-0.2909291213760983
ACH-000352,-0.4556688437968198
ACH-000356,-0.3678627915236332
ACH-000361,-0.36134325848235066
ACH-000362,-0.37090852687633336
ACH-000363,-0.5045612056232003
ACH-000364,-0.5250300856749692
ACH-000365,-0.4215875760162132
ACH-000366,-0.40142520057003
ACH-000368,-0.424685048608618
ACH-000374,-0.6197260869576695
ACH-000375,-0.4253863555594196
ACH-000376,-0.4547619140172844
ACH-000381,-0.20922185121583955
ACH-000383,-0.2838755141523911
ACH-000387,-0.19685106689228646
ACH-000389,-0.1415128913488523
ACH-000390,-0.1815019526916577
ACH-000393,-0.3278619149449317
ACH-000395,-0.17431526330833427
ACH-000396,-0.6088906607898581
ACH-000397,-0.2474016338293497
ACH-000401,-0.2812187564689602
ACH-000402,-0.3457385120211495
ACH-000403,-0.30785981901295895
ACH-000404,-0.21934135488095266
ACH-000406,-0.5019485287847069
ACH-000407,-0.3818437927481189
ACH-000408,-0.7036906999071597
ACH-000410,-0.4706804964774669
ACH-000411,-0.4436685839791647
ACH-000414,-0.4918117453156022
ACH-000415,-0.463947053262787
ACH-000416,-0.24953827195054995
ACH-000420,-0.25563073180359736
ACH-000421,-0.26488994655295245
ACH-000424,-0.6860780221126593
ACH-000425,-0.3057715877496701
ACH-000426,-0.3233291515779749
ACH-000427,-0.5250784368576048
ACH-000433,-0.4421147780748803
ACH-000435,-0.3276674369359664
ACH-000436,-0.3511635779761693
ACH-000444,-0.4240784071658533
ACH-000445,-0.34018897479163385
ACH-000448,-0.4163206606405128
ACH-000450,-0.4141634300310992
ACH-000452,-0.3489202599239876
ACH-000454,-0.20302987017017732
ACH-000458,-0.2700432442054108
ACH-000459,-0.5390842191181061
ACH-000460,-0.33368624852357026
ACH-000461,-0.3722386748448263
ACH-000463,-0.4158679067639764
ACH-000464,-0.4928644668940496
ACH-000466,-0.5201902495221067
ACH-000467,-0.3276828553733564
ACH-000468,-0.3376025075942581
ACH-000469,-0.4810270129720909
ACH-000470,-0.3453359359520026
ACH-000471,-0.35869904634841804
ACH-000472,-0.263478735003429
ACH-000473,-0.4535527081735915
ACH-000475,-0.4797513337895112
ACH-000476,-0.4690591592763141
ACH-000477,-0.4361177600115212
ACH-000479,-0.5768830316189784
ACH-000480,-0.7774084320270727
ACH-000481,-0.17690045422852366
ACH-000483,-0.5322077589262341
ACH-000484,-0.32913062447083385
ACH-000485,-0.21605970157268253
ACH-000486,-0.4925596381756172
ACH-000487,-0.27811501807745903
ACH-000488,-0.5207495562696951
ACH-000490,-0.4097596105690685
ACH-000491,-0.478209274635865
ACH-000495,-0.15844067858920674
ACH-000496,-0.2169803689590841
ACH-000499,-0.2650709086859302
ACH-000500,0.0392734830882872
ACH-000502,-0.4130916028638412
ACH-000503,-0.18638785366298627
ACH-000505,-0.30851987923652435
ACH-000507,-0.1631344726285838
ACH-000510,-0.3497400642589858
ACH-000511,-0.3789378801861381
ACH-000512,-0.2755076915882081
ACH-000516,-0.3920183038631244
