,PDE9A (5152)
ACH-000366,0.012526539124914898
ACH-000368,0.08007505728396737
ACH-000374,0.03423621076752777
ACH-000375,0.05735013500411934
ACH-000376,0.0388539567798905
ACH-000381,0.007872474122370366
ACH-000383,0.06042589085461598
ACH-000387,-0.1068321766524248
ACH-000389,0.15243886008406785
ACH-000390,0.051875030694820495
ACH-000393,0.19121398733183625
ACH-000395,-0.01045011515048888
ACH-000396,-0.007360291746070964
ACH-000397,0.03507095936858889
ACH-000401,-0.04253637361585338
ACH-000402,-0.01992900132914124
ACH-000403,0.029424376423197562
ACH-000404,-0.08392243658381301
ACH-000406,0.0012354789557577055
ACH-000407,0.04071623106250289
ACH-000408,0.04200797510124491
ACH-000410,0.13219939240053444
ACH-000411,0.12929740920272734
ACH-000414,0.014289208305528937
ACH-000415,-0.1333573449677582
ACH-000416,0.010626041874154855
ACH-000420,0.10186995749779287
ACH-000421,-0.0340732246650627
ACH-000424,0.2115722379550011
ACH-000425,0.014954428151523478
ACH-000426,-0.035079004917317635
ACH-000427,0.12723112825349284
ACH-000433,-0.04296494180926176
ACH-000435,0.10677520623270384
ACH-000436,-0.13450489966408952
ACH-000444,-0.03470860373677968
ACH-000445,0.11055979216002426
ACH-000448,-0.027063221188002726
ACH-000450,0.12751819189937347
ACH-000452,0.040679718518434514
ACH-000454,0.10726234843694712
ACH-000458,-0.0992177428060956
ACH-000459,-0.09265742364008664
ACH-000460,0.06642898719108563
ACH-000461,0.0023477624576154765
ACH-000463,-0.06987042805590088
ACH-000464,0.05526527764330555
ACH-000466,0.08755404294265673
ACH-000467,0.02298237274209901
ACH-000468,0.08198482244647944
ACH-000469,0.0936182296826097
ACH-000470,-0.009083013676718365
ACH-000471,0.00014773231930618062
ACH-000472,0.012760476213904
ACH-000473,-0.13576314241019494
ACH-000475,0.002427507490995713
ACH-000476,0.06601421793354109
ACH-000477,0.026686968321052853
ACH-000479,0.13642471559324126
ACH-000480,-0.024009183938007897
ACH-000481,-0.024877281904665056
ACH-000483,0.0709249751061422
ACH-000484,0.12467037148672372
ACH-000485,0.1447789397146043
ACH-000486,0.06495020148945206
ACH-000487,-0.0270356997704049
ACH-000488,0.03945757556375089
ACH-000490,-0.01640415294444681
ACH-000491,0.013687311644386036
ACH-000495,0.09553286405452142
ACH-000496,0.011315879931786859
ACH-000499,-0.09895402269815462
ACH-000500,-0.11017363498891984
ACH-000502,0.037534477097755016
ACH-000503,0.01388216249484512
ACH-000505,0.045730422356095216
ACH-000507,-0.0036266966778869063
ACH-000510,0.08798595757609005
ACH-000511,-0.0054810455676369075
ACH-000512,0.006650766375621436
ACH-000516,0.09635099883843287
ACH-000517,-0.019846246436591764
ACH-000518,-0.16798592606038076
ACH-000520,-0.003883405284452017
ACH-000521,-0.07808366557134892
ACH-000522,0.09298775703988932
ACH-000524,0.0297367066832953
ACH-000527,-0.0506174751491839
ACH-000528,-0.006145049680144814
ACH-000537,0.20353587273320872
ACH-000541,0.3000734553496849
ACH-000542,0.003374429301892516
ACH-000544,0.014421376970229325
ACH-000545,0.02592063340679257
ACH-000547,0.0745144488545096
ACH-000548,0.06794324788607195
ACH-000549,-0.07996204024715411
ACH-000550,0.02537422401849673
ACH-000552,-0.028073693638363418
ACH-000556,-0.025089437745065942
ACH-000557,-0.08714837712384965
ACH-000569,0.22658704431913898
ACH-000570,-0.04655366002501321
ACH-000571,-0.044368169874801376
ACH-000573,0.01264341424373707
ACH-000576,0.012860372085032629
ACH-000579,0.0439699167212583
ACH-000580,0.003967573241700136
ACH-000584,0.08229882526121993
ACH-000585,-0.0012309059615187971
ACH-000588,0.09065930747137943
ACH-000589,-0.042902721889210536
ACH-000591,-0.009209300147828704
ACH-000593,0.1033173831957053
ACH-000600,0.15295974124569092
ACH-000601,0.059348482978468335
ACH-000605,-0.07969566884967738
ACH-000606,-0.05031322589263529
ACH-000608,-0.024308508437104602
ACH-000614,0.10583160519983748
ACH-000616,0.03728482292608303
ACH-000618,0.0836846797310138
ACH-000619,-0.07197331845938564
ACH-000620,-0.08036391029603453
ACH-000621,0.054662820998815996
ACH-000622,-0.033873353578499486
ACH-000623,0.04870780470959737
ACH-000624,0.03982998427296759
ACH-000627,0.006059601995333657
ACH-000630,0.14475313665652814
ACH-000631,-0.12641952136685486
ACH-000632,0.045894376755954286
ACH-000633,0.0021005603142957943
ACH-000637,-0.1696210712707616
ACH-000638,0.048226766353198336
ACH-000646,-0.03368670958737067
ACH-000647,0.06275128936620591
ACH-000648,-0.02312099294860957
ACH-000649,0.04553080382376085
ACH-000651,-0.04126385431540013
ACH-000652,0.010213380078343572
ACH-000653,-0.1461313213970689
ACH-000657,-0.03546680337473398
ACH-000658,-0.020628367921054474
ACH-000661,-0.040707207530823096
ACH-000662,0.28473736680627515
ACH-000663,-0.011751931868408184
ACH-000665,0.10342434907413624
ACH-000671,0.039060474543330136
ACH-000672,0.11389552672730666
ACH-000673,0.021616625814101863
ACH-000676,0.1096125493094098
ACH-000677,0.11526094289861515
ACH-000681,-0.07074313811962289
ACH-000683,0.00795800513213403
ACH-000684,0.07209939302956862
ACH-000688,0.007642870969620133
ACH-000693,-0.06949366172058842
ACH-000694,-0.06686369097480023
ACH-000695,-0.12772988682967587
ACH-000696,0.058017556633644274
ACH-000697,-0.02949366583853583
ACH-000699,0.0013648290891512462
ACH-000701,-0.02467500596539774
ACH-000706,-0.02324727935063909
ACH-000711,0.038997825106092
ACH-000713,-0.11144089755395392
ACH-000714,-0.045640396857518285
ACH-000718,0.02522461527588543
ACH-000720,0.047348861361897004
ACH-000721,0.1435046390409269
ACH-000724,-0.02049140757354732
ACH-000725,0.035504056391760665
ACH-000732,0.00781352119637691
ACH-000734,0.03649074433021195
ACH-000735,-0.031052002546763526
ACH-000736,0.042477009819745816
ACH-000738,-0.021162004316815117
ACH-000746,0.01641048047906472
ACH-000747,0.016885985679906085
ACH-000748,-0.06929152814015371
ACH-000753,0.09016845429738736
ACH-000756,-0.012366369723130913
ACH-000757,0.16314799140063346
ACH-000758,0.12038517929873895
ACH-000760,-0.0065525797994356065
ACH-000762,0.035744902515410334
ACH-000763,-0.09576633286111934
ACH-000764,0.2093994351683016
ACH-000765,0.287987585086339
ACH-000766,0.057131804919680874
ACH-000767,0.0297999694452202
ACH-000768,0.1382123259784115
ACH-000769,0.007262040294017492
ACH-000770,-0.02788651806910824
ACH-000771,-0.09996600972032968
ACH-000773,-0.05631332976380249
ACH-000776,-0.03208953852203802
ACH-000777,0.0229792667029722
ACH-000778,0.04446958960148408
ACH-000781,0.06815140698216239
ACH-000782,0.09937618160511157
ACH-000783,0.034346501835122716
ACH-000784,0.04286003418083272
ACH-000785,-0.13793605796853753
ACH-000787,0.015441938653828346
ACH-000788,0.022874196434173308
ACH-000791,0.046451173535746564
ACH-000792,0.01683450551945595
ACH-000794,0.08308274290878982
ACH-000796,-0.06155366346574812
ACH-000798,0.03583262174268738
ACH-000799,-0.009991927428904616
ACH-000800,-0.006403388688056596
ACH-000802,0.095478251651783
ACH-000804,0.04194037723317417
ACH-000805,0.027669640116656825
ACH-000809,-0.019930907451087044
ACH-000810,-0.07318448430794403
ACH-000811,0.028075800764142827
ACH-000817,0.06320254322654513
ACH-000819,-0.07124697584308834
ACH-000820,0.31798585421519304
ACH-000821,-0.16400583780193273
ACH-000822,0.05904087182572342
ACH-000823,-0.04470201059775573
ACH-000824,0.07101301618393398
ACH-000827,0.0415499825150806
ACH-000829,0.0518667899302045
ACH-000831,0.18458668827928865
ACH-000832,0.15249011137004487
ACH-000833,-0.0239030870620229
ACH-000834,0.1093335108571217
ACH-000835,-0.12151206025169498
ACH-000836,-0.035154254628593964
ACH-000837,0.0757517313542614
ACH-000838,-0.017156352311100978
ACH-000839,0.14867743758270335
ACH-000840,-0.013127300149997776
ACH-000841,-0.011513390914179123
ACH-000843,0.009902892242952705
ACH-000846,-0.10599687849690403
ACH-000847,0.03906336745343773
ACH-000848,-0.0681926127428006
ACH-000849,-0.019701073167982332
ACH-000851,0.015746974520240625
ACH-000855,0.04694339095096266
ACH-000856,-0.014468147438605219
ACH-000858,-0.0291179509759094
ACH-000859,-0.04032701846230203
ACH-000861,0.04599059994290193
ACH-000862,-0.054255099706045626
ACH-000865,0.050196083528629816
ACH-000866,0.07602983336281341
ACH-000867,-0.02247094537704964
ACH-000869,-0.032667373014560554
ACH-000872,-0.017098329351153466
ACH-000873,0.02596296364550241
ACH-000876,0.06248728272552466
ACH-000878,0.015176208998027638
ACH-000880,0.08602632398235746
ACH-000881,0.05973567354046479
ACH-000882,-0.04390098121462208
ACH-000884,-0.017208704286556603
ACH-000885,0.043887347272303895
ACH-000887,-0.08244197492676852
ACH-000889,-0.044731863464408037
ACH-000896,-0.05622217524822866
ACH-000898,0.0835826424206861
ACH-000900,0.06614520428238037
ACH-000901,0.006423224133931438
ACH-000905,0.1316403399438096
ACH-000906,0.011658639126389059
ACH-000907,0.0943035393240919
ACH-000910,0.05259534954655407
ACH-000911,-0.038821751894511834
ACH-000912,0.02800109505747671
ACH-000913,0.04955366339300418
ACH-000915,-0.010127897730689828
ACH-000916,0.06284168565008533
ACH-000917,-0.1282680553350313
ACH-000920,0.17029223241603084
ACH-000921,0.015409283986444141
ACH-000924,-0.08575852532860205
ACH-000926,0.03046674685681284
ACH-000928,-0.07180162888824565
ACH-000929,0.06626467899030776
ACH-000932,0.017355984801470915
ACH-000935,0.0655238147086518
ACH-000936,0.09519906882324276
ACH-000937,-0.1130580833559404
ACH-000938,-0.033690538439230436
ACH-000939,0.03235335434632961
ACH-000941,0.07834750404760182
ACH-000943,-0.042270512474845874
ACH-000946,-0.007432290573577059
ACH-000947,-0.026236430923046426
ACH-000948,0.09533013949293498
ACH-000950,-0.04999471628133504
ACH-000953,0.02548827557933964
ACH-000954,-0.05722966099725085
ACH-000957,0.05011924514599755
ACH-000958,0.13662085828206913
ACH-000960,0.03777360822883282
ACH-000963,0.02169866609422328
ACH-000968,0.02063968058190793
ACH-000969,0.06600019897122951
ACH-000972,-0.12123051850510184
ACH-000973,-0.04375001108187125
ACH-000974,0.0587465858158505
ACH-000978,0.1857304218600652
ACH-000984,0.031078832546084394
ACH-000986,0.04062049066391512
ACH-000988,0.16011501597916827
ACH-000993,-0.052835640067161536
ACH-000994,-0.1729333461855169
ACH-000996,-0.009785954503642641
ACH-001001,0.04062997399325032
ACH-001020,0.0013342994719646286
ACH-001028,-0.009235123914019469
ACH-001031,-0.010104830507131842
ACH-001038,0.027413609394318004
ACH-001048,0.05209872689101205
ACH-001050,0.02983534033597088
ACH-001053,0.09238669750661513
ACH-001054,0.0617285788909642
ACH-001061,0.06242408251254933
ACH-001067,0.004742341862080746
ACH-001075,0.0890777402771664
ACH-001096,0.013775653925067544
ACH-001111,0.2271094883809575
ACH-001119,0.06027926270917861
ACH-001128,0.08486981974918872
ACH-001134,-0.0013823024232389792
ACH-001151,0.0422845969573644
ACH-001163,0.009134918750513943
ACH-001164,0.11679951126183699
