,TADA2B (93624)
ACH-000004,-0.3379947685815893
ACH-000005,0.18093334535612474
ACH-000007,-0.6329188992550603
ACH-000009,-0.3713535360294428
ACH-000011,-0.3013250613228273
ACH-000012,-0.1626232767494758
ACH-000013,-0.01028861773711672
ACH-000014,-0.557346172537264
ACH-000015,-0.32950909344170504
ACH-000017,-1.0035732668710904
ACH-000018,-0.6213312385245872
ACH-000019,-0.10479826873729302
ACH-000021,-0.25004897033543544
ACH-000022,-0.479956355257457
ACH-000025,0.4190297693132035
ACH-000028,-0.015457416790948326
ACH-000030,-0.2331113877377053
ACH-000035,-0.2385249182162069
ACH-000036,-0.1299126555917894
ACH-000037,-0.16242843988584935
ACH-000039,0.2838321454771561
ACH-000040,-0.3957811663957661
ACH-000041,-0.43812795062135296
ACH-000042,-0.6455947100006901
ACH-000045,-0.11407850024383515
ACH-000047,-0.5077451174549895
ACH-000052,0.09213251960036377
ACH-000053,-0.6295911738491975
ACH-000054,0.2934715840481308
ACH-000055,-0.5304011903627276
ACH-000060,-0.020158737633884947
ACH-000067,0.11709463912875358
ACH-000070,-0.6044133100435934
ACH-000075,-0.28285919110112395
ACH-000078,-0.253125202450567
ACH-000082,-0.4428640689303672
ACH-000085,-0.5187322154733032
ACH-000086,-0.0984956657230871
ACH-000087,-0.6377082283193187
ACH-000092,-0.2448332893361367
ACH-000095,-0.6508996950154621
ACH-000097,-0.2815109594458901
ACH-000098,-0.5847435655093305
ACH-000099,-0.2683362300260753
ACH-000108,-0.26963593673240616
ACH-000113,-0.4260090548311575
ACH-000116,-0.2661732480347013
ACH-000118,-0.6165115470232128
ACH-000120,-0.5585559511535219
ACH-000123,-0.3379763026567126
ACH-000127,-0.5924002110487677
ACH-000128,-0.4592493528643832
ACH-000132,-0.07091949372002694
ACH-000133,-0.17855689393690627
ACH-000137,-0.0604270251583801
ACH-000138,0.18838191126166365
ACH-000142,-0.33639788913327223
ACH-000143,-0.7742631312501923
ACH-000146,-0.31782339376762525
ACH-000148,-0.3889716073591067
ACH-000150,0.10748560247603188
ACH-000152,-0.08367777565560515
ACH-000153,-0.2833633448467161
ACH-000159,-0.11575370474520777
ACH-000160,-0.2094842977449322
ACH-000163,-0.7903872482880948
ACH-000167,0.23564079264830856
ACH-000168,-0.5344403379065107
ACH-000169,-0.5492199339651948
ACH-000178,-0.4420770741447833
ACH-000183,-0.7732558269749602
ACH-000188,-0.006987589457670711
ACH-000189,0.3851752196629412
ACH-000190,0.05133255871952909
ACH-000198,-0.4471262344329282
ACH-000203,-0.06865605204638346
ACH-000204,-0.2424206102423614
ACH-000206,-0.31871663558252944
ACH-000207,-0.4955373445836989
ACH-000208,-0.14255661594278646
ACH-000210,-0.049209042965599886
ACH-000211,0.04313478561211605
ACH-000215,0.11554361687572623
ACH-000221,-0.3326891153714433
ACH-000222,-0.31530348344495623
ACH-000223,-0.7673203825961044
ACH-000226,-0.2790112530381403
ACH-000227,-0.4598188872888872
ACH-000228,-0.4932138875568267
ACH-000231,0.2537716840569969
ACH-000232,-0.2960814960617372
ACH-000233,-0.4210722335487401
ACH-000234,0.11327731980048104
ACH-000235,-0.3054969436483841
ACH-000237,-0.033701546883075195
ACH-000238,-0.4622737527689521
ACH-000242,-0.3130881782765869
ACH-000243,-0.4245244301066123
ACH-000244,1.6942935728326307
ACH-000246,0.8797264821416386
ACH-000248,-0.5158432838782419
ACH-000250,0.015280091317218853
ACH-000251,-0.26172576415562
ACH-000252,-0.5691514959102816
ACH-000253,-0.7172603480727079
ACH-000255,-0.10874166590265948
ACH-000256,-0.2681918188302897
ACH-000257,-0.2671992521311312
ACH-000258,-0.9050822403014428
ACH-000259,-0.7543103796770986
ACH-000260,-0.4288608282884291
ACH-000261,-0.11924514310158367
ACH-000262,0.12915200877433294
ACH-000263,-0.6183244152641069
ACH-000264,-0.2378694564626729
ACH-000265,-0.15371343287667805
ACH-000266,0.03211355008712249
ACH-000272,-0.6018947460782618
ACH-000274,-0.027722136880709368
ACH-000277,-0.32623226577322284
ACH-000278,0.5966171011173275
ACH-000279,-0.07360414314137456
ACH-000280,0.21747139420488
ACH-000281,0.0794822752484429
ACH-000288,0.7963186281251026
ACH-000291,-0.725996987614588
ACH-000293,0.3371266528474236
ACH-000294,-0.11615344624444007
ACH-000295,-0.3797348535344132
ACH-000296,0.11229932410352254
ACH-000302,0.29644918767979345
ACH-000304,-0.8300253609337358
ACH-000307,-0.4100796408438828
ACH-000308,-0.3730325315882741
ACH-000310,-0.26064734383325866
ACH-000311,-0.3339604912695264
ACH-000312,-0.6107810347227927
ACH-000315,-0.7343397764921742
