,SPEM1 (374768)
ACH-000004,-0.14929182263212798
ACH-000005,-0.2774283016286456
ACH-000007,-0.054854016627339235
ACH-000009,-0.3893332764264358
ACH-000011,-0.15421358323730566
ACH-000012,-0.0957837660368546
ACH-000013,-0.08634298886534714
ACH-000014,-0.12706166321148804
ACH-000015,-0.17056005244510838
ACH-000017,-0.10957367272469426
ACH-000018,-0.3102108950269403
ACH-000019,-0.16984146307588713
ACH-000021,-0.07987258851950417
ACH-000022,0.011983875233315074
ACH-000025,-0.2007779187833526
ACH-000028,-0.21598230040009092
ACH-000030,-0.05503640886158248
ACH-000035,-0.17200650239462434
ACH-000036,-0.2386802066181012
ACH-000037,-0.1588467547939503
ACH-000039,-0.315082371292068
ACH-000040,-0.2094534602451012
ACH-000041,-0.2236798940028955
ACH-000042,-0.13654019129858644
ACH-000045,-0.3918337233571807
ACH-000047,-0.1994451853455791
ACH-000052,-0.07592295154709773
ACH-000053,-0.16446574313928294
ACH-000054,-0.10501590907151737
ACH-000055,0.07145421493675487
ACH-000060,-0.11122296709611652
ACH-000067,-0.14706165445651126
ACH-000070,-0.060139511631118026
ACH-000075,-0.07989161876540073
ACH-000078,-0.06409141937243275
ACH-000082,-0.12324024118388788
ACH-000085,-0.017671546113569414
ACH-000086,-0.08162892471336156
ACH-000087,-0.181229957021928
ACH-000092,-0.12541475631273127
ACH-000095,-0.15896066348003424
ACH-000097,-0.1686438622351302
ACH-000098,-0.30355302572874737
ACH-000099,-0.12976460410407265
ACH-000108,-0.159986503689186
ACH-000113,-0.2967466663265227
ACH-000116,-0.05958660144498639
ACH-000118,-0.14543767795153334
ACH-000120,-0.07933260658032014
ACH-000123,-0.15521267418031148
ACH-000127,-0.2202768460765511
ACH-000128,-0.012915411007853804
ACH-000132,-9.732632777986619e-05
ACH-000133,-0.2601888087069523
ACH-000137,-0.0166548783780597
ACH-000138,-0.2739395866806962
ACH-000142,-0.2842028342889553
ACH-000143,-0.14363724421952728
ACH-000146,-0.1590793817267816
ACH-000148,-0.14567058560286328
ACH-000150,-0.11844772163800413
ACH-000152,-0.13056035967521112
ACH-000153,-0.4854005019591584
ACH-000159,-0.0658262494757237
ACH-000160,-0.15187673262493984
ACH-000163,-0.21552907647463865
ACH-000167,-0.0894486123635728
ACH-000168,-0.15837384478377614
ACH-000169,-0.055859568243403386
ACH-000178,-0.21057727113447502
ACH-000183,-0.07511191804924787
ACH-000188,-0.16396689505639864
ACH-000189,0.04219539230876312
ACH-000190,-0.15571143283712324
ACH-000198,-0.2871152276307423
ACH-000203,-0.4257340888544134
ACH-000204,0.07436462663442234
ACH-000206,-0.13796060695191426
ACH-000207,-0.198483258845114
ACH-000208,-0.7082918073929431
ACH-000210,0.18072217171560864
ACH-000211,-0.10711243970109567
ACH-000215,-0.16619450555763318
ACH-000221,-0.19301246641581413
ACH-000222,-0.041820113120146524
ACH-000223,-0.12957103546106855
ACH-000226,-0.10389301987217407
ACH-000227,-0.22485095374595365
ACH-000228,-0.14118144635481708
ACH-000231,-0.1899224759892559
ACH-000232,-0.15051631042175742
ACH-000233,-0.14388096007870696
ACH-000234,-0.11873016601961794
ACH-000235,-0.1428894968384131
ACH-000237,-0.0897716873456053
ACH-000238,-0.4210769461165453
ACH-000242,0.0846822969290937
ACH-000243,-0.22012512453334648
ACH-000244,-0.1983712833394252
ACH-000246,-0.19399909933739887
ACH-000248,-0.13532294894131394
ACH-000250,-0.2711326841034429
ACH-000251,-0.03859392700729671
ACH-000252,-0.08229317995805728
ACH-000253,-0.03772365432252936
ACH-000255,-0.1852143219490324
ACH-000256,-0.2600683269987113
ACH-000257,-0.11579989248931252
ACH-000258,-0.05099033262191684
ACH-000259,-0.16124431159463196
ACH-000260,-0.13744516143049634
ACH-000261,-0.12709114273258135
ACH-000262,-0.14271517275161255
ACH-000263,-0.2447733954346105
ACH-000264,-0.08437607356456585
ACH-000265,-0.14732720473846053
ACH-000266,-0.1131726433414948
ACH-000272,-0.15818530750469004
ACH-000274,-0.2214597011985058
ACH-000277,-0.10535229536332276
ACH-000278,-0.26763003563470394
ACH-000279,-0.15849516090088886
ACH-000280,-0.2422552032639081
ACH-000281,-0.12479828044240522
ACH-000288,-0.3196411766051677
ACH-000291,0.01091696138465773
ACH-000293,-0.19020900563952306
ACH-000294,-0.23919192354130134
ACH-000295,-0.3505697873774676
ACH-000296,-0.3154445638445701
ACH-000302,-0.2432155358119403
ACH-000304,-0.12227983444270088
ACH-000307,0.04241542577687058
ACH-000308,-0.11225143115736223
ACH-000310,0.0454750790524407
ACH-000311,-0.23953371416523014
ACH-000312,-0.16593801201853622
ACH-000315,0.15264126850454382
ACH-000316,-0.21155536925229887
ACH-000317,0.10707997107505814
