,RAX2 (84839)
ACH-000004,-0.1010962500923613
ACH-000005,-0.22716403803010835
ACH-000007,-0.023498899046162945
ACH-000009,-0.20247503835407085
ACH-000011,-0.01848928018192121
ACH-000012,-0.12693253892700826
ACH-000013,-0.27052295005163546
ACH-000014,-0.1779886264025591
ACH-000015,-0.22689679003441354
ACH-000017,-0.1986847273773144
ACH-000018,-0.2997073510689064
ACH-000019,-0.16783877815634002
ACH-000021,-0.1390508447074742
ACH-000022,-0.07395204166246093
ACH-000025,-0.14971879138742528
ACH-000028,-0.4004121229530636
ACH-000030,-0.10818480741993472
ACH-000035,-0.21867698853924292
ACH-000036,-0.12296532633020366
ACH-000037,-0.20296008085331427
ACH-000039,-0.23361630676304315
ACH-000040,-0.07761242663740953
ACH-000041,-0.2180367775831573
ACH-000042,-0.14453804051811192
ACH-000045,-0.07181540433829839
ACH-000047,-0.20294820472842012
ACH-000052,-0.3924926126435216
ACH-000053,-0.10001867684286199
ACH-000054,-0.13160203488758568
ACH-000055,-0.3081023949686598
ACH-000060,-0.2623805985449396
ACH-000067,-0.14152742334153331
ACH-000070,-0.31977480426186256
ACH-000075,-0.1894974478203043
ACH-000078,-0.22541607742300546
ACH-000082,-0.3876048061474429
ACH-000085,-0.7128918468303543
ACH-000086,-0.2397118336595568
ACH-000087,-0.05229966142100356
ACH-000092,-0.1630776285921612
ACH-000095,-0.2388919664219581
ACH-000097,-0.28574539154431144
ACH-000098,-0.28362592199489145
ACH-000099,-0.21994888597075107
ACH-000108,-0.08337347304096901
ACH-000113,-0.08657770024760299
ACH-000116,-0.11957775747123672
ACH-000118,-0.1462911324403119
ACH-000120,-0.2397728040651061
ACH-000123,-0.11109396166246284
ACH-000127,-0.2879585724388242
ACH-000128,-0.2406016653806582
ACH-000132,-0.2831108040155262
ACH-000133,-0.2338072140662642
ACH-000137,-0.2993571601581343
ACH-000138,-0.1497619146281781
ACH-000142,-0.11032791876862312
ACH-000143,-0.17145279918853326
ACH-000146,-0.1477809196385414
ACH-000148,0.01309412818823729
ACH-000150,-0.22511371273587552
ACH-000152,-0.09304269630565476
ACH-000153,0.12233700387928614
ACH-000159,-0.1836429699167232
ACH-000160,-0.07130923542979213
ACH-000163,-0.4310690310620223
ACH-000167,0.15869121447163406
ACH-000168,-0.3182416108010577
ACH-000169,-0.1256024861216579
ACH-000178,-0.16853408355935318
ACH-000183,-0.15631886929699487
ACH-000188,-0.2398212390518326
ACH-000189,-0.4629109834134098
ACH-000190,-0.18402712586699327
ACH-000198,-0.06507300535942168
ACH-000203,-0.4105502003086159
ACH-000204,0.09561336685361843
ACH-000206,-0.5046521229622368
ACH-000207,-0.20680779537825086
ACH-000208,-0.06168604770332822
ACH-000210,0.2277823716330039
ACH-000211,-0.12133275166013575
ACH-000215,-0.1380788803016297
ACH-000221,-0.26096914699448204
ACH-000222,-0.21485938099058194
ACH-000223,-0.22110348478640124
ACH-000226,-0.053684590262886654
ACH-000227,-0.16795335754622007
ACH-000228,-0.3867591818917761
ACH-000231,-0.1668395618536449
ACH-000232,-0.2089845117242
ACH-000233,-0.06196480998769841
ACH-000234,-0.15410122100865914
ACH-000235,-0.21145504733931905
ACH-000237,-0.2516454485620381
ACH-000238,-0.04681245338748537
ACH-000242,0.12369938484672326
ACH-000243,-0.11078463090877876
ACH-000244,-0.25858951966202315
ACH-000246,-0.08027028932890902
ACH-000248,-0.2087258361910649
ACH-000250,-0.1856378328751087
ACH-000251,-0.06887510542195788
ACH-000252,-0.1671003285604469
ACH-000253,-0.12566901030020625
ACH-000255,-0.3322349007419529
ACH-000256,-0.07819610008326762
ACH-000257,-0.2622752336276349
ACH-000258,-0.17983970834104698
ACH-000259,-0.3058124199309942
ACH-000260,-0.31088653924945114
ACH-000261,-0.16894749008156787
ACH-000262,-0.26004621032185354
ACH-000263,-0.051993953599240327
ACH-000264,-0.24907001969398385
ACH-000265,-0.13347026051913258
ACH-000266,-0.2154800389578493
ACH-000272,-0.1028876274961596
ACH-000274,-0.200127460559554
ACH-000277,-0.21333059708510788
ACH-000278,-0.239538767069268
ACH-000279,-0.06331464670379865
ACH-000280,-0.33448366956798103
ACH-000281,-0.2559754564778075
ACH-000288,-0.09959730342762334
ACH-000291,0.035510007134450634
ACH-000293,-0.06309683919637618
ACH-000294,-0.002243054143618029
ACH-000295,-0.12784012404067369
ACH-000296,-0.15664100610054005
ACH-000302,-0.2154944903168099
ACH-000304,-0.25465659757067144
ACH-000307,-0.17832547325672546
ACH-000308,-0.25996862740277565
ACH-000310,-0.19401538881266686
ACH-000311,-0.08530695736053194
ACH-000312,-0.2657135771427369
ACH-000315,-0.2579990113952896
ACH-000316,-0.1908812163179412
ACH-000317,-0.1400442996667296
ACH-000318,-0.19540928400584415
ACH-000319,-0.18101992708838371
ACH-000320,-0.07570794772096004
ACH-000322,-0.14005274859011738
ACH-000323,-0.17647345147713778
ACH-000324,0.003914029689764661
ACH-000329,-0.049989773545890376
ACH-000330,-0.1561905303635051
ACH-000331,-0.16909776741038415
ACH-000332,-0.2310864010306495
ACH-000334,-0.19244140639600035
ACH-000335,-0.14452900802164664
ACH-000336,-0.21413980272067412
ACH-000337,-0.1394289689682596
ACH-000338,-0.4356716057272868
ACH-000339,-0.1827313671749656
ACH-000341,-0.2280183940736621
ACH-000348,-0.04027795863656156
ACH-000350,-0.2386773334370889
ACH-000352,-0.1378660613934334
ACH-000356,-0.12891663774031106
ACH-000361,-0.10787585107543196
ACH-000362,-0.33070079594208274
ACH-000363,-0.2368113888163836
ACH-000364,-0.2361592461008977
ACH-000365,-0.13736634832855962
ACH-000366,-0.3960857790465791
ACH-000368,-0.1697827554074533
ACH-000374,-0.08404518343285874
ACH-000375,-0.09036165928475297
ACH-000376,-0.031657993874854067
ACH-000381,-0.01020321428616853
ACH-000383,-0.2000140885172047
ACH-000387,-0.14485361043459724
ACH-000389,-0.0022311655979545585
ACH-000390,-0.16429862954048027
ACH-000393,-0.2389540214207956
ACH-000395,0.034556655874402334
ACH-000396,-0.02654774562928873
ACH-000397,-0.07405048635632791
ACH-000401,-0.3263636560082012
ACH-000402,0.0025301832878602336
ACH-000403,-0.09112268590239392
ACH-000404,-0.05764764424753949
ACH-000406,-0.056773519271342686
ACH-000407,-0.11705264358776395
ACH-000408,-0.27680399161186514
ACH-000410,-0.19429969156652746
ACH-000411,-0.1559462399825647
ACH-000414,-0.2941746702231048
ACH-000415,-0.12075944456692105
ACH-000416,-0.1962383203478653
ACH-000420,0.048615419634509716
ACH-000421,-0.17700341676308592
ACH-000424,-0.2590574910605136
ACH-000425,-0.15523173595076747
ACH-000426,-0.2686414205732479
ACH-000427,-0.2313190207508716
ACH-000433,-0.03460929447801809
ACH-000435,-0.2795737281880093
ACH-000436,-0.20798635906855087
ACH-000444,-0.12515411236014376
ACH-000445,-0.3174326335850747
ACH-000448,-0.21772711251539706
ACH-000450,-0.008772528832475632
ACH-000452,-0.27723520531099444
ACH-000454,-0.08200262570191474
ACH-000458,-0.204478634115397
ACH-000459,-0.1826313279819108
ACH-000460,-0.21002308398801733
ACH-000461,-0.06542322448125447
ACH-000463,-0.28276957678160425
ACH-000464,-0.19944703392481972
ACH-000466,-0.05460283566770096
ACH-000467,-0.2232667537057776
ACH-000468,-0.029312146486952864
ACH-000469,-0.11964214413668035
ACH-000470,-0.020036239407276432
ACH-000471,-0.18897659524075106
ACH-000472,-0.09425932075029544
ACH-000473,-0.35891352977290514
ACH-000475,-0.1110976455800478
ACH-000476,-0.18993799470298087
ACH-000477,-0.04836593801247791
ACH-000479,-0.29278820452598553
ACH-000480,-0.22769890653776706
ACH-000481,-0.14915277320384013
ACH-000483,-0.16390741438151865
ACH-000484,-0.13833941957159768
ACH-000485,-0.23888895311709105
ACH-000486,-0.14560275762360286
ACH-000487,-0.13389347507124386
ACH-000488,-0.0936364441525898
ACH-000490,-0.14229381963948168
ACH-000491,-0.10368705608634818
ACH-000495,-0.0890435129096844
ACH-000496,-0.13553869696428136
ACH-000499,-0.21946804331164865
ACH-000500,0.251849344067424
ACH-000502,-0.09634043657191332
