,TSTD1 (100131187)
ACH-000004,-0.1037681636916246
ACH-000005,-0.016988388095767845
ACH-000007,-0.044075679953813736
ACH-000009,-0.35201282559155683
ACH-000011,-0.1635303871453268
ACH-000012,-0.20925589560832134
ACH-000013,-0.06397945931194689
ACH-000014,0.009711911223250344
ACH-000015,-0.2409226471637379
ACH-000017,-0.16371228485310266
ACH-000018,-0.07447275873814949
ACH-000019,-0.05296986755634762
ACH-000021,-0.046189529190029485
ACH-000022,-0.12792866861008542
ACH-000025,-0.11298381226077475
ACH-000028,-0.0017048646064649884
ACH-000030,-0.1660399378258463
ACH-000035,-0.18626150117680929
ACH-000036,-0.06440558614713017
ACH-000037,0.003240449903766541
ACH-000039,-0.1457446477502433
ACH-000040,-0.1991389850625987
ACH-000041,-0.2578748352284382
ACH-000042,-0.07620581579809002
ACH-000045,-0.17701864708640072
ACH-000047,-0.23153803185417834
ACH-000052,-0.1528779509746701
ACH-000053,-0.15415021228886838
ACH-000054,-0.10780048915762956
ACH-000055,-0.15089408121979106
ACH-000060,-0.10830127162968436
ACH-000067,-0.1121176303855021
ACH-000070,-0.15216253464291493
ACH-000075,-0.0949687595160056
ACH-000078,-0.08619160103501225
ACH-000082,-0.19026265630885064
ACH-000085,-0.10428299643808163
ACH-000086,-0.18133903888138625
ACH-000087,0.017359286551415463
ACH-000092,-0.2439754803206841
ACH-000095,-0.18582245495270172
ACH-000097,-0.19498901320288947
ACH-000098,-0.2486847511829246
ACH-000099,-0.08079852308796306
ACH-000108,-0.039792075501251065
ACH-000113,-0.14894693642241585
ACH-000116,-0.04527251097974075
ACH-000118,-0.13559857682511645
ACH-000120,-0.2703874537335752
ACH-000123,-0.14972794728649208
ACH-000127,-0.13397993587245116
ACH-000128,-0.2350493368357793
ACH-000132,-0.0657521064635584
ACH-000133,-0.20492530213456356
ACH-000137,-0.018137698254971118
ACH-000138,-0.1076029034257242
ACH-000142,-0.1402296927678086
ACH-000143,-0.15048234398409324
ACH-000146,-0.136529867991772
ACH-000148,-0.11306488773345567
ACH-000150,-0.04687026053157922
ACH-000152,0.03174938114778365
ACH-000153,-0.3507021274657076
ACH-000159,-0.19129012432738415
ACH-000160,-0.1518168020216839
ACH-000163,-0.044073942187727484
ACH-000167,0.010503823747548088
ACH-000168,0.06372510448879277
ACH-000169,-0.09316656800305552
ACH-000178,-0.11234090736377787
