,COPB1 (1315)
ACH-000004,-1.5880176678700233
ACH-000005,-1.7885784604705075
ACH-000007,-1.562518359951123
ACH-000009,-1.467021141188296
ACH-000011,-1.3187612648407705
ACH-000012,-1.3857366060390763
ACH-000013,-1.2164009851753097
ACH-000014,-1.1564383350792735
ACH-000015,-1.3653487235966373
ACH-000017,-1.401315446012687
ACH-000018,-1.4466286950711909
ACH-000019,-1.6474628660514543
ACH-000021,-1.4344524441934745
ACH-000022,-1.4610347053474122
ACH-000025,-1.609402427533804
ACH-000028,-1.272378704574474
ACH-000030,-1.4576021128758043
ACH-000035,-1.4537386279133382
ACH-000036,-1.3558342035395188
ACH-000037,-1.5326313403953842
ACH-000039,-1.4418068681953369
ACH-000040,-1.4897503738689442
ACH-000041,-1.4938746601010282
ACH-000042,-1.0013776400123204
ACH-000045,-1.4142411657204301
ACH-000047,-1.4121948634285213
ACH-000052,-1.1556688027920134
ACH-000053,-1.3704123001794668
ACH-000054,-1.4381533627520562
ACH-000055,-1.4567046772472927
ACH-000060,-1.3530870566417537
ACH-000067,-1.1962688864104956
ACH-000070,-1.3535137969983984
ACH-000075,-1.4323371032040288
ACH-000078,-1.4822111323412883
ACH-000082,-1.4821504738989681
ACH-000085,-1.5301282579419766
ACH-000086,-1.3584898798275458
ACH-000087,-1.6433849758655508
ACH-000092,-1.090931132912669
ACH-000095,-1.388893332201463
ACH-000097,-1.465544429595395
ACH-000098,-1.2542469517744168
ACH-000099,-1.5735758621272151
ACH-000108,-1.4596928457414842
ACH-000113,-1.4144537550178298
ACH-000116,-1.6001920580526472
ACH-000118,-1.1835036338898564
ACH-000120,-1.4074369852666213
ACH-000123,-1.331612895237237
ACH-000127,-1.4348762585608927
ACH-000128,-1.446002285180218
ACH-000132,-1.221033722489294
ACH-000133,-1.3714136332601499
ACH-000137,-1.3592719973470586
ACH-000138,-1.4838612803638604
ACH-000142,-1.2741662452539264
ACH-000143,-1.335183385511194
ACH-000146,-1.4452127552802692
ACH-000148,-1.5426156076926756
ACH-000150,-1.2173802488684025
ACH-000152,-1.1501382101710445
ACH-000153,-1.5435403450016338
