,PES1 (23481)
ACH-000004,-0.9868329448775028
ACH-000005,-1.117098397828697
ACH-000007,-0.7961220248450899
ACH-000009,-0.8730554852607024
ACH-000011,-0.5865645179067897
ACH-000012,-0.8187628512281379
ACH-000013,-0.7887090213289619
ACH-000014,-0.7344510105327686
ACH-000015,-0.9233173158237148
ACH-000017,-0.9358216036400598
ACH-000018,-0.6279142107919218
ACH-000019,-0.7626669885422772
ACH-000021,-0.76777125962041
ACH-000022,-0.8269385854363571
ACH-000025,-1.1439200568589902
ACH-000028,-0.8455582518486767
ACH-000030,-0.8508918639264896
ACH-000035,-0.7532942458808245
ACH-000036,-0.6956759484127956
ACH-000037,-0.8329687432031038
ACH-000039,-0.845768822851277
ACH-000040,-0.8668262284997477
ACH-000041,-0.6495319623319412
ACH-000042,-0.4693178857077991
ACH-000045,-0.5676923128963536
ACH-000047,-0.9620611398803322
ACH-000052,-0.7523859862322647
ACH-000053,-0.8256454470031424
ACH-000054,-0.8047905922486813
ACH-000055,-0.6912788665536048
ACH-000060,-1.0398883961477454
ACH-000067,-0.8630155556361762
ACH-000070,-0.910608015736244
ACH-000075,-0.9606806752210107
ACH-000078,-0.7609476517050244
ACH-000082,-0.7635833028892446
ACH-000085,-0.6116898202381785
ACH-000086,-0.9561933946291676
ACH-000087,-0.7381136280537869
ACH-000092,-0.9070959076329764
ACH-000095,-0.8310040809937929
ACH-000097,-0.5739246501193926
ACH-000098,-0.993863466325278
ACH-000099,-0.7899256232130303
ACH-000108,-0.7422660569543281
ACH-000113,-0.7525282306230701
ACH-000116,-0.7348094225337032
ACH-000118,-0.7992172914693041
ACH-000120,-0.6137301738856785
ACH-000123,-0.8646675433793044
ACH-000127,-0.7336251466831244
ACH-000128,-0.9140437964113438
ACH-000132,-0.9819859480597896
ACH-000133,-0.9072711321330348
ACH-000137,-0.8334842458625974
ACH-000138,-0.6087520108843779
ACH-000142,-0.8105011583879613
ACH-000143,-0.9172861885534423
ACH-000146,-0.6369211839661176
ACH-000148,-0.738822928044246
ACH-000150,-0.8247122447261238
ACH-000152,-0.8656547579229208
ACH-000153,-0.9331762936836882
ACH-000159,-0.8879724655002071
ACH-000160,-1.040033954776589
ACH-000163,-0.6770150319372265
ACH-000167,-0.5287792285996646
ACH-000168,-0.674270486706713
ACH-000169,-0.7190068833401959
ACH-000178,-0.6533830105199716
ACH-000183,-0.8430756994867054
ACH-000188,-0.7383269919622869
