,WBSCR16 (81554)
ACH-000004,-0.5206602277239819
ACH-000005,-0.17463306306842696
ACH-000007,-0.5422408083678192
ACH-000009,-0.555058758560168
ACH-000011,-0.5306049092735456
ACH-000012,-0.7226775261729549
ACH-000013,-0.6265130198651404
ACH-000014,-0.4888590344908373
ACH-000015,-0.4887398519078463
ACH-000017,-0.3472048036904912
ACH-000018,-0.9397434071729162
ACH-000019,-0.7325367964676283
ACH-000021,-0.7952936797564748
ACH-000022,-0.4893115399765418
ACH-000025,-0.6302401031070229
ACH-000028,-0.6428154135463984
ACH-000030,-0.4108860925768285
ACH-000035,-0.808711316992034
ACH-000036,-0.4002105548624785
ACH-000037,-0.5258608661188048
ACH-000039,-0.6594367142574614
ACH-000040,-0.5708683356727173
ACH-000041,-0.3728294577693466
ACH-000042,-0.5220844827571715
ACH-000045,-0.4110211194336563
ACH-000047,-0.4632630956965609
ACH-000052,-0.5010970590639545
ACH-000053,-0.4685598596966167
ACH-000054,-0.5058238492698943
ACH-000055,-0.4735128740922878
ACH-000060,-0.6069174949128259
ACH-000067,-0.7277073802597107
ACH-000070,-0.5972631737196737
ACH-000075,-0.5215955417917177
ACH-000078,-0.3782808891730767
ACH-000082,-0.3573946295176613
ACH-000085,-0.7724190554895216
ACH-000086,-0.3933584964307189
ACH-000087,-0.5355596823792226
ACH-000092,-0.5106169398997255
ACH-000095,-0.3509043159240277
ACH-000097,-0.5564200009542286
ACH-000098,-0.6170287747073595
ACH-000099,-0.5362609073385552
ACH-000108,-0.2839432863321903
ACH-000113,-0.61253976454257
ACH-000116,-0.490042230197332
ACH-000118,-0.7556112128259574
ACH-000120,-0.3842755874278648
ACH-000123,-0.595391212529037
ACH-000127,-0.7293377243471311
ACH-000128,-0.8642685298717516
ACH-000132,-0.5532873995982321
ACH-000133,-0.5958462255437111
ACH-000137,-0.5569937119305409
ACH-000138,-0.5360350494624069
ACH-000142,-0.5195584867356225
ACH-000143,-0.5310430871400097
ACH-000146,-0.5093686303099731
ACH-000148,-0.6074790050040779
ACH-000150,-0.49201349630086794
ACH-000152,-0.4061553403813458
ACH-000153,-0.5644591007672792
ACH-000159,-0.5956587637591437
ACH-000160,-0.6739792495008984
ACH-000163,-0.5249918813634038
ACH-000167,-0.6436115736183882
ACH-000168,-0.5238499965112235
ACH-000169,-0.5544453429241544
ACH-000178,-0.457884821031475
ACH-000183,-0.4685385485130508
ACH-000188,-0.6704779223810056
ACH-000189,-0.8912736097398009
ACH-000190,-0.7992546689913784
ACH-000198,-0.2309228994853156
ACH-000203,-0.2696204993677145
ACH-000204,-0.4403159372461819
ACH-000206,-0.4531172796348613
ACH-000207,-0.6316137321755059
ACH-000208,-0.4979827656077223
ACH-000210,-0.6540381362812507
ACH-000211,-0.526202754103838
ACH-000215,-0.44584514546183984
ACH-000221,-0.9484334951717632
ACH-000222,-0.4924261426681513
ACH-000223,-0.5910520520210392
ACH-000226,-0.5189825665379263
ACH-000227,-0.5332179218560485
ACH-000228,-0.5441931164720599
ACH-000231,-0.5123247156823318
ACH-000232,-0.6472710804202261
ACH-000233,-0.41961200274891375
ACH-000234,-0.4866543244618183
ACH-000235,-0.5098166883473044
ACH-000237,-0.4321638382178253
ACH-000238,-0.4770751549920466
ACH-000242,-0.3507323155926547
ACH-000243,-0.4318516613160042
ACH-000244,-0.7316171468376742
ACH-000246,-0.4714082335395294
ACH-000248,-0.5694506914316065
ACH-000250,-0.2796419358249754
ACH-000251,-0.4689014536256251
ACH-000252,-0.4725080925519901
ACH-000253,-0.40793905083614745
ACH-000255,-0.5595389119644902
ACH-000256,-0.38537518722136416
ACH-000257,-0.8185774741343683
ACH-000258,-0.719835061635287
ACH-000259,-0.4807332256676229
ACH-000260,-0.4167569318851436
ACH-000261,-0.5536797779350726
ACH-000262,-0.8355759804169101
ACH-000263,-0.429937860856011
ACH-000264,-0.6306257432039603
ACH-000265,-0.5528751039671559
ACH-000266,-0.42010621454028496
ACH-000272,-0.5808718917903646
ACH-000274,-0.3908668616160055
ACH-000277,-0.4834256425644534
ACH-000278,-0.5063863258360788
ACH-000279,-0.7862283996884208
ACH-000280,-0.5289749801197438
