,GAS8 (2622)
ACH-000163,-0.023503465389282833
ACH-000167,0.5101172406518449
ACH-000168,-0.16624448637180714
ACH-000169,-0.07923659848664838
ACH-000178,-0.059004621186929423
ACH-000183,-0.060728432836429425
ACH-000188,0.13461390317139998
ACH-000189,0.08053736902512598
ACH-000190,-0.02231787516827909
ACH-000198,0.1332273132106581
ACH-000203,-0.6338177311571078
ACH-000204,-0.0859782678430374
ACH-000206,0.1484514461587974
ACH-000207,0.12197501505683465
ACH-000208,0.09878029182189704
ACH-000210,-0.3267602327355233
ACH-000211,0.02076985123912421
ACH-000215,0.037549903013494236
ACH-000221,-0.15223697243821635
ACH-000222,-0.2074874798587592
ACH-000223,-0.05143393068533148
ACH-000226,0.06971448957742575
ACH-000227,-0.03325368019097104
ACH-000228,-0.008443363092585658
ACH-000231,0.0049246765243367175
ACH-000232,0.0072367179124286345
ACH-000233,0.014187620866333366
ACH-000234,-0.020343098144073517
ACH-000235,0.020170672473897804
ACH-000237,-0.06073906856838021
ACH-000238,-0.05544689164148366
ACH-000242,-0.05346814730540414
ACH-000243,0.01973329389783092
ACH-000244,0.09256258172325336
ACH-000246,-0.06724670342707781
ACH-000248,0.01491079232893066
ACH-000250,-0.13295929380900035
ACH-000251,0.04049430319593583
ACH-000252,-0.17156987099557192
ACH-000253,0.05508611352200113
ACH-000255,-0.010618747096115877
ACH-000256,-0.05463101067612816
ACH-000257,-0.16011097903123422
ACH-000258,-0.026643461531383063
ACH-000259,-0.054842636166828385
ACH-000260,-0.015475549328131713
ACH-000261,0.10641337379718642
ACH-000262,0.09526520521841626
ACH-000263,-0.09026347633532336
ACH-000264,-0.06762977338312615
ACH-000265,0.06290259192652467
ACH-000266,-0.009548221240792056
ACH-000272,-0.028752332152124974
ACH-000274,0.03687485418972118
ACH-000277,0.05935683148914536
ACH-000278,-0.2259283520348429
ACH-000279,-0.018870799261232488
ACH-000280,-0.25850223933822264
ACH-000281,-0.1338416448142677
ACH-000288,-0.08717140687160478
ACH-000291,0.07063042696548771
ACH-000293,-0.021370088012076915
ACH-000294,0.0018460354562682987
ACH-000295,0.031086890030233686
ACH-000296,0.15446014721888413
ACH-000302,0.12160397261201188
ACH-000304,-0.07915739184478672
ACH-000307,-0.06631120595992518
ACH-000308,-0.008899852170646372
ACH-000310,-0.027036557149017558
ACH-000311,-0.009828522571711596
ACH-000312,-0.08480576407170033
ACH-000315,0.09034466100786837
ACH-000316,-0.13310870318000229
ACH-000317,0.15294093871798692
ACH-000318,0.06710592420065703
ACH-000319,0.004140163142587232
ACH-000320,-0.03682516178658584
ACH-000322,-0.16612755371426868
ACH-000323,0.023993818368889298
ACH-000324,-0.13543032389734427
ACH-000329,-0.07075033432230776
ACH-000330,0.043620629004832635
ACH-000331,0.16514056894769466
ACH-000332,0.07490947255584529
ACH-000334,0.09852349391509507
ACH-000335,-0.1665045499681203
ACH-000336,-0.12311314181880467
ACH-000337,-0.2758263408335984
ACH-000338,-0.14607259464630934
ACH-000339,0.03541973158452453
ACH-000341,0.12837510823592446
ACH-000348,-0.014883825567251626
ACH-000350,-0.08568335092373486
ACH-000352,0.03360802168516861
ACH-000356,0.024232534910705854
ACH-000361,-0.03481008682287975
ACH-000362,-0.012736962863622685
ACH-000363,-0.01347918872699685
ACH-000364,-0.05429383658582339
ACH-000365,-0.1017021696028298
ACH-000366,-0.07006194588361897
ACH-000368,-0.13648280103666696
ACH-000374,0.08106852874888681
ACH-000375,-0.1375655985961708
ACH-000376,0.0283535296051486
ACH-000381,-0.02211440104297422
ACH-000383,0.00991504520243721
ACH-000387,-0.07663941711507795
ACH-000389,-0.2538336150601094
ACH-000390,-0.0044402503113280785
ACH-000393,-0.10091123719710507
ACH-000395,-0.0804813913117216
ACH-000396,-0.2688535726145301
ACH-000397,0.02353604642511156
ACH-000401,-0.0420242154836043
ACH-000402,-0.07966514293625078
ACH-000403,0.01723195710087574
ACH-000404,-0.18901526917523068
ACH-000406,-0.01621644114228529
ACH-000407,0.004696188173061379
ACH-000408,-0.002115582341530245
ACH-000410,0.0854141917845722
ACH-000411,-0.0005886694717378491
ACH-000414,-0.11011473051066577
ACH-000415,0.07585117865123711
ACH-000416,0.02410467708620061
ACH-000420,-0.20075817150881695
ACH-000421,-0.026287050680955173
ACH-000424,0.1287826617380669
ACH-000425,0.01122844113857018
ACH-000426,0.18606655394244467
ACH-000427,-0.08135471427405762
ACH-000433,0.14497798747702792
ACH-000435,0.01799399672074055
ACH-000436,-0.090222665222116
ACH-000444,-0.04665052833042704
ACH-000445,-0.014542156348771516
ACH-000448,-0.06516123864590499
ACH-000450,-0.03249731525896053
ACH-000452,-0.026486639483710137
ACH-000454,-0.1449795811355171
ACH-000458,-0.026029408110383737
ACH-000459,-0.004061332086698714
ACH-000460,0.060827299713941074
ACH-000461,-0.06326065185349009
ACH-000463,-0.2451064827976685
ACH-000464,-0.062033948259090935
ACH-000466,0.029303464641241225
ACH-000467,-0.10372683335151996
ACH-000468,-0.09657933546948952
ACH-000469,-0.22752474453594035
ACH-000470,-0.007375238462290828
ACH-000471,-0.008021945694471415
ACH-000472,-0.07613259449127333
ACH-000473,-0.04502449635817638
ACH-000475,-0.04875256035457349
ACH-000476,0.009711814151802264
ACH-000477,-0.07196298502520923
ACH-000479,-0.034106281126435545
ACH-000480,-0.01697175531622428
ACH-000481,-0.08357387806517726
ACH-000483,0.15287484715263822
ACH-000484,-0.02969971877967037
ACH-000485,-0.09761927744475464
ACH-000486,-0.0434250692544501
ACH-000487,-0.08206880365329551
ACH-000488,0.0028762612867797932
ACH-000490,0.003463846274088359
ACH-000491,0.01598845851597606
ACH-000495,-0.053098206488005166
ACH-000496,-0.10197324620397936
ACH-000499,-0.16501721910347286
ACH-000500,0.21222567490745534
ACH-000502,-0.16377754026073826
ACH-000503,0.030592188877226617
ACH-000505,-0.08801499859152544
ACH-000507,0.1353974948852359
ACH-000510,-0.0442549953409308
ACH-000511,-0.09650291938658932
ACH-000512,0.2341136728138412
ACH-000516,-0.04581598454596802
ACH-000517,-0.037533053026701485
ACH-000518,0.08337987226354886
ACH-000520,-0.07937056188181396
ACH-000521,-0.06805322310949921
ACH-000522,0.05277883746222392
ACH-000524,-0.051882503663765615
ACH-000527,-0.15588216544681166
ACH-000528,0.031116274535726542
ACH-000537,-0.014496450903796209
ACH-000541,-0.15686517905809744
ACH-000542,-0.02746806155594083
ACH-000544,-0.0539203813908968
ACH-000545,-0.04297176509187285
ACH-000547,-0.10851938660671012
ACH-000548,0.06301591808957513
ACH-000549,0.01459880574311473
ACH-000550,-0.0028395572609677287
ACH-000552,0.07996857556437291
ACH-000556,-0.15020514808648364
ACH-000557,-0.10342578679302314
ACH-000569,-0.019493221717356884
ACH-000570,-0.07077998947508216
ACH-000571,-0.08481689059390482
ACH-000573,-0.01109984249553764
ACH-000576,-0.10856373906679824
ACH-000579,0.008141819947750385
ACH-000580,0.033118324761534056
ACH-000584,-0.10743614968376897
ACH-000585,-0.019495225280879276
ACH-000588,0.14379709942895186
ACH-000589,-0.02051395318277412
ACH-000591,-0.13944616099878324
ACH-000593,0.0227630748752931
ACH-000600,-0.04147031964624707
ACH-000601,-0.14137706358556673
ACH-000605,0.017593846360770056
ACH-000606,0.06614709413873797
ACH-000608,-0.0713754256784105
ACH-000614,0.027286678712424368
ACH-000616,-0.05179515685547457
ACH-000618,-0.04544723203301185
ACH-000619,-0.01891673181232141
ACH-000620,0.033121177091527905
ACH-000621,-0.09443939771616544
ACH-000622,0.08162842022049592
ACH-000623,-0.040648330307274716
ACH-000624,0.026034651666501846
ACH-000627,-0.07335349635732634
ACH-000630,-0.003054089034281704
ACH-000631,-0.0069455434261045095
ACH-000632,-0.0775969137278814
ACH-000633,-0.09336419382647708
ACH-000637,-0.12804688638999198
ACH-000638,0.11951914112344993
ACH-000646,-0.11966249349392502
ACH-000647,0.07677539450884216
ACH-000648,-0.06028357889521371
ACH-000649,0.03199377111385891
ACH-000651,0.09781422776120853
ACH-000652,-0.02883670727511684
ACH-000653,0.07480191077708784
ACH-000657,-0.08454072916708708
ACH-000658,-0.005795075349574077
ACH-000661,0.038404603700172006
ACH-000662,0.0459808667600968
ACH-000663,-0.06524213261167497
ACH-000665,0.02714730383117217
ACH-000671,-0.008025764798545375
ACH-000672,-0.05321941127222386
ACH-000673,0.07046408042183425
ACH-000676,-0.008277417233676627
ACH-000677,-0.025298872200342833
ACH-000681,-0.09788450977966562
ACH-000683,-0.17401336510284462
ACH-000684,-0.20068265793871085
ACH-000688,0.00751668838356127
ACH-000693,0.015131978145090312
ACH-000694,0.03343281396161684
ACH-000695,0.18484703264953134
ACH-000696,0.04356580165551455
ACH-000697,0.16268241664008046
ACH-000699,-0.07980626511375483
ACH-000701,0.024253583812898463
ACH-000706,-0.06500042356164183
ACH-000711,0.034480518790680134
ACH-000713,0.15388447623978227
ACH-000714,-0.0920391499465403
ACH-000718,-0.04770641766602063
ACH-000720,-0.03326828755061797
ACH-000721,-0.09510779590652974
ACH-000724,0.06989402212144873
ACH-000725,0.0038257245769139033
ACH-000732,0.14100815345308906
ACH-000734,-0.10491510368505534
ACH-000735,-0.013656423761364285
ACH-000736,0.1229141103559589
ACH-000738,-0.009805888074385871
ACH-000746,0.04970140779740759
ACH-000747,-0.019420291709459924
ACH-000748,0.0020922466717916825
ACH-000753,-0.04711661818335516
ACH-000756,-0.01540771633749791
ACH-000757,0.10020266427322504
ACH-000758,-0.08196194105586363
ACH-000760,0.030475885665502432
ACH-000762,0.0055866888305866474
ACH-000763,0.028438548944318263
ACH-000764,-0.06348030330438552
ACH-000765,0.10242211741499996
ACH-000766,-0.021646254805198425
ACH-000767,-0.07180946946458099
ACH-000768,0.10439843834653324
ACH-000769,-0.08843665985135807
ACH-000770,-0.05399424423781734
ACH-000771,0.07263731408925175
ACH-000773,-0.21792879239461516
ACH-000776,0.04821389609442491
ACH-000777,-0.05188173373525369
ACH-000778,-0.004319811364642153
ACH-000781,-0.017418802647882474
ACH-000782,-0.14097954967671436
ACH-000783,-0.08187118076634181
ACH-000784,-0.08718644831093612
ACH-000785,0.029220185985220932
ACH-000787,0.053746916928202784
ACH-000788,0.014216221868536143
ACH-000791,-0.020249427257305847
ACH-000792,0.052405393233619785
ACH-000794,0.036640521835123896
ACH-000796,-0.08220311033828145
ACH-000798,-0.12768664174743324
ACH-000799,0.12849139224298864
ACH-000800,-0.02766471113402456
ACH-000802,-0.018787367228076324
ACH-000804,0.1510991531662262
ACH-000805,0.04853456229750863
ACH-000809,-0.024047106299826038
ACH-000810,0.20818075063068509
ACH-000811,-0.07393621273238496
ACH-000817,0.03836211429995626
ACH-000819,-0.1141410607918716
ACH-000820,-0.0391041274765525
ACH-000821,-0.03089008568871861
ACH-000822,0.04610747764888326
