,RERGL (79785)
ACH-000004,-0.041732006808982584
ACH-000005,0.204485357099985
ACH-000007,0.2143247375044815
ACH-000009,0.0600696551700684
ACH-000011,0.004567449150961927
ACH-000012,0.08439521716379936
ACH-000013,0.07436786378865419
ACH-000014,0.13102312059096474
ACH-000015,0.2015895674764481
ACH-000017,0.15132160020431534
ACH-000018,0.00019216640637512608
ACH-000019,0.3642550986209697
ACH-000021,0.1250822320324668
ACH-000022,0.1936429786173588
ACH-000025,-0.029078168445058162
ACH-000028,0.1901656168065295
ACH-000030,0.08419570102819572
ACH-000035,0.23016628131102576
ACH-000036,0.3151206795507073
ACH-000037,0.18874045175884294
ACH-000039,0.15293613926685493
ACH-000040,0.20835157953839165
ACH-000041,0.06478546593659633
ACH-000042,0.1007257642181454
ACH-000045,0.0651032677598908
ACH-000047,0.13405817717235538
ACH-000052,0.15817310900232626
ACH-000053,0.08130892506231406
ACH-000054,0.09485438970586693
ACH-000055,0.1146877537250908
ACH-000060,0.166540415846251
ACH-000067,0.11289215796375948
ACH-000070,0.2525225035001515
ACH-000075,0.09421178142402603
ACH-000078,0.2465054637887813
ACH-000082,0.04754290669456381
ACH-000085,-0.1821962751638292
ACH-000086,0.07541002928089356
ACH-000087,-0.0958457859049599
ACH-000092,0.20728676261261034
ACH-000095,0.06751955807960593
ACH-000097,0.16749350712847458
ACH-000098,0.20788354343119375
ACH-000099,0.12595154990987315
ACH-000108,0.18997389823322214
ACH-000113,0.10005296777954348
ACH-000116,0.15221056279079212
ACH-000118,0.18721780691853848
ACH-000120,0.14165499057694556
ACH-000123,-0.00709925647560597
ACH-000127,0.0908883625942294
ACH-000128,0.10376109802508963
ACH-000132,0.1374468002023749
ACH-000133,0.1284374623942477
ACH-000137,0.16752323692972318
ACH-000138,0.2023336220804587
ACH-000142,0.20181711933357446
ACH-000143,0.1808631893738832
ACH-000146,0.20170957472946674
ACH-000148,0.20300406921497216
ACH-000150,0.15081735021571138
ACH-000152,0.14628707565609864
ACH-000153,0.1917190242375492
ACH-000159,0.13938319952122427
ACH-000160,0.01789178210866146
ACH-000163,0.07740956191202306
ACH-000167,0.16962249594187442
ACH-000168,0.12981158700394055
ACH-000169,0.12939585488914934
ACH-000178,0.08790247274780365
ACH-000183,0.21931474388359928
ACH-000188,0.1015979891748509
ACH-000189,0.031066299262045183
ACH-000190,0.3091150126965232
ACH-000198,0.018588751433201742
ACH-000203,-0.054432410433632665
ACH-000204,0.2187636352412722
ACH-000206,0.23235717669489395
ACH-000207,0.15943556491161445
ACH-000208,0.11734546403491493
ACH-000210,0.2304333400119711
ACH-000211,0.06272792851540915
ACH-000215,0.15176361664863006
ACH-000221,0.011488155313522644
ACH-000222,0.27320300803162684
