,S100A7A (338324)
ACH-000004,-0.09134809375065717
ACH-000005,-0.2360704994160478
ACH-000007,0.11440741721159957
ACH-000009,-0.18424683991262544
ACH-000011,0.01578421352887851
ACH-000012,-0.24727244417832744
ACH-000013,-0.07867807278715723
ACH-000014,-0.1044933776761619
ACH-000015,-0.11575548406534203
ACH-000017,-0.10599574359501893
ACH-000018,-0.1697155337961327
ACH-000019,-0.027376336959872363
ACH-000021,-0.09753189199764388
ACH-000022,-0.25584954073482696
ACH-000025,-0.1490529248882883
ACH-000028,-0.11962711679734105
ACH-000030,-0.0879288668985323
ACH-000035,-0.04752907054606646
ACH-000036,-0.1832362690611737
ACH-000037,0.033550328508407466
ACH-000039,0.03415170460963938
ACH-000040,-0.13096027312269548
ACH-000041,0.02786305260204629
ACH-000042,-0.0597966691217767
ACH-000045,-0.047771205770153466
ACH-000047,-0.07640040428354039
ACH-000052,-0.2672920435624995
ACH-000053,-0.014882707910478302
ACH-000054,0.02816175945410258
ACH-000055,-0.12488467356688927
ACH-000060,-0.10568067518239398
ACH-000067,-0.10565864303119203
ACH-000070,0.001750646958635022
ACH-000075,0.0754068750804736
ACH-000078,-0.070935294004067
ACH-000082,-0.08220637690745174
ACH-000085,-0.09767570666878048
ACH-000086,-0.07215903728174272
ACH-000087,-0.0036455849234886726
ACH-000092,-0.09766796785957332
ACH-000095,-0.11119127852350112
ACH-000097,-0.17099891335407705
ACH-000098,-0.12078298410430813
ACH-000099,-0.0374776963308747
ACH-000108,-0.10288217658133067
ACH-000113,-0.1099919858063593
ACH-000116,-0.06953446231011398
ACH-000118,-0.0879979693545938
ACH-000120,-0.13727395780618268
ACH-000123,-0.12235253361128805
ACH-000127,-0.036519203869451525
ACH-000128,-0.015161491183217612
ACH-000132,0.052236168308399514
ACH-000133,-0.15295043564995925
ACH-000137,-0.030530058888366064
ACH-000138,-0.08629184789523865
ACH-000142,-0.2552955373529379
ACH-000143,-0.18733013474435034
ACH-000146,-0.13078014518177636
ACH-000148,-0.16958200572532656
ACH-000150,-0.0998453612127584
ACH-000152,0.030231963311057212
ACH-000153,0.0536094534520928
ACH-000159,-0.1211160473745486
ACH-000160,0.05841809076079778
ACH-000163,-0.2651362223372677
ACH-000167,-0.06683823035979357
ACH-000168,-0.0614969444262332
ACH-000169,-0.022776747566450973
ACH-000178,-0.035784387586958746
ACH-000183,-0.1709521928785937
ACH-000188,-0.16379509046775315
ACH-000189,0.020608704962370092
ACH-000190,-0.12395717611848316
ACH-000198,-0.06897871656298392
ACH-000203,0.402822146267708
ACH-000204,-0.4737864990396712
ACH-000206,-0.01938337544129966
ACH-000207,-0.1559933929003681
ACH-000208,-0.2937576598420893
ACH-000210,-0.14594825706239728
ACH-000211,-0.11835721263661016
ACH-000215,-0.16086940735751293
ACH-000221,-0.013809421801340135
ACH-000222,-0.13298113321351832
ACH-000223,-0.03425042109692486
ACH-000226,-0.17830786814906086
ACH-000227,0.0783321113996178
ACH-000228,-0.13941913193697886
ACH-000231,-0.051167887184875686
ACH-000232,-0.033886297771056575
ACH-000233,-0.12919908981774111
ACH-000234,0.0
ACH-000235,-0.13417712705065926
ACH-000237,-0.08873514142273964
ACH-000238,-0.053437244569772564
ACH-000242,0.011348195266026472
ACH-000243,-0.09301182892447656
ACH-000244,-0.03130150250571532
ACH-000246,-0.09606715334274124
ACH-000248,-0.04328287332540733
ACH-000250,-0.1430141603149938
ACH-000251,-0.25474677420578506
ACH-000252,-0.28094196168589325
ACH-000253,-0.1394916704275805
ACH-000255,-0.06041351728649112
ACH-000256,-0.1634281747423643
ACH-000257,0.04549554495621967
ACH-000258,-0.313633066249962
ACH-000259,-0.12618584052772214
ACH-000260,-0.062468877433614914
ACH-000261,-0.03534389796928264
ACH-000262,-0.14277683902698138
ACH-000263,0.036478926500714486
ACH-000264,-0.1560101445020791
ACH-000265,-0.05149852790755585
ACH-000266,-0.14685574109615807
ACH-000272,-0.2376853272433185
ACH-000274,0.006547190580949042
ACH-000277,0.0426309791768142
ACH-000278,-0.0224725842783982
ACH-000279,0.06365804955789453
ACH-000280,-0.0811583004399825
ACH-000281,-0.14657766100055578
ACH-000288,-0.1429491094809316
ACH-000291,-0.06716789534516165
ACH-000293,-0.19544999790390916
ACH-000294,-0.12631130927674705
ACH-000295,0.028218914352901456
ACH-000296,0.035213251729116955
ACH-000302,-0.07553474761627213
ACH-000304,-0.05081748300547387
ACH-000307,-0.05200915804330117
ACH-000308,-0.1081955487490004
ACH-000310,-0.0027789407527410944
ACH-000311,0.06147797029423537
ACH-000312,-0.10471752099233657
ACH-000315,-0.21265467237022506
ACH-000316,-0.035648436266788944
ACH-000317,-0.05828817799089137
ACH-000318,-0.10242264499434296
ACH-000319,-0.08027287024469243
ACH-000320,-0.033722561154352994
ACH-000322,-0.123684310740311
ACH-000323,-0.23271665510127745
ACH-000324,-0.07475637368396072
ACH-000329,-0.1045534682815309
ACH-000330,-0.11236305563545136
ACH-000331,-0.07172220871467339
ACH-000332,-0.1926918497653852
ACH-000334,-0.21054970583243213
ACH-000335,-0.1311434008108301
ACH-000336,-0.16916618665590322
ACH-000337,-0.3406923518997157
ACH-000338,-0.1364789340294906
ACH-000339,-0.09281548325450296
ACH-000341,0.030602500668443076
ACH-000348,-0.14746849844572935
ACH-000350,-0.20661800347932185
ACH-000352,-0.04992947037851765
ACH-000356,-0.2464875834156937
ACH-000361,-0.1556077809825296
ACH-000362,-0.05226005563067418
ACH-000363,-0.034850551082193836
ACH-000364,-0.09789709284672156
ACH-000365,-0.114678294758388
ACH-000366,0.017066874015692197
ACH-000368,-0.015895340498118467
ACH-000374,-0.15907593725325442
ACH-000375,-0.09165136063530736
ACH-000376,-0.18984390333336545
ACH-000381,-0.12134978619128366
ACH-000383,-0.14596476365170932
ACH-000387,-0.09718676426509444
ACH-000389,-0.033006018014363835
ACH-000390,-0.16939888991428018
ACH-000393,-0.06823754431476539
ACH-000395,-0.3604487783735816
ACH-000396,-0.04118938437598832
ACH-000397,-0.12398407000933093
ACH-000401,-0.045755280100294525
ACH-000402,-0.22555755832267346
ACH-000403,-0.17049031042458934
ACH-000404,-0.13685554687252102
ACH-000406,-0.10322309009437494
ACH-000407,-0.028194795928028343
ACH-000408,-0.04425826368886182
ACH-000410,-0.04682115728105585
ACH-000411,-0.1281852099361021
ACH-000414,-0.06226700785958331
ACH-000415,-0.008908978233267138
ACH-000416,-0.13645411236588506
ACH-000420,-0.11778023254185314
ACH-000421,-0.05440064306390493
ACH-000424,-0.2180989767247715
ACH-000425,-0.0012393618053787045
ACH-000426,-0.06254474164548922
ACH-000427,0.04720359158582102
ACH-000433,-0.19530969392203928
ACH-000435,-0.10300177511822356
ACH-000436,-0.2957605182228785
ACH-000444,-0.02992824906606997
ACH-000445,-0.11791062672110328
ACH-000448,-0.12871263274145656
ACH-000450,0.08207940709761957
ACH-000452,-0.056637621244130174
ACH-000454,-0.2820194804508205
ACH-000458,-0.15323683470951555
ACH-000459,-0.03146536775086085
ACH-000460,-0.04456691671802068
ACH-000461,0.04471741541444933
ACH-000463,-0.054911746286322116
ACH-000464,-0.09611408785632897
ACH-000466,-0.06132209306708222
ACH-000467,-0.16200518966808913
ACH-000468,-0.08017400967389354
ACH-000469,-0.05750273889235905
ACH-000470,-0.056102962106365666
ACH-000471,-0.1123720361563292
ACH-000472,-0.037774381695880564
ACH-000473,-0.05319145955178087
ACH-000475,-0.09196298379265487
ACH-000476,-0.14560200180825494
ACH-000477,-0.08973430148548844
ACH-000479,-0.3087440637519221
ACH-000480,-0.11277915144976736
ACH-000481,-0.16746961817646525
ACH-000483,-0.14867828267735053
ACH-000484,-0.18030626516181653
ACH-000485,-0.22487607289719166
ACH-000486,-0.02263892661013901
ACH-000487,-0.05053377523728322
ACH-000488,-0.11848220941300715
ACH-000490,-0.09768166640587436
ACH-000491,-0.09116235710624387
