,TVP23C (201158)
ACH-000004,-0.42609737060815067
ACH-000005,-0.3674266042883873
ACH-000007,-0.4292367345942755
ACH-000009,-0.5506879969174429
ACH-000011,-0.3265145047578957
ACH-000012,-0.3928682426294649
ACH-000013,-0.4104056318112536
ACH-000014,-0.4015689950897272
ACH-000015,-0.4757125443929748
ACH-000017,-0.4327230982566907
ACH-000018,-0.4120056073075669
ACH-000019,-0.3705977370477492
ACH-000021,-0.3647011928718877
ACH-000022,-0.4679841734898452
ACH-000025,-0.4903469830676711
ACH-000028,-0.4389608297468438
ACH-000030,-0.27673366754582085
ACH-000035,-0.4796901959981038
ACH-000036,-0.4925595823835377
ACH-000037,-0.4193642639012912
ACH-000039,-0.4292142901073913
ACH-000040,-0.480084594590068
ACH-000041,-0.3157978734073549
ACH-000042,-0.4070886282181644
ACH-000045,-0.4721350655172598
ACH-000047,-0.4199519437841736
ACH-000052,-0.3941675145857748
ACH-000053,-0.3519945793213687
ACH-000054,-0.4010375840438392
ACH-000055,-0.36552203499446695
ACH-000060,-0.3793441984573697
ACH-000067,-0.5882737269021849
ACH-000070,-0.24576059185959875
ACH-000075,-0.37372344221543263
ACH-000078,-0.4028253694833232
ACH-000082,-0.6144699434696963
ACH-000085,-0.3541360997690049
ACH-000086,-0.3092867321276406
ACH-000087,-0.4409157108770108
ACH-000092,-0.4280783011326133
ACH-000095,-0.38781441712941145
ACH-000097,-0.5128403650038543
ACH-000098,-0.4732527776268016
ACH-000099,-0.3770130558048701
ACH-000108,-0.4575725651321567
ACH-000113,-0.3815083862410071
ACH-000116,-0.3722429837388485
ACH-000118,-0.3765222823446458
ACH-000120,-0.4759271976328719
ACH-000123,-0.30389454649642866
ACH-000127,-0.4893846227063206
ACH-000128,-0.30843571790105184
ACH-000132,-0.5481258906293471
ACH-000133,-0.446965578528648
ACH-000137,-0.4092025093070709
ACH-000138,-0.3922036617267963
ACH-000142,-0.4114101151899888
ACH-000143,-0.4594483094507096
ACH-000146,-0.3782542971508815
ACH-000148,-0.3880801739252094
ACH-000150,-0.4858168063730399
ACH-000152,-0.6171977837259952
ACH-000153,-0.8225847245003709
ACH-000159,-0.35783638201404977
ACH-000160,-0.32470517098764023
ACH-000163,-0.4946709110072713
ACH-000167,-0.466351946957959
ACH-000168,-0.3091105725180241
ACH-000169,-0.4043729974163301
ACH-000178,-0.4996850134047306
ACH-000183,-0.5060118609786097
ACH-000188,-0.4820289032370126
ACH-000189,-0.3853061670681441
ACH-000190,-0.5126178814628007
ACH-000198,-0.3817876689371524
ACH-000203,-0.6006122569695382
ACH-000204,-0.4931247173052315
ACH-000206,-0.39980999917170384
ACH-000207,-0.3826341966672887
ACH-000208,-0.4918489013564062
ACH-000210,-0.4623488768470338
ACH-000211,-0.35326118852229044
ACH-000215,-0.3825203452705596
ACH-000221,-0.3512951666253399
ACH-000222,-0.4827826011881373
ACH-000223,-0.4536402477330572
ACH-000226,-0.4564652400707313
ACH-000227,-0.2891290196273571
ACH-000228,-0.4165734903397982
ACH-000231,-0.4530558872879274
ACH-000232,-0.4068651387336271
ACH-000233,-0.4382855478376563
ACH-000234,-0.2631338820208747
ACH-000235,-0.4322515932113366
ACH-000237,-0.4110869619540262
ACH-000238,-0.5711697768287011
ACH-000242,-0.4853600567418621
ACH-000243,-0.4620659914259244
ACH-000244,-0.4251225219814191
ACH-000246,-0.4098228527570332
ACH-000248,-0.3167510678995389
ACH-000250,-0.35985437774565465
ACH-000251,-0.3737850921527505
ACH-000252,-0.4276724704271264
ACH-000253,-0.4539131202096187
ACH-000255,-0.5172697928136619
ACH-000256,-0.4096561567200052
ACH-000257,-0.4058299472073594
ACH-000258,-0.2873507495413838
ACH-000259,-0.3317820922317133
ACH-000260,-0.3281713741093237
ACH-000261,-0.3193492830530121
ACH-000262,-0.4242867212623089
ACH-000263,-0.3729913743789247
ACH-000264,-0.3673851156651371
ACH-000265,-0.4320365060248048
ACH-000266,-0.3945428300949565
ACH-000272,-0.4025109758576832
ACH-000274,-0.4450294866297893
ACH-000277,-0.5466562793482135
ACH-000278,-0.3749505856293817
ACH-000279,-0.4517225500942352
ACH-000280,-0.28178218254978915
ACH-000281,-0.3849464794867176
ACH-000288,-0.5574231254520603
ACH-000291,-0.42009218891896216
ACH-000293,-0.41574009242656623
ACH-000294,-0.4941751790830372
ACH-000295,-0.3998115758529926
ACH-000296,-0.6285418748987841
ACH-000302,-0.35628159207113663
ACH-000304,-0.38399264239019454
ACH-000307,-0.3692847476813961
ACH-000308,-0.34568594360096216
ACH-000310,-0.3614640676714183
ACH-000311,-0.4679649823260922
ACH-000312,-0.3603512321536637
ACH-000315,-0.3349185281975171
ACH-000316,-0.5353727585473342
ACH-000317,-0.32870058242248074
ACH-000318,-0.30769297532759776
ACH-000319,-0.3904806063778356
ACH-000320,-0.3933694441615836
ACH-000322,-0.6248969837105758
ACH-000323,-0.5766256193494983
ACH-000324,-0.39530665366307904
ACH-000329,-0.3914529550901496
ACH-000330,-0.4602774108389002
ACH-000331,-0.5520956854615663
ACH-000332,-0.3038450183051838
ACH-000334,-0.352473524169228
ACH-000335,-0.5273411053847108
ACH-000336,-0.39081893100612397
ACH-000337,-0.3852019177157576
ACH-000338,-0.7341936563832774
ACH-000339,-0.5564366137274157
ACH-000341,-0.4127204793051004
ACH-000348,-0.499047400524928
ACH-000350,-0.32623533175392
ACH-000352,-0.3817496287798682
ACH-000356,-0.3448079444156452
ACH-000361,-0.4200210727109152
ACH-000362,-0.3902032794102287
ACH-000363,-0.3932328234200099
ACH-000364,-0.4533167777887624
ACH-000365,-0.3198156579808355
ACH-000366,-0.2908554050290546
ACH-000368,-0.4837533285223939
ACH-000374,-0.505914075907683
ACH-000375,-0.4447716815181896
ACH-000376,-0.3959042790824328
ACH-000381,-0.494781020251716
ACH-000383,-0.3655947601768326
ACH-000387,-0.4124382335981391
ACH-000389,-0.4569322038100239
ACH-000390,-0.33589269501601754
ACH-000393,-0.3739339071074645
ACH-000395,-0.3859798752465078
