,MC3R (4159)
ACH-000004,0.04564862511611712
ACH-000005,-0.6764028944259488
ACH-000007,-0.13404517928090134
ACH-000009,0.08253663203563162
ACH-000011,0.021862438667721074
ACH-000012,0.17154741045128158
ACH-000013,0.19178462857514408
ACH-000014,0.19364368752474445
ACH-000015,0.08362071960565956
ACH-000017,0.05924030725955954
ACH-000018,0.1833300582588392
ACH-000019,0.03650475325177559
ACH-000021,0.1399788350793039
ACH-000022,0.3014114583876829
ACH-000025,0.10885344466594496
ACH-000028,-0.14028845641217996
ACH-000030,0.1415332558149845
ACH-000035,0.11067782202050347
ACH-000036,0.05407132609072186
ACH-000037,0.10488763768167583
ACH-000039,-0.02007565998088717
ACH-000040,0.08063733562699693
ACH-000041,0.21924864229849764
ACH-000042,0.1615120884579684
ACH-000045,0.15480506113544207
ACH-000047,0.0877089708315005
ACH-000052,-0.06556637927410364
ACH-000053,0.16365052623957851
ACH-000054,0.14218229013064393
ACH-000055,0.40707772563345945
ACH-000060,-0.00417497678901867
ACH-000067,0.1804591967403392
ACH-000070,0.30353628155065665
ACH-000075,-0.023209702108828605
ACH-000078,0.18633622871636776
ACH-000082,0.005411288585267255
ACH-000085,0.08836802799874016
ACH-000086,0.19196879217621446
ACH-000087,0.08396322827081742
ACH-000092,0.16295230231400465
ACH-000095,0.03721020666421677
ACH-000097,0.08111934128007647
ACH-000098,0.050635333465729016
ACH-000099,0.10397031303186201
ACH-000108,0.1536421302710787
ACH-000113,0.0839967944871701
ACH-000116,0.10167394026193233
ACH-000118,0.18853730472236066
ACH-000120,0.16654950872291874
ACH-000123,0.01989914207145862
ACH-000127,0.20453792342355165
ACH-000128,0.10577510031564134
ACH-000132,0.07188735439831373
ACH-000133,0.05232383446780671
ACH-000137,-0.0425700653154855
ACH-000138,0.1436773574014986
ACH-000142,0.1615815731568436
ACH-000143,0.033382448822412966
ACH-000146,0.07757648086390767
ACH-000148,0.10570779689817753
ACH-000150,-0.09592083549790624
ACH-000152,0.09229007123319803
ACH-000153,0.15179985062525714
ACH-000159,0.2486073409218845
ACH-000160,0.2380697964267535
ACH-000163,0.05813364226279201
ACH-000167,-0.05821101486793665
ACH-000168,0.14731899929281747
ACH-000169,0.14588611542516436
ACH-000178,0.10195848005159742
ACH-000183,0.07542142508363632
