,GC (2638)
ACH-000004,0.036236391081658464
ACH-000005,-0.2281859664745544
ACH-000007,-0.2350814480275292
ACH-000009,-0.02664442516202545
ACH-000011,0.16465405948120426
ACH-000012,0.04463059192020225
ACH-000013,0.12264652008938
ACH-000014,0.03475558585054127
ACH-000015,0.03881556068772635
ACH-000017,0.12085977446149095
ACH-000018,0.008746001902375433
ACH-000019,-0.11403800649396258
ACH-000021,-0.0035289011236837157
ACH-000022,-0.05556555403101579
ACH-000025,-0.11073220422070087
ACH-000028,0.036107663729629855
ACH-000030,-0.02617693856716915
ACH-000035,-0.026782915802271504
ACH-000036,0.02115094043834516
ACH-000037,0.0577463842135947
ACH-000039,0.08938728461312635
ACH-000040,-0.001254389857464583
ACH-000041,-0.08080368406748585
ACH-000042,0.03433931327174393
ACH-000045,0.07925106486034683
ACH-000047,0.03789901951178345
ACH-000052,-0.11793705861097704
ACH-000053,0.06861290033908582
ACH-000054,0.08121389056117805
ACH-000055,0.08921848262818706
ACH-000060,0.0222624743527651
ACH-000067,-0.10328187121229213
ACH-000070,-0.05622021043534487
ACH-000075,0.09683249141404952
ACH-000078,0.015521611358119322
ACH-000082,0.046106379561915566
ACH-000085,0.07652989825693386
ACH-000086,-0.00114315988035808
ACH-000087,0.07328802868301285
ACH-000092,0.10122859642732474
ACH-000095,0.08743643779370874
ACH-000097,0.12410441122699087
ACH-000098,-0.08526740599286375
ACH-000099,0.05460698837332878
ACH-000108,0.14019544430459022
ACH-000113,-0.02188921910901472
ACH-000116,0.05203357758392165
ACH-000118,0.10225378750555716
ACH-000120,0.032437911469566864
ACH-000123,-0.11502918130238307
ACH-000127,0.02225979351831713
ACH-000128,0.0568011385015461
ACH-000132,0.01853142695246868
ACH-000133,0.11797085991797665
ACH-000137,0.04372250968963838
ACH-000138,0.11499664252869643
ACH-000142,0.09005604636199732
ACH-000143,-0.048680010364593816
ACH-000146,0.1347731375326095
ACH-000148,0.02754362956257949
ACH-000150,0.02283691967020774
ACH-000152,0.08029848049217837
ACH-000153,-0.07551759344341556
ACH-000159,-0.11564426266595433
ACH-000160,0.01724769237508899
ACH-000163,-0.02246826589234038
ACH-000167,0.04542391892591842
ACH-000168,-0.01024246079125898
ACH-000169,0.01955506426837068
ACH-000178,-0.03421534707298867
ACH-000183,-0.12500462060966958
ACH-000188,-0.15781354850720525
ACH-000189,0.3165739950334666
ACH-000190,-0.05972824283510773
ACH-000198,0.09156023777436363
ACH-000203,-0.02106821185619784
ACH-000204,-0.013389851108384188
ACH-000206,0.026389338995325248
ACH-000207,-0.016476770660722662
